probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
203140_at	1.38309025906818	8.70131657326087	7.89877123716741	3.24983732074596e-08	0.000718701523482968	7.77710571220252	BCL6
205629_s_at	2.6747972695606	10.2533659617826	6.80212439467254	4.24004571131057e-07	0.00468843054528166	5.77235523416299	CRH
205829_at	-0.880154308636364	11.05594192	-6.23357996884307	1.70209320132742e-06	0.00752835822947118	4.65327139709489	HSD17B1
207092_at	3.56066291846212	8.62037721130435	6.24341579763373	1.66114529542117e-06	0.00752835822947118	4.67306425132869	LEP
210511_s_at	1.9633926835	11.2724628603913	6.28738223314843	1.49000793707446e-06	0.00752835822947118	4.76135886185335	INHBA
210141_s_at	1.37751797401515	8.65449080473913	5.89652227533784	3.9443982724001e-06	0.0113838531557844	3.9663968873515	INHA
215812_s_at	0.716760332590909	8.33598848956522	5.90210502753855	3.88952092778915e-06	0.0113838531557844	3.97790552071796	SLC6A10P /// SLC6A10PB /// SLC6A8
219542_at	0.549858883939394	7.73106195969565	5.81272092047076	4.86927806040758e-06	0.0113838531557844	3.79313427430392	NEK11
221665_s_at	0.840463538719697	8.99666634921739	5.79065181927586	5.14757094993642e-06	0.0113838531557844	3.74734887529451	EPS8L1
222033_s_at	1.52376359089394	8.68246865417391	5.86994239987713	4.21664771191192e-06	0.0113838531557844	3.91154494693078	FLT1
211918_x_at	1.29984992121212	10.4210284430435	5.7153580987125	6.22431940429775e-06	0.0121412987009148	3.59066176031144	PAPPA2
215990_s_at	0.884232338340909	7.31648622221739	5.66122957223177	7.13709622934175e-06	0.0121412987009148	3.47757083144853	BCL6
219888_at	0.937834632568181	6.57710564486957	5.66376885011198	7.09138808643867e-06	0.0121412987009148	3.48288438950929	SPAG4
201809_s_at	0.97732595796212	9.89555510491304	5.4576377307399	1.19658615089905e-05	0.0160421520281177	3.04901657668451	ENG
210796_x_at	1.45413449012121	9.03145929195652	5.44252511360914	1.24352713861475e-05	0.0160421520281177	3.01701365124875	SIGLEC6
213332_at	0.653930603787877	13.1250015191304	5.4266211275928	1.29493797399212e-05	0.0160421520281177	2.98330763317602	PAPPA2
218779_x_at	0.806387053424241	10.2770050149565	5.42336840447761	1.30571438619091e-05	0.0160421520281177	2.97641057446807	EPS8L1
91826_at	0.747456755545454	10.2733633421304	5.4493048832977	1.22224272318337e-05	0.0160421520281177	3.03137382988556	EPS8L1
202734_at	0.47307979260606	7.94740190334783	5.39399296724645	1.40723533659462e-05	0.0163794786677842	2.91407098987391	TRIP10
203087_s_at	0.881460681393938	9.33354065669565	5.29651399140187	1.80487439542103e-05	0.0181430896612437	2.70655236471749	KIF2A
205630_at	1.77817810727273	12.3201460121739	5.30617175574955	1.76087134570276e-05	0.0181430896612437	2.7271558313146	CRH
206520_x_at	1.31950350281818	9.54525545034783	5.31088623828288	1.73978585159994e-05	0.0181430896612437	2.73721010660929	SIGLEC6
201185_at	0.693137447651514	12.6622704373913	5.13621363864279	2.72078529572495e-05	0.0243666514472315	2.36326928984832	HTRA1
214471_x_at	1.39065633998485	8.40173111073913	5.15464214351229	2.59521468284269e-05	0.0243666514472315	2.40285376034748	CGB1 /// LHB
221200_at	1.7164753914697	10.0793858245217	5.13140602835486	2.75453893819031e-05	0.0243666514472315	2.35293767051027	ERVK3-2
204254_s_at	0.416808089651516	5.78340796943478	5.1109242322011	2.90312971463994e-05	0.0244126181569273	2.30889980132056	VDR
44702_at	0.627169672492424	9.93506152765217	5.10067178170453	2.98051408653419e-05	0.0244126181569273	2.28684267879472	SYDE1
214396_s_at	0.767027520068182	6.95006831252174	5.08025177974602	3.14088502481229e-05	0.0248073829727585	2.24288502476205	MBD2
204926_at	1.36370612727273	6.41591028073913	4.92192728360636	4.71808241880145e-05	0.0354656022629672	1.90096802192643	INHBA
210589_s_at	0.711412263280302	8.89657035026087	4.90159822836077	4.97143870744735e-05	0.0354656022629672	1.8569363262793	GBAP1
221655_x_at	0.730620532454545	9.96878475082609	4.90327893939697	4.94998402595804e-05	0.0354656022629672	1.86057768419561	EPS8L1
213236_at	0.824425127613636	9.46246991482609	4.7767241211339	6.85674977418749e-05	0.0473865691425489	1.58591267883777	SASH1
214180_at	0.584009579128788	9.27319890443478	4.74321469542628	7.47499589211589e-05	0.0500937982285281	1.51303961926501	MAN1C1
1007_s_at	0.446595201333334	10.08699748	4.70600269706353	8.22722926012895e-05	0.0535132867905152	1.43205204510145	DDR1 /// MIR4640
205387_s_at	1.7298735485	10.2575666759565	4.66538392118325	9.13513314377481e-05	0.0561176304096055	1.34358158433814	CGB /// CGB1 /// CGB5 /// CGB7 /// CGB8
219911_s_at	0.864959485666665	8.28243438391304	4.66878553135488	9.05539826299007e-05	0.0561176304096055	1.350993081905	SLCO4A1
205325_at	0.396890730742424	6.36830547582609	4.58765860752483	0.000111612822376983	0.0643659926660716	1.1741193522823	PHYHIP
210287_s_at	1.48976607735606	8.99161939747826	4.58111880501469	0.000113510002892914	0.0643659926660716	1.15985193049122	FLT1
210732_s_at	0.871475511257577	6.47966501434783	4.5927797244281	0.000110149352913046	0.0643659926660716	1.18529085436776	LGALS8
201236_s_at	-0.440806998787879	10.0095227252174	-4.55909667911751	0.000120138736453639	0.0664217039168059	1.11179905448156	BTG2
41644_at	0.663485042083334	10.250601553913	4.49159249444398	0.000142964737163522	0.0771137844480801	0.964430994948065	SASH1
208200_at	0.399013680545454	6.55773271617391	4.45635849636385	0.000156549095426931	0.0824305534611089	0.887478293736768	IL1A
203184_at	-0.625396121651516	10.5918038231304	-4.3791685863875	0.000190975824189898	0.0974300081985221	0.718845911795484	FBN2
206662_at	0.369577434469697	11.0231445656522	4.37337220487631	0.00019384672668935	0.0974300081985221	0.70618162436487	GLRX
201819_at	0.61176594740909	9.20049836952174	4.3273836018091	0.000218200904720935	0.107233622397855	0.605703772602085	SCARB1
210749_x_at	0.48515777021212	9.9764975216087	4.30843404703076	0.00022910077140124	0.110142686076922	0.56430447694211	DDR1 /// MIR4640
220092_s_at	-0.895399860212122	5.64596551008696	-4.2738893407999	0.000250382897959824	0.117813144433649	0.488842442793488	ANTXR1
204368_at	0.611888669780303	10.3884989081304	4.2596796626138	0.000259697404083929	0.119650168569085	0.457805961582587	SLCO2A1
221485_at	-0.350700334969697	7.98634555982609	-4.23055578886282	0.000279877797688276	0.126316275426045	0.394204284522489	B4GALT5
220889_s_at	-0.654022904431818	6.07545386173913	-4.1728988086706	0.0003245341264456	0.143541444126889	0.268343725304789	CA10
