A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	p.value.adj.BasalvsLP	p.value.adj.BasalvsML	p.value.adj.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL
-1.78	7.457	6.924	-0.533	12.08	11.91	0	0	0	0.78824	3.8e-05	3.3e-05	1	1	1	0	497097	Xkr4
4.21	0.483	0.038	-0.446	0	0	0	0.98297	0.99978	0.98931	1	1	1	0	0	0	27395	Mrpl15
5.28	0.293	-0.367	-0.66	0	0	0	0.99914	0.99856	0.9768	1	1	1	0	0	0	18777	Lypla1
5	0.371	0.408	0.037	0	0	0	0.99933	0.99909	0.99999	1	1	1	0	0	0	21399	Tcea1
1.61	-5.488	-5.024	0.464	-17.52	-15.69	0	0	0	0.99685	8e-06	1e-05	1	-1	-1	0	58175	Rgs20
5.76	-0.814	-1.033	-0.219	0	-0.27	0	0.91516	0.39742	0.99993	1	1	1	0	0	0	108664	Atp6v1h
6.29	-0.931	-0.317	0.614	0	0	0	0.67431	0.9992	0.9888	1	1	1	0	0	0	12421	Rb1cc1
5.95	-0.073	0.169	0.242	0	0	0	0.99992	0.99976	0.9997	1	1	1	0	0	0	319263	Pcmtd1
5.61	1.018	1.318	0.301	0.09	1.58	0	0.46636	0.0761	0.99672	1	0.270919	1	0	0	0	59014	Rrs1
0.51	-1.318	-1.343	-0.025	-1	-1.11	0	0.17263	0.15019	0.999	0.570282	0.493263	1	0	0	0	76187	Adhfe1
3.15	0.856	1.337	0.481	0	1.52	0	0.73602	0.08302	0.97499	1	0.292402	1	0	0	0	17864	Mybl1
6.1	-0.329	-0.016	0.313	0	0	0	0.99871	0.99998	0.99925	1	1	1	0	0	0	70675	Vcpip1
2.98	1.57	0.389	-1.181	2.83	0	-0.92	0.01111	0.99534	0.19215	0.050184	1	1	0	0	0	170755	Sgk3
1.88	1.126	0.105	-1.02	0.64	0	-0.11	0.26921	0.99965	0.45846	0.830438	1	1	0	0	0	620986	Gm6195
3.54	0.368	0.224	-0.144	0	0	0	0.9982	0.99958	0.99979	1	1	1	0	0	0	73824	Snhg6
6.03	0.056	-0.147	-0.204	0	0	0	0.99999	0.99996	0.99996	1	1	1	0	0	0	26754	Cops5
4.74	-0.357	-0.01	0.347	0	0	0	0.98539	0.99981	0.98873	1	1	1	0	0	0	211660	Cspp1
7.7	-0.417	-0.236	0.181	0	0	0	0.99563	0.99904	0.99963	1	1	1	0	0	0	211673	Arfgef1
-2.18	7.561	10.149	2.588	15.2	20.93	3.17	0	0	0.00671	1.3e-05	4e-06	0.136719	1	1	0	329093	Cpa6
2.1	1.002	0.78	-0.221	0	0	0	0.50251	0.66034	0.93029	1	1	1	0	0	0	109294	Prex2
2.79	3.47	4.185	0.716	8.88	11.16	0	1e-05	0	0.80857	0.00016	4.2e-05	1	1	1	0	240725	Sulf1
7.17	-0.246	-0.378	-0.132	0	0	0	0.9999	0.99963	0.99998	1	1	1	0	0	0	17978	Ncoa2
7.22	-1.034	-0.571	0.463	-0.29	0	0	0.39075	0.99643	0.99933	1	1	1	0	0	0	72265	Tram1
3.68	-1.126	-1.908	-0.783	-0.64	-4.8	0	0.27103	0.00068	0.87653	0.834768	0.004101	1	0	-1	0	212442	Lactb2
-0.32	6.586	7.655	1.068	9.14	10.56	0.1	1e-05	0	0.47336	0.000147	6e-05	1	1	1	0	14048	Eya1
-0.41	-3.091	-5.185	-2.094	-4.21	-8.84	-3.25	0.00152	1e-05	0.00588	0.008771	0.000151	0.123972	-1	-1	0	17681	Msc
3.38	0.498	0.285	-0.212	0	0	0	0.99384	0.99929	0.99959	1	1	1	0	0	0	21749	Terf1
1.47	6.998	7.174	0.176	15.87	17.41	0	0	0	0.96864	1.1e-05	7e-06	1	1	1	0	226866	Sbspon
8.83	0.013	0.331	0.318	0	0	0	1	0.9997	0.99986	1	1	1	0	0	0	19989	Rpl7
5.55	0.374	0.675	0.301	0	0	0	0.9928	0.92754	0.99686	1	1	1	0	0	0	98711	Rdh10
4.52	0.016	0.282	0.267	0	0	0	1	0.99981	0.99987	1	1	1	0	0	0	29819	Stau2
4.47	0.586	0.621	0.034	0	0	0	0.99176	0.98869	0.99998	1	1	1	0	0	0	66799	Ube2w
5.65	0.954	0.698	-0.256	0	0	0	0.62634	0.97092	0.99977	1	1	1	0	0	0	67923	Eloc
4.09	0.858	0.366	-0.491	0	0	0	0.83487	0.99934	0.99742	1	1	1	0	0	0	70397	Tmem70
1.4	-1.99	-1.336	0.653	-4.15	-1.4	0	0.00162	0.10021	0.93054	0.009233	0.34623	1	-1	0	0	17087	Ly96
1.88	0.14	1.713	1.572	0	3.78	3.08	0.9996	0.00272	0.00765	1	0.013804	0.150543	0	1	0	57339	Jph1
2.02	4.032	5.094	1.061	4.04	5.09	0.07	0.00197	0.00051	0.4963	0.010978	0.003198	1	1	1	0	94227	Pi15
2.3	4.581	6.313	1.733	10.51	13.25	1.74	0	0	0.06013	6.8e-05	2.1e-05	0.657193	1	1	0	83691	Crispld1
6.3	0.378	-0.167	-0.545	0	0	0	0.99697	0.99951	0.99006	1	1	1	0	0	0	21419	Tfap2b
4.94	2.141	1.556	-0.585	4.33	2.19	0	0.00128	0.02993	0.9297	0.007563	0.117034	1	1	0	0	17215	Mcm3
1.6	2.345	1.167	-1.178	5.15	0.74	-0.68	0.00045	0.23969	0.25741	0.003048	0.743257	1	1	0	0	74229	Paqr8
1.31	1.296	0.984	-0.312	1.38	0	0	0.10207	0.52985	0.99369	0.361438	1	1	0	0	0	71877	Efhc1
2.44	-0.068	0.723	0.79	0	0	0	0.99913	0.86672	0.80823	1	1	1	0	0	0	170829	Tram2
1.08	1.178	0.308	-0.87	0.74	0	0	0.24127	0.99353	0.70111	0.75762	1	1	0	0	0	75712	Tmem14a
0.38	7.248	8.05	0.801	13.58	15	0	0	0	0.64463	2.2e-05	1.3e-05	1	1	1	0	226922	Kcnq5
5.59	-3.593	-1.352	2.241	-9.27	-1.25	4.86	1e-05	0.12307	0.00063	0.000127	0.414878	0.033923	-1	0	1	70155	Ogfrl1
1.77	-0.442	0.179	0.621	0	0	0	0.88936	0.96491	0.80474	1	1	1	0	0	0	280645	B3gat2
4.87	0.699	0.586	-0.113	0	0	0	0.98429	0.99675	0.99998	1	1	1	0	0	0	98366	Smap1
2.2	0.879	-0.494	-1.373	0	0	-1.4	0.66201	0.9622	0.09907	1	1	0.91541	0	0	0	68002	Sdhaf4
5.19	0.492	0.578	0.086	0	0	0	0.97651	0.95739	0.99926	1	1	1	0	0	0	68187	Fam135a
5.98	-1.533	0.552	2.085	-1.69	0	3.63	0.06444	0.9025	0.00339	0.240472	1	0.089043	0	0	0	12839	Col9a1
6.22	-0.965	-0.657	0.308	0	0	0	0.6178	0.99161	0.99991	1	1	1	0	0	0	68421	Lmbrd1
1.98	1.44	1.2	-0.24	2.11	1.01	0	0.03417	0.17067	0.9965	0.138098	0.552574	1	0	0	0	665903	Gm7846
7.25	-0.539	-0.387	0.153	0	0	0	0.99688	0.99939	0.99996	1	1	1	0	0	0	213109	Phf3
6.19	-0.336	0.311	0.647	0	0	0	0.99858	0.99885	0.97865	1	1	1	0	0	0	19243	Ptp4a1
4.07	1.102	0.991	-0.112	0.56	0	0	0.29443	0.52041	0.99956	0.896506	1	1	0	0	0	19076	Prim2
3.43	0.842	0.367	-0.475	0	0	0	0.81047	0.99785	0.99328	1	1	1	0	0	0	19335	Rab23
4.69	1.005	0.929	-0.075	0.03	0	0	0.48674	0.68447	0.99994	1	1	1	0	0	0	213539	Bag2
4.78	-0.471	0.219	0.69	0	0	0	0.9754	0.99553	0.90149	1	1	1	0	0	0	98403	Zfp451
3.14	0.514	0.234	-0.28	0	0	0	0.99476	0.99971	0.99951	1	1	1	0	0	0	433287	Gm15455
9.94	1.632	0.722	-0.91	3.06	0	0	0.00783	0.88849	0.68015	0.036673	1	1	1	0	0	13518	Dst
3.18	-0.396	-0.087	0.309	0	0	0	0.99767	0.99987	0.99912	1	1	1	0	0	0	69668	Ccdc115
5.27	-0.024	0.046	0.07	0	0	0	0.99999	0.99999	0.99999	1	1	1	0	0	0	27993	Imp4
4.08	-0.401	-0.285	0.116	0	0	0	0.99822	0.99942	0.99991	1	1	1	0	0	0	52318	D1Ertd448e
4.13	-5.633	-4.565	1.068	-28.41	-21.79	0.61	0	0	0.27924	3e-06	3e-06	1	-1	-1	0	19253	Ptpn18
2.65	1.935	2.505	0.57	4.9	7.72	0	0.00061	3e-05	0.96501	0.003969	0.000306	1	1	1	0	226970	Arhgef4
7.92	0.307	0.409	0.102	0	0	0	0.99966	0.99906	0.99997	1	1	1	0	0	0	214469	Fam168b
5.96	-0.638	-1.929	-1.291	0	-5.5	-1.84	0.96733	0.00029	0.05166	1	0.001978	0.590576	0	-1	0	226971	Plekhb2
7.3	-0.273	0.742	1.015	0	0	0.09	0.99756	0.89569	0.46608	1	1	1	0	0	0	50785	Hs6st1
7.39	0.367	-0.159	-0.526	0	0	0	0.99965	0.99995	0.99872	1	1	1	0	0	0	320011	Uggt1
0.25	1.309	1.059	-0.25	0.74	0.15	0	0.24059	0.44306	0.95226	0.756142	1	1	0	0	0	214854	Neurl3
7.91	1.459	0.873	-0.586	2.47	0	0	0.01934	0.74123	0.98052	0.082652	1	1	0	0	0	214855	Arid5a
6.73	-0.435	-0.201	0.235	0	0	0	0.99819	0.9998	0.99983	1	1	1	0	0	0	226976	Kansl3
4.86	-0.678	-1.375	-0.697	0	-3.24	0	0.98685	0.00598	0.98787	1	0.027718	1	0	-1	0	214895	Lman2l
5.49	0.267	0.744	0.477	0	0	0	0.99885	0.91697	0.99439	1	1	1	0	0	0	94220	Cnnm4
4.11	-0.758	-0.97	-0.212	0	0	0	0.86972	0.55909	0.9987	1	1	1	0	0	0	94218	Cnnm3
2.68	-0.165	-0.818	-0.653	0	0	0	0.99717	0.78754	0.92878	1	1	1	0	0	0	78321	Ankrd23
2.67	0.075	-0.691	-0.766	0	0	0	0.99986	0.96278	0.92036	1	1	1	0	0	0	109346	Ankrd39
7.87	-0.186	-1.324	-1.138	0	-1.64	-0.76	0.99865	0.06955	0.23534	1	0.249844	1	0	0	0	20353	Sema4c
0.78	0.224	-0.784	-1.008	0	0	-0.03	0.9871	0.78129	0.48822	1	1	1	0	0	0	381337	Fam178b
3.58	0.293	-0.222	-0.515	0	0	0	0.99818	0.99925	0.99006	1	1	1	0	0	0	12859	Cox5b
6.67	0.454	0.294	-0.16	0	0	0	0.99941	0.99989	0.99998	1	1	1	0	0	0	226977	Actr1b
6.99	0.453	0.399	-0.053	0	0	0	0.99929	0.9996	0.99999	1	1	1	0	0	0	56030	Tmem131
4.8	0.585	1.095	0.511	0	0.58	0	0.98267	0.28903	0.99212	1	0.872017	1	0	0	0	269180	Inpp4a
6.25	-0.817	-1.083	-0.265	0	-0.56	0	0.87259	0.29679	0.99963	1	0.890456	1	0	0	0	76178	Coa5
4.54	-0.295	-0.651	-0.356	0	0	0	0.99955	0.98408	0.99946	1	1	1	0	0	0	67387	Unc50
6.14	-2.391	-0.391	2	-8.22	0	6.28	2e-05	0.99649	0.00012	0.000236	1	0.017425	-1	0	1	269181	Mgat4a
2.66	0.081	0.379	0.298	0	0	0	0.99944	0.99287	0.99624	1	1	1	0	0	0	77633	4930594C11Rik
3.63	-5.671	-4.955	0.716	-17.41	-14.71	0	0	0	0.93497	8e-06	1.3e-05	1	-1	-1	0	72097	2010300C02Rik
1.13	-1.183	-1.084	0.099	-0.75	-0.35	0	0.2375	0.36796	0.99877	0.748601	1	1	0	0	0	211484	Tsga10
0.94	-0.484	-0.471	0.012	0	0	0	0.95681	0.96231	0.99972	1	1	1	0	0	0	623661	Lipt1
2.78	0.987	0.554	-0.433	0	0	0	0.52783	0.98659	0.99455	1	1	1	0	0	0	69028	Mitd1
4.43	0.638	0.145	-0.494	0	0	0	0.98757	0.99994	0.99807	1	1	1	0	0	0	107734	Mrpl30
5.73	-0.754	-0.429	0.325	0	0	0	0.95327	0.99887	0.99973	1	1	1	0	0	0	98258	Txndc9
7.53	-0.475	0.163	0.639	0	0	0	0.9759	0.99749	0.93998	1	1	1	0	0	0	226982	Eif5b
4.47	-0.084	0.329	0.413	0	0	0	0.99831	0.9879	0.98139	1	1	1	0	0	0	56210	Rev1
1.01	3.465	4.801	1.336	5.92	8.37	0.68	0.00018	2e-05	0.25815	0.00146	0.000202	1	1	1	0	16764	Aff3
-0.25	0.257	0.992	0.736	0	0	0	0.96146	0.50795	0.73762	1	1	1	0	0	0	98388	Chst10
5.93	0.475	0.208	-0.267	0	0	0	0.99851	0.9999	0.99988	1	1	1	0	0	0	68833	Pdcl3
2.42	-5.057	-3.874	1.184	-17.57	-12.29	1.19	0	0	0.13417	8e-06	2.8e-05	1	-1	-1	0	18143	Npas2
3.37	-0.043	-0.049	-0.006	0	0	0	0.99996	0.99996	1	1	1	1	0	0	0	114641	Rpl31
5.51	-2.151	-1.952	0.199	-9.73	-8.05	0	1e-05	2e-05	0.99997	9.8e-05	0.000243	1	-1	-1	0	54610	Tbc1d8
4.61	1.064	1.031	-0.033	0.47	0.23	0	0.32609	0.41121	0.99998	0.974474	1	1	0	0	0	52846	Cnot11
-0.5	0.506	1.949	1.443	0	2.13	0.98	0.86998	0.03296	0.17922	1	0.127301	1	0	0	0	100217461	Snord89
6.8	0.475	1.273	0.798	0	1.32	0	0.98248	0.11247	0.83957	1	0.383236	1	0	0	0	67702	Rnf149
-2.91	4.667	6.543	1.876	6.41	9.28	1.32	0.00011	1e-05	0.11321	0.000957	0.00012	1	1	1	0	263764	Creg2
7.91	0.247	0.761	0.514	0	0	0	0.99923	0.9122	0.99467	1	1	1	0	0	0	26921	Map4k4
-0.33	-0.99	0.168	1.158	0	0	0.22	0.51985	0.92857	0.42478	1	1	1	0	0	0	16178	Il1r2
4.84	-1.726	-2.035	-0.309	-3.36	-4.85	0	0.00497	0.00065	0.99652	0.024579	0.00391	1	-1	-1	0	16177	Il1r1
3.17	0.882	0.979	0.097	0	0	0	0.78843	0.55997	0.99992	1	1	1	0	0	0	107527	Il1rl2
0.11	1.305	2.265	0.961	0.57	2.29	0	0.29486	0.02603	0.53109	0.897631	0.103617	1	0	0	0	17082	Il1rl1
3.77	-3.192	-3.991	-0.798	-8.96	-12.45	0	1e-05	0	0.84549	0.000152	2.7e-05	1	-1	-1	0	16182	Il18r1
-0.19	-3.107	-2.7	0.406	-4.23	-3.42	0	0.00147	0.00461	0.92074	0.008527	0.021971	1	-1	-1	0	16174	Il18rap
-1.06	-3.75	-1.374	2.376	-5.38	-0.66	3	0.00034	0.26417	0.00863	0.002456	0.808688	0.16406	-1	0	0	110895	Slc9a4
0.93	-2.767	-1.135	1.632	-6.33	-0.45	2.53	0.00012	0.33119	0.01783	0.00099	0.975716	0.27517	-1	0	0	226999	Slc9a2
1.34	-0.903	-0.78	0.122	0	0	0	0.63054	0.77241	0.99621	1	1	1	0	0	0	211798	Mfsd9
4.78	-0.009	-0.202	-0.193	0	0	0	1	0.99992	0.99994	1	1	1	0	0	0	69527	Mrps9
5.05	-0.462	-0.46	0.002	0	0	0	0.99554	0.9958	1	1	1	1	0	0	0	73122	Tgfbrap1
3.89	0.605	-0.109	-0.714	0	0	0	0.94508	0.99903	0.89453	1	1	1	0	0	0	98404	AI597479
5.53	1.563	1.906	0.343	1.63	2.62	0	0.07125	0.01547	0.96112	0.263181	0.0647	1	0	0	0	14200	Fhl2
4	0.297	0.042	-0.256	0	0	0	0.99929	0.99997	0.99961	1	1	1	0	0	0	666642	Gm8210
7.28	-0.556	-2.041	-1.485	0	-6.9	-3.46	0.99151	6e-05	0.00435	1	0.000567	0.102796	0	-1	0	17974	Nck2
3.11	5.45	6.464	1.014	23.58	26.6	0.07	0	0	0.47446	3e-06	2e-06	1	1	1	0	78896	1500015O10Rik
3.53	-0.157	-1.11	-0.953	0	-0.7	0	0.99954	0.25272	0.61611	1	0.777458	1	0	0	0	67883	Uxs1
5.08	-0.393	-0.448	-0.055	0	0	0	0.99964	0.99938	0.99999	1	1	1	0	0	0	100503192	Gm19587
6.96	-0.013	0.368	0.381	0	0	0	0.99981	0.98743	0.99022	1	1	1	0	0	0	22019	Tpp2
3.95	-0.043	0.386	0.429	0	0	0	0.99985	0.99531	0.994	1	1	1	0	0	0	75623	Tex30
4.38	2.408	2.022	-0.386	9.19	7	0	1e-05	6e-05	0.99809	0.000132	0.000522	1	1	1	0	72050	Kdelc1
