probe	pvalue	adj.pvalue	symbol	entrez	group
"hCT2360799,hCT2360801,hCT2360800,hCT2360803,hCT2360802,hCT2299367.2,hCT2360804"	0	0.000248	AAA1	100329167	GSE10588_SPEvC
"hCT2325356,hCT18274.1"	0	5.20E-05	ACD	65057	GSE10588_SPEvC
hCT7860.3	0	6.30E-05	ACOXL	55289	GSE10588_SPEvC
"hCT2355795,hCT8652.3"	0	0.000303	ACPL2	NA	GSE10588_SPEvC
"hCT1770427.1,hCT2296235,hCT2296236,hCT2296237,hCT2296239"	0	4.80E-05	ACPT	93650	GSE10588_SPEvC
hCT31091.4	0	0.00032	ADRB1	153	GSE10588_SPEvC
"hCT2317463,hCT2317459,hCT2317462,hCT2317460"	0	4.30E-05	ALS4	NA	GSE10588_SPEvC
"hCT1954606,hCT1954605.1,hCT1954604.1,hCT21444.2,hCT2301395,hCT1954607.1,hCT1954603.1"	0	0.000276	APTX	54840	GSE10588_SPEvC
"hCT20300.2,hCT2257033"	0	6.80E-05	ARAF	369	GSE10588_SPEvC
"hCT1640305.2,hCT1950384.1"	0	0.000357	ARHGEF16	27237	GSE10588_SPEvC
"hCT1640068.3,hCT1954544.1"	0	0.000364	ARMCX1	51309	GSE10588_SPEvC
"hCT2273578,hCT1958859.1,hCT19403.3,hCT2273579,hCT2273573"	0	0.000173	ASAH1	427	GSE10588_SPEvC
"hCT2285394,hCT1817187.1,hCT2285392,hCT2285402,hCT2285405,hCT2285404,hCT29817.2,hCT2285396"	0	6.10E-05	ATP13A1	57130	GSE10588_SPEvC
"hCT2290397.1,hCT2348694,hCT2354615,hCT2290395.1,hCT2348695,hCT2290398"	0	1.00E-06	ATP8B3	148229	GSE10588_SPEvC
"hCT8117.3,hCT2256951"	0	9.20E-05	AUTS2	26053	GSE10588_SPEvC
"hCT25538.1,hCT2313121.1"	0	1.00E-06	BANF1	8815	GSE10588_SPEvC
"hCT1953544.1,hCT1953543.1,hCT2279941,hCT2352571,hCT2279943,hCT2352570"	0	4.00E-05	BAX	581	GSE10588_SPEvC
"hCT2319798,hCT2319799,hCT18083.3,hCT2319800,hCT2319803,hCT2319802"	0	0.000178	BBX	56987	GSE10588_SPEvC
"hCT11435.2,hCT2277802"	0	0.000291	BHLHB2	NA	GSE10588_SPEvC
hCT29273.3	0	0.000367	BHLHB3	NA	GSE10588_SPEvC
"hCT2353270,hCT2281152,hCT1952418"	0	0.000115	BIN2	51411	GSE10588_SPEvC
"hCT2358668,hCT1952185.1,hCT1952183.1,hCT2358669,hCT1952184.1,hCT2358671,hCT1817087.1,hCT2358670,hCT87665.3"	0	2.60E-05	BRSK2	9024	GSE10588_SPEvC
"hCT9048.3,hCT2252480,hCT1826411.2,hCT2252479"	0	1.10E-05	BTN3A2	11118	GSE10588_SPEvC
hCT16083.3	0	0.000221	C12orf4	57102	GSE10588_SPEvC
"hCT2302316,hCT1648206.2"	0	6.80E-05	C13orf8	NA	GSE10588_SPEvC
"hCT12266.3,hCT2354252,hCT2354253,hCT1954322.1,hCT1954323.1"	0	0.000283	C14orf10	NA	GSE10588_SPEvC
"hCT12067.2,hCT1955932,hCT2328285"	0	0.000298	C14orf108	NA	GSE10588_SPEvC
"hCT2329183,hCT1641590.2"	0	8.00E-05	C14orf150	NA	GSE10588_SPEvC
"hCT2265007,hCT2265006,hCT2265005"	0	9.30E-05	C16orf34	NA	GSE10588_SPEvC
hCT2288797.1	0	4.60E-05	C19orf25	148223	GSE10588_SPEvC
"hCT29145.2,hCT2313657"	0	9.80E-05	C20orf178	NA	GSE10588_SPEvC
"hCT2304292.1,hCT2260936.1,hCT2354865,hCT2304288.1,hCT2304297.1,hCT2304296.1,hCT2304293.1,hCT2304295.1,hCT2304289.1,hCT2304286.1,hCT2304290,hCT2304285.1"	0	3.80E-05	C2orf33	NA	GSE10588_SPEvC
"hCT2286932,hCT1954387.1,hCT17070.3"	0	1.20E-05	C3F	NA	GSE10588_SPEvC
"hCT1971053.1,hCT2355918,hCT2355917,hCT1818962.3"	0	5.50E-05	C3orf1	NA	GSE10588_SPEvC
hCT10072.3	0	0.000146	C6orf109	NA	GSE10588_SPEvC
hCT1963580.2	0	7.30E-05	C9orf37	NA	GSE10588_SPEvC
"hCT1686499.2,hCT2259896,hCT2259897,hCT2259894,hCT2259895"	0	3.00E-06	CAPNS1	826	GSE10588_SPEvC
"hCT2357897,hCT28236.2"	0	0.000103	CCNH	902	GSE10588_SPEvC
