probe	pvalue	adj.pvalue	symbol	entrez	group
7906496	3.00E-05	0.205565	KCNJ9	3765	GSE24129_FGRvC
7944554	3.00E-05	0.205565	TMEM136 // TMEM136 // TMEM136 // TMEM136 // TMEM136 // TMEM136 // TMEM136	NA	GSE24129_FGRvC
8132118	4.00E-05	0.205565	AQP1 // AQP1 // AQP1 // AQP1	NA	GSE24129_FGRvC
8163149	4.00E-05	0.205565	PTPN3 // PTPN3 // PTPN3 // PTPN3 // PTPN3 // PTPN3 // PTPN3	NA	GSE24129_FGRvC
8097586	8.00E-05	0.223395	GAB1 // GAB1	NA	GSE24129_FGRvC
7979663	9.00E-05	0.223395	RAB15	376267	GSE24129_FGRvC
8146285	1.00E-04	0.223395	HGSNAT	138050	GSE24129_FGRvC
8155849	0.00011	0.223395	ANXA1	301	GSE24129_FGRvC
8082673	0.00012	0.223395	ACPP // ACPP // ACPP	NA	GSE24129_FGRvC
8039687	0.00012	0.223395	ZNF552	79818	GSE24129_FGRvC
8148329	0.00016	0.223395	NA	NA	GSE24129_FGRvC
7990700	0.00019	0.223395	WDR61	80349	GSE24129_FGRvC
8078272	2.00E-04	0.223395	NR1D2 // NR1D2 // NR1D2	NA	GSE24129_FGRvC
7980891	2.00E-04	0.223395	TC2N // TC2N // TC2N // TC2N	NA	GSE24129_FGRvC
7943051	0.00022	0.223395	NAALAD2	10003	GSE24129_FGRvC
7911376	0.00024	0.223395	HES4 // HES4	NA	GSE24129_FGRvC
8126163	0.00025	0.223395	KCNK17 // KCNK17	NA	GSE24129_FGRvC
8062395	0.00025	0.223395	NNAT // NNAT	NA	GSE24129_FGRvC
7904965	0.00026	0.223395	NA	NA	GSE24129_FGRvC
8006239	0.00027	0.223395	NF1 // NF1 // NF1	NA	GSE24129_FGRvC
7967789	0.00029	0.223395	NA	NA	GSE24129_FGRvC
8067113	0.00029	0.223395	ZNF217	7764	GSE24129_FGRvC
8116070	3.00E-04	0.223395	PDLIM7 // PDLIM7 // PDLIM7 // PDLIM7	NA	GSE24129_FGRvC
7918925	3.00E-04	0.223395	TRIM45 // TRIM45	NA	GSE24129_FGRvC
7974190	0.00033	0.223395	DNAJC19 // DNAJC19 // DNAJC19 // DNAJC19	NA	GSE24129_FGRvC
7982597	0.00034	0.223395	THBS1	7057	GSE24129_FGRvC
7984203	0.00034	0.223395	ZNF609	23060	GSE24129_FGRvC
8167763	0.00035	0.223395	TSPYL2	64061	GSE24129_FGRvC
8072360	0.00037	0.223395	TCN2 // TCN2	NA	GSE24129_FGRvC
7958600	0.00038	0.223395	ANKRD13A	88455	GSE24129_FGRvC
8108192	4.00E-04	0.223395	C5orf66	100996485	GSE24129_FGRvC
7943998	0.00041	0.223395	NNMT	4837	GSE24129_FGRvC
7903119	0.00042	0.223395	ABCD3 // ABCD3	NA	GSE24129_FGRvC
8044353	0.00042	0.223395	ACOXL	55289	GSE24129_FGRvC
8123989	0.00045	0.223395	RANBP9	10048	GSE24129_FGRvC
7935188	0.00045	0.223395	SORBS1 // SORBS1 // SORBS1 // SORBS1 // SORBS1 // SORBS1 // SORBS1 // SORBS1 // SORBS1 // SORBS1 // SORBS1 // SORBS1	NA	GSE24129_FGRvC
8001410	0.00048	0.223395	AKTIP // AKTIP	NA	GSE24129_FGRvC
8085393	0.00048	0.223395	TMEM40 // TMEM40 // TMEM40 // TMEM40	NA	GSE24129_FGRvC
7952641	0.00049	0.223395	ARHGAP32 // ARHGAP32	NA	GSE24129_FGRvC
8165171	5.00E-04	0.223395	INPP5E	NA	GSE24129_FGRvC
7922174	5.00E-04	0.223395	F5	2153	GSE24129_FGRvC
8057959	0.00051	0.223395	PGAP1	80055	GSE24129_FGRvC
8142407	0.00051	0.223395	TMEM168 // TMEM168 // TMEM168	NA	GSE24129_FGRvC
8100943	0.00054	0.223395	RASSF6 // RASSF6 // RASSF6 // RASSF6	NA	GSE24129_FGRvC
8130176	0.00054	0.223395	ULBP3	79465	GSE24129_FGRvC
7998374	0.00055	0.223395	GNG13	51764	GSE24129_FGRvC
7927405	0.00055	0.223395	WDFY4	57705	GSE24129_FGRvC
8021301	0.00056	0.223395	RAB27B	5874	GSE24129_FGRvC
8135990	0.00059	0.223395	FLNC // FLNC	NA	GSE24129_FGRvC
7979505	0.00059	0.223395	SIX1	6495	GSE24129_FGRvC
8059864	6.00E-04	0.223395	GBX2	2637	GSE24129_FGRvC
8141066	6.00E-04	0.223395	PON3	5446	GSE24129_FGRvC
8036636	6.00E-04	0.223395	SIRT2 // SIRT2 // SIRT2 // SIRT2	NA	GSE24129_FGRvC
8174322	0.00062	0.223395	MORC4 // MORC4	NA	GSE24129_FGRvC
7985025	0.00062	0.223395	ODF3L1	161753	GSE24129_FGRvC
8156134	0.00063	0.223395	NTRK2 // NTRK2 // NTRK2 // NTRK2 // NTRK2 // NTRK2	NA	GSE24129_FGRvC
8021470	0.00064	0.223395	PMAIP1	5366	GSE24129_FGRvC
8049007	0.00064	0.223395	SPATA3	130560	GSE24129_FGRvC
8038989	0.00066	0.223395	ZNF600	162966	GSE24129_FGRvC
7980861	0.00067	0.223395	CATSPERB	79820	GSE24129_FGRvC
8036436	0.00069	0.223395	ZNF607 // ZNF607	NA	GSE24129_FGRvC
7956539	0.00073	0.223395	DTX3 // DTX3 // DTX3	NA	GSE24129_FGRvC
7932407	0.00073	0.223395	ST8SIA6	338596	GSE24129_FGRvC
8136045	0.00074	0.223395	IRF5 // IRF5 // IRF5 // IRF5 // IRF5	NA	GSE24129_FGRvC
7918313	0.00074	0.223395	MYBPHL // MYBPHL	NA	GSE24129_FGRvC
8158380	0.00074	0.223395	PKN3	29941	GSE24129_FGRvC
7909745	0.00076	0.223395	KCTD3	51133	GSE24129_FGRvC
7976443	0.00077	0.223395	IFI27 // IFI27 // IFI27 // IFI27 // IFI27 // IFI27 // IFI27 // IFI27 // IFI27 // IFI27	NA	GSE24129_FGRvC
8016546	0.00077	0.223395	ZNF652 // ZNF652	NA	GSE24129_FGRvC
8024511	0.00084	0.223395	ZNF554	115196	GSE24129_FGRvC
7969438	0.00086	0.223395	LMO7 // LMO7	NA	GSE24129_FGRvC
8077103	0.00086	0.223395	TYMP // TYMP // TYMP // TYMP // TYMP	NA	GSE24129_FGRvC
8175808	0.00087	0.223395	TREX2	11219	GSE24129_FGRvC
8081219	0.00091	0.223395	ST3GAL6 // ST3GAL6 // ST3GAL6 // ST3GAL6 // ST3GAL6 // ST3GAL6	NA	GSE24129_FGRvC
8041617	0.00092	0.223395	MTA3 // MTA3 // MTA3	NA	GSE24129_FGRvC
7977773	0.00095	0.223395	NA	NA	GSE24129_FGRvC
8159554	0.00096	0.223395	UAP1L1	NA	GSE24129_FGRvC
7925531	0.00096	0.223395	AKT3 // AKT3 // AKT3	NA	GSE24129_FGRvC
8090277	0.00097	0.223395	OSBPL11	114885	GSE24129_FGRvC
8104369	0.00097	0.223395	SRD5A1	6715	GSE24129_FGRvC
8056047	0.00098	0.223395	WDSUB1 // WDSUB1 // WDSUB1	NA	GSE24129_FGRvC
8055038	0.00099	0.223395	LIMS2 // LIMS2 // LIMS2 // LIMS2 // LIMS2	NA	GSE24129_FGRvC
8136863	0.00099	0.223395	TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139	NA	GSE24129_FGRvC
7995362	0.00102	0.223395	GPT2 // GPT2	NA	GSE24129_FGRvC
8097867	0.00103	0.223395	KIAA0922 // KIAA0922	NA	GSE24129_FGRvC
8099612	0.00104	0.223395	ADGRA3	166647	GSE24129_FGRvC
8175016	0.00104	0.223395	APLN	8862	GSE24129_FGRvC
8177628	0.00106	0.223395	CCDC125	202243	GSE24129_FGRvC
7968703	0.00106	0.223395	NHLRC3 // NHLRC3 // NHLRC3	NA	GSE24129_FGRvC
8145977	0.00106	0.223395	PLEKHA2	59339	GSE24129_FGRvC
7902441	0.00106	0.223395	ST6GALNAC5	81849	GSE24129_FGRvC
7980744	0.00109	0.223395	RPS6KA5 // RPS6KA5	NA	GSE24129_FGRvC
8051762	0.00109	0.223395	SLC8A1 // SLC8A1 // SLC8A1 // SLC8A1 // SLC8A1	NA	GSE24129_FGRvC
8092707	0.0011	0.223395	P3H2 // P3H2	NA	GSE24129_FGRvC
8036525	0.00111	0.223395	MAP4K1 // MAP4K1	NA	GSE24129_FGRvC
8163255	0.00111	0.223395	NA	NA	GSE24129_FGRvC
8088911	0.00114	0.223395	ZNF717 // ZNF717 // ZNF717 // ZNF717	NA	GSE24129_FGRvC
8068168	0.00115	0.223395	SOD1	6647	GSE24129_FGRvC
7946680	0.00116	0.223395	BTBD10	84280	GSE24129_FGRvC
8053009	0.00116	0.223395	FBXO41	150726	GSE24129_FGRvC
8158542	0.00117	0.223395	NA	NA	GSE24129_FGRvC
7950162	0.00118	0.223395	PDE2A // PDE2A // PDE2A // PDE2A	NA	GSE24129_FGRvC
7976307	0.00121	0.223395	GOLGA5	9950	GSE24129_FGRvC
7927099	0.00121	0.223395	LINC00839	84856	GSE24129_FGRvC
8064277	0.00121	0.223395	MYT1	4661	GSE24129_FGRvC
8170420	0.00122	0.223395	MAMLD1 // MAMLD1 // MAMLD1	NA	GSE24129_FGRvC
7979516	0.00122	0.223395	TRMT5	57570	GSE24129_FGRvC
7937407	0.00123	0.223395	RASSF7 // RASSF7 // RASSF7	NA	GSE24129_FGRvC
8173825	0.00123	0.223395	RPS6KA6	27330	GSE24129_FGRvC
8121757	0.00124	0.223395	HSF2 // HSF2 // HSF2	NA	GSE24129_FGRvC
