probe	id	pvalue	symbol	group
7896744	7896744	0.01416	NA	GSE24129_FGRvsC
7896761	7896761	0.03351	SAMD11	GSE24129_FGRvsC
7896817	7896817	0.01355	ISG15	GSE24129_FGRvsC
7896822	7896822	0.02188	AGRN	GSE24129_FGRvsC
7896908	7896908	0.04758	PUSL1	GSE24129_FGRvsC
7896937	7896937	0.01417	NA	GSE24129_FGRvsC
7896985	7896985	0.02736	MIB2	GSE24129_FGRvsC
7897026	7897026	0.0396	CALML6	GSE24129_FGRvsC
7897196	7897196	0.04426	CCDC27	GSE24129_FGRvsC
7897236	7897236	0.04499	KCNAB2	GSE24129_FGRvsC
7897280	7897280	0.00944	HES3	GSE24129_FGRvsC
7897295	7897295	0.01373	TAS1R1	GSE24129_FGRvsC
7897378	7897378	0.02557	PER3	GSE24129_FGRvsC
7897849	7897849	0.03535	MIIP	GSE24129_FGRvsC
7897991	7897991	0.04336	NA	GSE24129_FGRvsC
7898184	7898184	0.02877	CELA2B	GSE24129_FGRvsC
7898192	7898192	0.03631	DNAJC16	GSE24129_FGRvsC
7898211	7898211	0.01202	NA	GSE24129_FGRvsC
7898263	7898263	0.02953	FBLIM1	GSE24129_FGRvsC
7898300	7898300	0.04474	CLCNKA	GSE24129_FGRvsC
7898673	7898673	0.02103	NA	GSE24129_FGRvsC
7898910	7898910	0.03484	PNRC2	GSE24129_FGRvsC
7898939	7898939	0.02383	NIPAL3	GSE24129_FGRvsC
7898967	7898967	0.0073	NCMAP	GSE24129_FGRvsC
7899071	7899071	0.00464	NA	GSE24129_FGRvsC
7899160	7899160	0.01378	CD52	GSE24129_FGRvsC
7899192	7899192	0.04006	RPS6KA1	GSE24129_FGRvsC
7899287	7899287	0.03269	NA	GSE24129_FGRvsC
7899323	7899323	0.02579	SYTL1	GSE24129_FGRvsC
7899348	7899348	0.01604	NA	GSE24129_FGRvsC
7899394	7899394	0.00432	THEMIS2	GSE24129_FGRvsC
7899407	7899407	0.03053	SMPDL3B	GSE24129_FGRvsC
7899455	7899455	0.03646	PHACTR4	GSE24129_FGRvsC
7899484	7899484	0.03141	NA	GSE24129_FGRvsC
7899499	7899499	0.00341	RAB42	GSE24129_FGRvsC
7899719	7899719	0.0158	CCDC28B	GSE24129_FGRvsC
7899750	7899750	0.00569	FAM167B	GSE24129_FGRvsC
7899813	7899813	0.02859	RBBP4	GSE24129_FGRvsC
7899829	7899829	0.03833	S100PBP	GSE24129_FGRvsC
7899870	7899870	0.04701	ZNF362	GSE24129_FGRvsC
7899882	7899882	0.02453	ZNF362	GSE24129_FGRvsC
7899957	7899957	0.03948	ZMYM4	GSE24129_FGRvsC
7900001	7900001	0.01749	TFAP2E	GSE24129_FGRvsC
7900087	7900087	0.02188	ADPRHL2	GSE24129_FGRvsC
7900426	7900426	0.04291	SMAP2	GSE24129_FGRvsC
