probe	pvalue	adj.pvalue	symbol	entrez	group
ILMN_1747637	0	0.099629	LOC644008	NA	GSE30186_PEvC
ILMN_2075436	0	0.052811	PDIA3P	NA	GSE30186_PEvC
ILMN_1726210	2.00E-05	0.270053	GPIHBP1	338328	GSE30186_PEvC
ILMN_1734878	5.00E-05	0.441075	CD79A	973	GSE30186_PEvC
ILMN_1675057	8.00E-05	0.441075	DRD2	1813	GSE30186_PEvC
ILMN_1708421	0.00011	0.441075	LOC652646	NA	GSE30186_PEvC
ILMN_1855401	0.00014	0.441075	NA	NA	GSE30186_PEvC
ILMN_1736346	0.00015	0.441075	LOC646096	NA	GSE30186_PEvC
ILMN_1784477	0.00015	0.441075	PLEKHG5	57449	GSE30186_PEvC
ILMN_1866480	0.00016	0.441075	NA	NA	GSE30186_PEvC
ILMN_2137003	0.00017	0.441075	C16orf78	123970	GSE30186_PEvC
ILMN_1768339	0.00018	0.441075	C10orf31	NA	GSE30186_PEvC
ILMN_3235799	0.00018	0.441075	LOC100134067	NA	GSE30186_PEvC
ILMN_1684976	0.00018	0.441075	LOC649212	NA	GSE30186_PEvC
ILMN_2174702	0.00019	0.441075	HIP2	NA	GSE30186_PEvC
ILMN_1755354	0.00019	0.441075	YBX2	51087	GSE30186_PEvC
ILMN_1890314	0.00019	0.441075	NA	NA	GSE30186_PEvC
ILMN_1898022	2.00E-04	0.441075	NA	NA	GSE30186_PEvC
ILMN_1674488	0.00021	0.441075	KCNN1	3780	GSE30186_PEvC
ILMN_1825275	0.00021	0.441075	NA	NA	GSE30186_PEvC
ILMN_1690870	0.00025	0.464862	LOC401056	NA	GSE30186_PEvC
ILMN_3209317	0.00025	0.464862	LOC644949	NA	GSE30186_PEvC
ILMN_2332795	0.00026	0.464862	ZNF16	7564	GSE30186_PEvC
ILMN_1911374	0.00028	0.469075	LOC642879	NA	GSE30186_PEvC
ILMN_1828747	0.00028	0.469075	NA	NA	GSE30186_PEvC
ILMN_1699275	3.00E-04	0.471339	FLJ14712	NA	GSE30186_PEvC
ILMN_1764301	3.00E-04	0.471339	LOC648639	NA	GSE30186_PEvC
ILMN_1735591	0.00034	0.480964	AGAP2	116986	GSE30186_PEvC
ILMN_2342559	0.00034	0.480964	SPOCK3	50859	GSE30186_PEvC
ILMN_2155719	0.00035	0.480964	NBPF10	100132406	GSE30186_PEvC
ILMN_2342541	0.00036	0.480964	TAC1	6863	GSE30186_PEvC
ILMN_3289793	0.00037	0.481405	LOC387770	387770	GSE30186_PEvC
ILMN_2231189	0.00039	0.484027	HIAT1	NA	GSE30186_PEvC
ILMN_2415979	0.00039	0.484027	KIAA1751	NA	GSE30186_PEvC
ILMN_3260920	0.00043	0.508106	LOC100128270	NA	GSE30186_PEvC
ILMN_1772663	0.00045	0.508106	KIAA0692	NA	GSE30186_PEvC
ILMN_2382290	0.00045	0.508106	KREMEN2	79412	GSE30186_PEvC
ILMN_2340974	0.00046	0.508106	ANKS1B	56899	GSE30186_PEvC
ILMN_3248948	5.00E-04	0.534489	LOC100134241	NA	GSE30186_PEvC
ILMN_1719756	0.00053	0.549105	ZAP70	7535	GSE30186_PEvC
ILMN_3251662	0.00054	0.549105	HINT3	135114	GSE30186_PEvC
ILMN_1680179	0.00056	0.549105	SNORD18B	595099	GSE30186_PEvC
ILMN_1692145	0.00057	0.549105	ZNF14	7561	GSE30186_PEvC
ILMN_3242405	0.00058	0.549105	RMRP	6023	GSE30186_PEvC
ILMN_2132828	0.00059	0.549105	RAB6C	84084	GSE30186_PEvC
ILMN_1677691	0.00064	0.553262	LOC648852	NA	GSE30186_PEvC
ILMN_1715809	0.00064	0.553262	OGFRL1	79627	GSE30186_PEvC
ILMN_1680927	0.00065	0.553262	CASC2	255082	GSE30186_PEvC
ILMN_1772976	0.00068	0.553262	BTNL9	153579	GSE30186_PEvC
ILMN_1904791	0.00068	0.553262	NA	NA	GSE30186_PEvC
ILMN_1711254	7.00E-04	0.553262	WDR3	10885	GSE30186_PEvC
ILMN_1762091	0.00071	0.553262	CATSPERB	79820	GSE30186_PEvC
ILMN_1660882	0.00071	0.553262	CHRM4	1132	GSE30186_PEvC
ILMN_1759330	0.00072	0.553262	KIF1A	547	GSE30186_PEvC
ILMN_1781721	0.00075	0.553262	DDX31	64794	GSE30186_PEvC
ILMN_3298191	0.00075	0.553262	LOC728694	NA	GSE30186_PEvC
ILMN_1738407	0.00075	0.553262	ULBP1	80329	GSE30186_PEvC
ILMN_3225648	0.00079	0.569348	LOC731109	NA	GSE30186_PEvC
ILMN_1699722	0.00082	0.570488	LOC646074	NA	GSE30186_PEvC
ILMN_1703077	0.00084	0.570488	LOC642902	NA	GSE30186_PEvC
ILMN_3246910	0.00085	0.570488	LOC100190986	100190986	GSE30186_PEvC
ILMN_1678403	0.00086	0.570488	TMEM178	NA	GSE30186_PEvC
ILMN_1846776	0.00088	0.570488	NA	NA	GSE30186_PEvC
ILMN_1686066	0.00089	0.570488	LOC650968	NA	GSE30186_PEvC
ILMN_3178698	0.00091	0.570488	LOC100130174	NA	GSE30186_PEvC
ILMN_1812622	0.00091	0.570488	NEIL1	79661	GSE30186_PEvC
ILMN_3249338	0.00093	0.570488	LOC100128292	NA	GSE30186_PEvC
ILMN_1677963	0.00094	0.570488	TMCC1	23023	GSE30186_PEvC
ILMN_2231177	0.00095	0.570488	OR7E24	26648	GSE30186_PEvC
ILMN_1858589	0.00097	0.570488	NA	NA	GSE30186_PEvC
ILMN_1732716	0.00098	0.570488	LOC644086	NA	GSE30186_PEvC
ILMN_1856031	0.00098	0.570488	NA	NA	GSE30186_PEvC
ILMN_1652472	0.001	0.575239	BRAF	673	GSE30186_PEvC
ILMN_3304906	0.0011	0.610045	TMEM191C	645426	GSE30186_PEvC
ILMN_2394161	0.00111	0.610045	ST8SIA4	7903	GSE30186_PEvC
ILMN_1872419	0.00111	0.610045	NA	NA	GSE30186_PEvC
ILMN_1691467	0.00112	0.610045	GSX1	219409	GSE30186_PEvC
ILMN_1693183	0.00116	0.622034	SORBS2	8470	GSE30186_PEvC
ILMN_1819067	0.00117	0.622034	NA	NA	GSE30186_PEvC
ILMN_1790781	0.0012	0.626593	DHRS13	147015	GSE30186_PEvC
ILMN_1654563	0.00124	0.635129	EFNB1	1947	GSE30186_PEvC
ILMN_1707551	0.00126	0.635129	AFMID	125061	GSE30186_PEvC
ILMN_2113738	0.00127	0.635129	C8orf45	NA	GSE30186_PEvC
ILMN_2095759	0.00127	0.635129	OGFRL1	79627	GSE30186_PEvC
ILMN_3275936	0.00132	0.640003	LOC100133277	NA	GSE30186_PEvC
ILMN_3236650	0.00133	0.640003	SNORD47	26802	GSE30186_PEvC
ILMN_1659370	0.00134	0.640003	LOC391013	NA	GSE30186_PEvC
ILMN_1676067	0.00136	0.640003	SEMA3G	56920	GSE30186_PEvC
ILMN_1785252	0.00136	0.640003	SLC26A6	65010	GSE30186_PEvC
ILMN_1653591	0.00138	0.643127	TRIM40	135644	GSE30186_PEvC
ILMN_1810418	0.00146	0.670717	LBR	3930	GSE30186_PEvC
ILMN_1726693	0.00154	0.690607	GTF2H1	2965	GSE30186_PEvC
ILMN_3233993	0.00155	0.690607	LOC727895	NA	GSE30186_PEvC
ILMN_1663813	0.00158	0.690607	LOC344741	NA	GSE30186_PEvC
ILMN_1715407	0.00158	0.690607	LOC644404	NA	GSE30186_PEvC
ILMN_1728102	0.00162	0.690607	LOC648629	NA	GSE30186_PEvC
ILMN_1699887	0.00162	0.690607	ST14	6768	GSE30186_PEvC
ILMN_1800130	0.00168	0.690607	ETNK2	55224	GSE30186_PEvC
ILMN_1739794	0.0017	0.690607	CD3E	916	GSE30186_PEvC
ILMN_1768071	0.00171	0.690607	C2orf50	130813	GSE30186_PEvC
ILMN_1674703	0.00171	0.690607	UBE1DC1	NA	GSE30186_PEvC
ILMN_2139816	0.00172	0.690607	GPSM2	29899	GSE30186_PEvC
ILMN_2214997	0.00172	0.690607	LRRFIP1	9208	GSE30186_PEvC
ILMN_1747285	0.00174	0.690607	HFM1	164045	GSE30186_PEvC
ILMN_1651567	0.00174	0.690607	WHSC1	NA	GSE30186_PEvC
