probe	id	pvalue	symbol	group
ILMN_1651209	ILMN_1651209	0.00292	SLC35E2	GSE35574_CasevsControl
ILMN_1651232	ILMN_1651232	0.0148	FAM86FP	GSE35574_CasevsControl
ILMN_1651238	ILMN_1651238	0.00014	TRPV1	GSE35574_CasevsControl
ILMN_1651259	ILMN_1651259	0.0251	UGP2	GSE35574_CasevsControl
ILMN_1651261	ILMN_1651261	5e-05	RSU1	GSE35574_CasevsControl
ILMN_1651298	ILMN_1651298	0.03281	RAD17	GSE35574_CasevsControl
ILMN_1651328	ILMN_1651328	0.01146	NA	GSE35574_CasevsControl
ILMN_1651354	ILMN_1651354	0.00026	SPP1	GSE35574_CasevsControl
ILMN_1651378	ILMN_1651378	0.04511	AUP1	GSE35574_CasevsControl
ILMN_1651406	ILMN_1651406	1e-05	PPP1R14B	GSE35574_CasevsControl
ILMN_1651415	ILMN_1651415	0.00126	DERL3	GSE35574_CasevsControl
ILMN_1651433	ILMN_1651433	4e-05	DCK	GSE35574_CasevsControl
ILMN_1651438	ILMN_1651438	0.0309	ZFPM1	GSE35574_CasevsControl
ILMN_1651478	ILMN_1651478	0.00037	MEST	GSE35574_CasevsControl
ILMN_1651498	ILMN_1651498	0.00123	GADD45G	GSE35574_CasevsControl
ILMN_1651499	ILMN_1651499	0.00831	NA	GSE35574_CasevsControl
ILMN_1651574	ILMN_1651574	0.00011	AQP3	GSE35574_CasevsControl
ILMN_1651636	ILMN_1651636	0.00761	CYP2A13	GSE35574_CasevsControl
ILMN_1651642	ILMN_1651642	0.01032	GPC2	GSE35574_CasevsControl
ILMN_1651680	ILMN_1651680	0	EEF1A1	GSE35574_CasevsControl
ILMN_1651735	ILMN_1651735	0.02113	TGOLN2	GSE35574_CasevsControl
ILMN_1651800	ILMN_1651800	0.04479	GSTM4	GSE35574_CasevsControl
ILMN_1651826	ILMN_1651826	0.00017	BASP1	GSE35574_CasevsControl
ILMN_1651843	ILMN_1651843	0.00101	CHTF8	GSE35574_CasevsControl
ILMN_1651849	ILMN_1651849	0.0029	SLC1A6	GSE35574_CasevsControl
ILMN_1651872	ILMN_1651872	0.00034	UBIAD1	GSE35574_CasevsControl
ILMN_1651902	ILMN_1651902	0.00377	RASL11A	GSE35574_CasevsControl
ILMN_1651916	ILMN_1651916	0.02804	OCLN	GSE35574_CasevsControl
ILMN_1651936	ILMN_1651936	0.00046	KMT5A	GSE35574_CasevsControl
ILMN_1651938	ILMN_1651938	0.02002	NA	GSE35574_CasevsControl
ILMN_1651958	ILMN_1651958	0.013	MGP	GSE35574_CasevsControl
ILMN_1652000	ILMN_1652000	0.00223	NA	GSE35574_CasevsControl
ILMN_1652008	ILMN_1652008	0.00067	KNSTRN	GSE35574_CasevsControl
ILMN_1652024	ILMN_1652024	0.00744	CSNK1G3	GSE35574_CasevsControl
ILMN_1652027	ILMN_1652027	9e-05	GABBR1	GSE35574_CasevsControl
ILMN_1652040	ILMN_1652040	0.04622	KCTD2	GSE35574_CasevsControl
ILMN_1652082	ILMN_1652082	0.00633	ELF4	GSE35574_CasevsControl
ILMN_1652085	ILMN_1652085	0.01187	MPHOSPH10	GSE35574_CasevsControl
ILMN_1652088	ILMN_1652088	0.04504	PAPOLB	GSE35574_CasevsControl
ILMN_1652163	ILMN_1652163	0.02819	DVL2	GSE35574_CasevsControl
ILMN_1652223	ILMN_1652223	0.01877	WDR91	GSE35574_CasevsControl
ILMN_1652280	ILMN_1652280	1e-05	FBXO32	GSE35574_CasevsControl
ILMN_1652309	ILMN_1652309	0.01473	TTC8	GSE35574_CasevsControl
ILMN_1652412	ILMN_1652412	0.00055	PHKB	GSE35574_CasevsControl
ILMN_1652413	ILMN_1652413	0.01388	UCN2	GSE35574_CasevsControl
ILMN_1652423	ILMN_1652423	0.00165	RREB1	GSE35574_CasevsControl
ILMN_1652431	ILMN_1652431	0.00013	CA1	GSE35574_CasevsControl
ILMN_1652434	ILMN_1652434	0.0141	MTHFD2L	GSE35574_CasevsControl
