probe	pvalue	adj.pvalue	symbol	entrez	group
ILMN_1783843	0	0.147911	IIP45	NA	GSE35574_IUGRvC
ILMN_1712522	1.00E-05	0.153119	CEACAM6	4680	GSE35574_IUGRvC
ILMN_1815527	1.00E-05	0.153119	HBD	"3045, 100187828"	GSE35574_IUGRvC
ILMN_1727984	2.00E-05	0.153119	F8A1	8263	GSE35574_IUGRvC
ILMN_1678522	2.00E-05	0.153119	LOC644934	NA	GSE35574_IUGRvC
ILMN_1685286	3.00E-05	0.24675	PPP1R12C	54776	GSE35574_IUGRvC
ILMN_1768127	4.00E-05	0.24675	EBNA1BP2	10969	GSE35574_IUGRvC
ILMN_1769040	4.00E-05	0.24675	NCOA2	10499	GSE35574_IUGRvC
ILMN_1843369	5.00E-05	0.24675	NA	NA	GSE35574_IUGRvC
ILMN_1806056	6.00E-05	0.24675	CEACAM8	1088	GSE35574_IUGRvC
ILMN_1656145	6.00E-05	0.24675	GOT1	2805	GSE35574_IUGRvC
ILMN_1695585	6.00E-05	0.24675	LOC731313	NA	GSE35574_IUGRvC
ILMN_1680652	1.00E-04	0.340861	SELENBP1	8991	GSE35574_IUGRvC
ILMN_1870434	1.00E-04	0.340861	NA	NA	GSE35574_IUGRvC
ILMN_1788149	0.00012	0.36157	NEK11	79858	GSE35574_IUGRvC
ILMN_1762436	0.00012	0.36157	UBB	7314	GSE35574_IUGRvC
ILMN_1733769	0.00013	0.36157	NPNT	255743	GSE35574_IUGRvC
ILMN_1796523	0.00014	0.36157	FNIP1	96459	GSE35574_IUGRvC
ILMN_1726647	0.00014	0.36157	LOC650646	NA	GSE35574_IUGRvC
ILMN_1747241	0.00017	0.36157	IWS1	55677	GSE35574_IUGRvC
ILMN_1756501	0.00017	0.36157	ST6GAL1	6480	GSE35574_IUGRvC
ILMN_1866954	0.00017	0.36157	NA	NA	GSE35574_IUGRvC
ILMN_1701267	0.00018	0.36157	LOC283755	NA	GSE35574_IUGRvC
ILMN_1681245	0.00018	0.36157	ST14	6768	GSE35574_IUGRvC
ILMN_1813645	0.00019	0.362832	NEK11	79858	GSE35574_IUGRvC
ILMN_1707534	0.00019	0.36157	NKRF	55922	GSE35574_IUGRvC
ILMN_1815639	0.00021	0.377844	PERQ1	NA	GSE35574_IUGRvC
ILMN_1708529	0.00023	0.406933	PAPPA2	60676	GSE35574_IUGRvC
ILMN_1704961	0.00027	0.428314	ACTG1	71	GSE35574_IUGRvC
ILMN_1656501	0.00028	0.428314	DUSP5	1847	GSE35574_IUGRvC
ILMN_1883317	0.00028	0.428314	NA	NA	GSE35574_IUGRvC
ILMN_1688580	0.00029	0.428314	CAMP	820	GSE35574_IUGRvC
ILMN_1793033	0.00029	0.428314	RBM28	55131	GSE35574_IUGRvC
ILMN_1692168	0.00033	0.468701	UBE2Z	65264	GSE35574_IUGRvC
ILMN_1802627	0.00034	0.469515	C7orf48	NA	GSE35574_IUGRvC
ILMN_1785644	0.00036	0.469515	C20orf29	NA	GSE35574_IUGRvC
ILMN_1735361	0.00036	0.469515	MAPK11	5600	GSE35574_IUGRvC
ILMN_1682699	0.00037	0.469515	PBX2	5089	GSE35574_IUGRvC
ILMN_1715241	4.00E-04	0.500025	HDAC9	9734	GSE35574_IUGRvC
ILMN_1792885	0.00042	0.513001	CTSC	1075	GSE35574_IUGRvC
ILMN_1672797	0.00045	0.515313	BCL6B	255877	GSE35574_IUGRvC
ILMN_1766236	0.00045	0.515313	DKFZp761P0423	NA	GSE35574_IUGRvC
ILMN_1715715	0.00048	0.516244	CEBPA	1050	GSE35574_IUGRvC
ILMN_1691458	0.00048	0.516244	SYPL1	6856	GSE35574_IUGRvC
ILMN_1848851	0.00048	0.516244	NA	NA	GSE35574_IUGRvC
ILMN_1812827	0.00051	0.516244	LOC649667	NA	GSE35574_IUGRvC
ILMN_1764362	0.00051	0.516244	LYAR	55646	GSE35574_IUGRvC
ILMN_1745778	0.00051	0.516244	SLC45A4	57210	GSE35574_IUGRvC
ILMN_1758679	0.00052	0.516244	TMEM168	64418	GSE35574_IUGRvC
ILMN_1743205	0.00054	0.51642	ABCA7	10347	GSE35574_IUGRvC
ILMN_1671473	0.00056	0.51642	EHD3	30845	GSE35574_IUGRvC
ILMN_1719951	0.00056	0.51642	FLJ31951	NA	GSE35574_IUGRvC
ILMN_1711748	0.00057	0.51642	PLTP	5360	GSE35574_IUGRvC
ILMN_1709033	0.00058	0.51642	LOC650509	NA	GSE35574_IUGRvC
ILMN_1774330	0.00059	0.517711	KIAA0523	NA	GSE35574_IUGRvC
ILMN_1781966	6.00E-04	0.517711	OSBP2	23762	GSE35574_IUGRvC
ILMN_1917330	0.00061	0.517711	NA	NA	GSE35574_IUGRvC
ILMN_1667510	0.00069	0.574219	C12orf65	91574	GSE35574_IUGRvC
ILMN_1662932	0.00072	0.574219	LCP1	3936	GSE35574_IUGRvC
ILMN_1760778	0.00074	0.574219	ENG	2022	GSE35574_IUGRvC
ILMN_1680246	0.00074	0.574219	MAT2B	27430	GSE35574_IUGRvC
ILMN_1788547	0.00075	0.574219	GCLM	2730	GSE35574_IUGRvC
ILMN_1772981	0.00076	0.574219	EPN1	29924	GSE35574_IUGRvC
ILMN_1651298	0.00076	0.574219	RAD17	5884	GSE35574_IUGRvC
ILMN_1797534	0.00078	0.582569	RIOK1	83732	GSE35574_IUGRvC
ILMN_1680799	0.00082	0.600622	LOC642366	642366	GSE35574_IUGRvC
ILMN_1806692	0.00092	0.619592	HEXB	3074	GSE35574_IUGRvC
ILMN_1668247	0.00093	0.619592	LTC4S	4056	GSE35574_IUGRvC
ILMN_1750097	0.00096	0.619592	CLDN19	149461	GSE35574_IUGRvC
ILMN_1695435	0.00096	0.619592	LOC653610	NA	GSE35574_IUGRvC
ILMN_1728432	0.00097	0.619592	SEMA4C	54910	GSE35574_IUGRvC
ILMN_1849699	0.00098	0.619592	NA	NA	GSE35574_IUGRvC
ILMN_1713685	0.001	0.619592	HNMT	3176	GSE35574_IUGRvC
ILMN_1811480	0.00101	0.619592	ADPRHL2	54936	GSE35574_IUGRvC
ILMN_1668779	0.00102	0.619592	GPR17	2840	GSE35574_IUGRvC
ILMN_1771182	0.00103	0.619592	LOC643430	NA	GSE35574_IUGRvC
ILMN_1655046	0.00103	0.619592	NUTF2	10204	GSE35574_IUGRvC
ILMN_1670633	0.00103	0.619592	RPL38	6169	GSE35574_IUGRvC
ILMN_1725661	0.00104	0.619592	LOC728358	NA	GSE35574_IUGRvC
ILMN_1656382	0.00105	0.619592	GIYD2	NA	GSE35574_IUGRvC
ILMN_1703617	0.00107	0.619592	AHSA1	10598	GSE35574_IUGRvC
ILMN_1693262	0.00108	0.619592	LOC653600	NA	GSE35574_IUGRvC
ILMN_1661490	0.00108	0.619592	PFDN6	10471	GSE35574_IUGRvC
ILMN_1805999	0.00109	0.619592	MYO1D	4642	GSE35574_IUGRvC
ILMN_1701551	0.0011	0.619592	ABCA6	23460	GSE35574_IUGRvC
ILMN_1902493	0.0011	0.619592	NA	NA	GSE35574_IUGRvC
ILMN_1679357	0.00111	0.620247	LOC728358	NA	GSE35574_IUGRvC
ILMN_1813073	0.00121	0.658745	UBE2Z	65264	GSE35574_IUGRvC
ILMN_1798032	0.00125	0.658745	TRIM24	8805	GSE35574_IUGRvC
ILMN_1823968	0.00126	0.658745	NA	NA	GSE35574_IUGRvC
ILMN_1678531	0.00129	0.658745	N4BP3	23138	GSE35574_IUGRvC
ILMN_1897061	0.0013	0.658745	NA	NA	GSE35574_IUGRvC
ILMN_1703301	0.00131	0.658745	LOC653479	NA	GSE35574_IUGRvC
ILMN_1759155	0.00132	0.658745	IFIT1L	NA	GSE35574_IUGRvC
ILMN_1683716	0.00132	0.658745	THSD1P	NA	GSE35574_IUGRvC
ILMN_1879696	0.00132	0.658745	NA	NA	GSE35574_IUGRvC
ILMN_1726745	0.00133	0.658745	TMIE	259236	GSE35574_IUGRvC
ILMN_1757350	0.00135	0.658745	CTNNB1	1499	GSE35574_IUGRvC
ILMN_1793770	0.00135	0.658745	DNAJB6	10049	GSE35574_IUGRvC
ILMN_1659122	0.00136	0.658745	KLF10	7071	GSE35574_IUGRvC
ILMN_1653261	0.00139	0.66038	LOC650387	NA	GSE35574_IUGRvC
ILMN_1653774	0.0014	0.66038	LOC200312	NA	GSE35574_IUGRvC
ILMN_1792002	0.00142	0.66038	PAPPA2	60676	GSE35574_IUGRvC
ILMN_1673165	0.00142	0.66038	WDR78	79819	GSE35574_IUGRvC
ILMN_1905793	0.00144	0.66038	NA	NA	GSE35574_IUGRvC
ILMN_1669146	0.00145	0.66038	SIAE	54414	GSE35574_IUGRvC
ILMN_1805638	0.00146	0.66038	CFHR2	3080	GSE35574_IUGRvC
ILMN_1697845	0.00149	0.66038	GNRH2	2797	GSE35574_IUGRvC
ILMN_1876539	0.0015	0.66038	NA	NA	GSE35574_IUGRvC
