probe	id	pvalue	symbol	group
ILMN_1651229	ILMN_1651229	0.02257	IPO13	GSE35574_IUGRvsC
ILMN_1651232	ILMN_1651232	0.04025	FAM86FP	GSE35574_IUGRvsC
ILMN_1651298	ILMN_1651298	0.00076	RAD17	GSE35574_IUGRvsC
ILMN_1651406	ILMN_1651406	0.034	PPP1R14B	GSE35574_IUGRvsC
ILMN_1651415	ILMN_1651415	0.03549	DERL3	GSE35574_IUGRvsC
ILMN_1651438	ILMN_1651438	0.00786	ZFPM1	GSE35574_IUGRvsC
ILMN_1651478	ILMN_1651478	0.01322	MEST	GSE35574_IUGRvsC
ILMN_1651597	ILMN_1651597	0.01633	FBXO44	GSE35574_IUGRvsC
ILMN_1651610	ILMN_1651610	0.00988	SPRY1	GSE35574_IUGRvsC
ILMN_1651641	ILMN_1651641	0.00831	NA	GSE35574_IUGRvsC
ILMN_1651692	ILMN_1651692	0.03163	STK10	GSE35574_IUGRvsC
ILMN_1651826	ILMN_1651826	0.00558	BASP1	GSE35574_IUGRvsC
ILMN_1651872	ILMN_1651872	0.01166	UBIAD1	GSE35574_IUGRvsC
ILMN_1651936	ILMN_1651936	0.00171	KMT5A	GSE35574_IUGRvsC
ILMN_1651958	ILMN_1651958	0.04379	MGP	GSE35574_IUGRvsC
ILMN_1652017	ILMN_1652017	0.01295	PPEF1	GSE35574_IUGRvsC
ILMN_1652072	ILMN_1652072	0.01448	NIM1K	GSE35574_IUGRvsC
ILMN_1652088	ILMN_1652088	0.00954	PAPOLB	GSE35574_IUGRvsC
ILMN_1652147	ILMN_1652147	0.0104	MRPL43	GSE35574_IUGRvsC
ILMN_1652244	ILMN_1652244	0.03243	POPDC3	GSE35574_IUGRvsC
ILMN_1652287	ILMN_1652287	0.04955	NOG	GSE35574_IUGRvsC
ILMN_1652431	ILMN_1652431	0.00386	CA1	GSE35574_IUGRvsC
ILMN_1652445	ILMN_1652445	0.04918	RAC1	GSE35574_IUGRvsC
ILMN_1652456	ILMN_1652456	0.01243	TMEM98	GSE35574_IUGRvsC
ILMN_1652472	ILMN_1652472	0.02753	BRAF	GSE35574_IUGRvsC
ILMN_1652512	ILMN_1652512	0.04765	C2CD2	GSE35574_IUGRvsC
ILMN_1652639	ILMN_1652639	0.03917	NA	GSE35574_IUGRvsC
ILMN_1652660	ILMN_1652660	0.00839	NA	GSE35574_IUGRvsC
ILMN_1652693	ILMN_1652693	0.02542	SHH	GSE35574_IUGRvsC
ILMN_1652701	ILMN_1652701	0.04927	NA	GSE35574_IUGRvsC
ILMN_1652786	ILMN_1652786	0.02056	NA	GSE35574_IUGRvsC
ILMN_1652837	ILMN_1652837	0.03862	NA	GSE35574_IUGRvsC
ILMN_1652920	ILMN_1652920	0.04374	AIP	GSE35574_IUGRvsC
ILMN_1652938	ILMN_1652938	0.04813	PRRG3	GSE35574_IUGRvsC
ILMN_1653098	ILMN_1653098	0.00869	SLC30A4	GSE35574_IUGRvsC
ILMN_1653142	ILMN_1653142	0.0426	NA	GSE35574_IUGRvsC
ILMN_1653163	ILMN_1653163	0.01307	ZSCAN2	GSE35574_IUGRvsC
ILMN_1653165	ILMN_1653165	0.00308	AAMP	GSE35574_IUGRvsC
ILMN_1653261	ILMN_1653261	0.00139	NA	GSE35574_IUGRvsC
ILMN_1653341	ILMN_1653341	0.04911	KRTAP19-2	GSE35574_IUGRvsC
ILMN_1653358	ILMN_1653358	0.00997	FUT3	GSE35574_IUGRvsC
ILMN_1653494	ILMN_1653494	0.02435	S100A1	GSE35574_IUGRvsC
