probe	id	pvalue	symbol	group
AB007878		1.41E-05	SH3PXD2A	GSE43942_PEvC
NM_014631		1.63E-05	SH3PXD2A	GSE43942_PEvC
AJ316284		2.28E-05	NRXN3	GSE43942_PEvC
AF049884		3.00E-05	SORBS2	GSE43942_PEvC
BC100879		3.24E-05	CRYGN	GSE43942_PEvC
AJ278977		3.29E-05	MDM2	GSE43942_PEvC
BC028587		3.62E-05	NEK11	GSE43942_PEvC
BC018208		3.80E-05	RHOF	GSE43942_PEvC
AK027513		4.70E-05	FADS2	GSE43942_PEvC
NM_001006616		6.84E-05	TSPAN17	GSE43942_PEvC
BC059371		6.91E-05	RFWD3	GSE43942_PEvC
BC103919		7.01E-05	VANGL2	GSE43942_PEvC
AL833070		8.35E-05	SH3PXD2A	GSE43942_PEvC
BC038953		8.91E-05	COG3	GSE43942_PEvC
AY823523		9.99E-05	POT1	GSE43942_PEvC
NM_182977		1.01E-04	NNT	GSE43942_PEvC
NM_019605		1.02E-04	SERTAD4	GSE43942_PEvC
NM_004155		1.09E-04	SERPINB9	GSE43942_PEvC
AB188496		1.17E-04	TTYH1	GSE43942_PEvC
BC065536		1.27E-04	DST	GSE43942_PEvC
NM_005942		1.44E-04	MOCS1	GSE43942_PEvC
AB102644		1.54E-04	AFF2	GSE43942_PEvC
AK131409		1.54E-04	LOC284371	GSE43942_PEvC
NM_007150		1.57E-04	ZNF185	GSE43942_PEvC
BC021104		1.59E-04	APLN	GSE43942_PEvC
NM_181775		1.82E-04	PLXNA4B	GSE43942_PEvC
BC007494		1.84E-04	ZNF503	GSE43942_PEvC
CR606981		1.87E-04	SLC27A3	GSE43942_PEvC
BC052566		1.90E-04	TBX2	GSE43942_PEvC
BC001863		1.94E-04	HIG2	GSE43942_PEvC
BC108283		1.97E-04	CARHSP1	GSE43942_PEvC
NM_138476		2.05E-04	MDP-1	GSE43942_PEvC
BC040948		2.10E-04	HOXA11	GSE43942_PEvC
NM_020754		2.28E-04	CDGAP	GSE43942_PEvC
NM_001002914		2.40E-04	KCTD11	GSE43942_PEvC
NM_001362		2.50E-04	DIO3	GSE43942_PEvC
AB118749		2.56E-04	HIF3A	GSE43942_PEvC
NM_000433		2.70E-04	NCF2	GSE43942_PEvC
NM_030971		2.71E-04	SFXN3	GSE43942_PEvC
BC007965		2.82E-04	CALM1	GSE43942_PEvC
AY665468		2.84E-04	RASSF8	GSE43942_PEvC
NM_012339		2.90E-04	TSPAN15	GSE43942_PEvC
NM_003097		2.92E-04	SNRPN	GSE43942_PEvC
NM_002191		3.01E-04	INHA	GSE43942_PEvC
AB037844		3.05E-04	GPR178	GSE43942_PEvC
NM_018351		3.23E-04	FGD6	GSE43942_PEvC
XM_496202		3.30E-04	LOC440421	GSE43942_PEvC
NM_001268		3.37E-04	RCBTB2	GSE43942_PEvC
BC092440		3.62E-04	SVIL	GSE43942_PEvC
NM_001284		3.65E-04	AP3S1	GSE43942_PEvC
BC109265		3.77E-04	TICAM2	GSE43942_PEvC
XM_932024		3.80E-04	LOC653304	GSE43942_PEvC
NM_006888		3.93E-04	CALM1	GSE43942_PEvC
BC013116		3.95E-04	CLIPR-59	GSE43942_PEvC
AK131333		4.06E-04	ADCY4	GSE43942_PEvC
NM_021783		4.07E-04	EDA2R	GSE43942_PEvC
NM_012205		4.13E-04	HAAO	GSE43942_PEvC
NM_003116		4.24E-04	SPAG4	GSE43942_PEvC
NM_006000		4.27E-04	TUBA1	GSE43942_PEvC
BC047523		4.42E-04	CALM1	GSE43942_PEvC
NM_014616		4.87E-04	ATP11B	GSE43942_PEvC
NM_001402		4.90E-04	EEF1A1	GSE43942_PEvC
NM_000720		4.92E-04	CACNA1D	GSE43942_PEvC
NM_006096		5.22E-04	NDRG1	GSE43942_PEvC
NM_182549		5.45E-04	HLA-DQB2	GSE43942_PEvC
NM_002318		5.52E-04	LOXL2	GSE43942_PEvC
BC104832		5.58E-04	GP6	GSE43942_PEvC
AK128695		5.64E-04	N/A	GSE43942_PEvC
BC011834		5.65E-04	CALM1	GSE43942_PEvC
NM_005221		5.66E-04	DLX5	GSE43942_PEvC
XM_929113		5.80E-04	LOC646149	GSE43942_PEvC
NM_139345		5.81E-04	BIN1	GSE43942_PEvC
NM_148919		5.87E-04	PSMB8	GSE43942_PEvC
AY358690		5.91E-04	N/A	GSE43942_PEvC
NM_018235		5.94E-04	CNDP2	GSE43942_PEvC
AK027269		5.95E-04	MXRA8	GSE43942_PEvC
NM_001010989		5.96E-04	HERPUD1	GSE43942_PEvC
NM_018019		5.97E-04	MED9	GSE43942_PEvC
NM_017742		6.00E-04	ZCCHC2	GSE43942_PEvC
NM_000028		6.16E-04	AGL	GSE43942_PEvC
NM_000264		6.17E-04	PTCH	GSE43942_PEvC
BC000454		6.32E-04	CALM1	GSE43942_PEvC
NM_003037		6.32E-04	SLAMF1	GSE43942_PEvC
BC001387		6.36E-04	HRASLS3	GSE43942_PEvC
AF454056		6.40E-04	PRKCBP1	GSE43942_PEvC
BC017773		6.41E-04	TREM1	GSE43942_PEvC
BC075834		6.43E-04	CDC42EP2	GSE43942_PEvC
BC036788		6.45E-04	ITGBL1	GSE43942_PEvC
NM_005438		6.49E-04	FOSL1	GSE43942_PEvC
XM_931801		6.67E-04	LOC440080	GSE43942_PEvC
BC103807		6.69E-04	HRASLS3	GSE43942_PEvC
XM_931309		6.78E-04	LOC642587	GSE43942_PEvC
XM_933560		6.80E-04	FLJ30092	GSE43942_PEvC
NM_015589		6.92E-04	SAMD4A	GSE43942_PEvC
NM_001723		6.94E-04	DST	GSE43942_PEvC
BC093742		7.08E-04	HIG2	GSE43942_PEvC
AF327057		7.11E-04	TRIM58	GSE43942_PEvC
NM_020421		7.24E-04	ADCK1	GSE43942_PEvC
BC001606		7.25E-04	NCF2	GSE43942_PEvC
NM_006039		7.30E-04	MRC2	GSE43942_PEvC
NM_006879		7.34E-04	MDM2	GSE43942_PEvC
NM_006771		7.66E-04	KRTHA8	GSE43942_PEvC
BC012941		7.72E-04	ERO1L	GSE43942_PEvC
NM_005115		7.75E-04	MVP	GSE43942_PEvC
AK223597		7.82E-04	FRMD3	GSE43942_PEvC
NM_002246		7.83E-04	KCNK3	GSE43942_PEvC
BC058894		7.83E-04	TCF7L1	GSE43942_PEvC
NM_016174		7.96E-04	CEECAM1	GSE43942_PEvC
BC018137		8.00E-04	TAF1B	GSE43942_PEvC
NM_000740		8.13E-04	CHRM3	GSE43942_PEvC
NM_001649		8.14E-04	APXL	GSE43942_PEvC
NM_006206		8.25E-04	PDGFRA	GSE43942_PEvC
NM_014449		8.42E-04	GPR162	GSE43942_PEvC
NM_181873		8.42E-04	MTMR11	GSE43942_PEvC
AK027395		8.58E-04	CRISPLD2	GSE43942_PEvC
AK127038		8.72E-04	DNM1	GSE43942_PEvC
AK056469		8.88E-04	SH3PXD2A	GSE43942_PEvC
BC039007		8.91E-04	FLT1	GSE43942_PEvC
NM_080546		8.97E-04	SLC44A1	GSE43942_PEvC
NM_006449		8.98E-04	CDC42EP3	GSE43942_PEvC
NM_001014796		9.00E-04	DDR2	GSE43942_PEvC
