probe	pvalue	adj.pvalue	symbol	entrez	group
ILMN_1788462	0	0.008475	AMD1	262	GSE44711_EOvC
ILMN_1698953	0	0.008475	BTN1A1	696	GSE44711_EOvC
ILMN_3239531	0	0.008475	C4orf48	401115	GSE44711_EOvC
ILMN_1651282	0	0.008475	COL17A1	1308	GSE44711_EOvC
ILMN_1799105	0	0.002136	COL17A1	1308	GSE44711_EOvC
ILMN_1698666	0	0.00872	CST6	1474	GSE44711_EOvC
ILMN_1674640	0	0.004875	CXCR6	10663	GSE44711_EOvC
ILMN_1737650	0	0.008475	DIO2	1734	GSE44711_EOvC
ILMN_1778237	0	0.005639	FN1	2335	GSE44711_EOvC
ILMN_1712894	0	0.005057	FUT1	2523	GSE44711_EOvC
ILMN_1782141	0	0.008475	GRHL3	57822	GSE44711_EOvC
ILMN_2109489	0	0.008475	GZMB	3002	GSE44711_EOvC
ILMN_2099277	0	0.008475	HTRA4	203100	GSE44711_EOvC
ILMN_1684349	0	0.008688	IL2RB	3560	GSE44711_EOvC
ILMN_2207504	0	0.005639	LEP	3952	GSE44711_EOvC
ILMN_3273229	0	0.008688	LOC100129781	NA	GSE44711_EOvC
ILMN_1678531	0	0.005057	N4BP3	23138	GSE44711_EOvC
ILMN_1714067	0	0.002183	NTRK2	4915	GSE44711_EOvC
ILMN_1670490	0	0.008475	PDPN	10630	GSE44711_EOvC
ILMN_1727098	0	0.008475	PPP1R16B	26051	GSE44711_EOvC
ILMN_1672591	0	0.008475	SCN9A	6335	GSE44711_EOvC
ILMN_1772951	0	0.008475	ST6GALNAC1	55808	GSE44711_EOvC
ILMN_2216637	0	0.008475	STK32B	55351	GSE44711_EOvC
ILMN_1740864	0	0.008475	TREML2	79865	GSE44711_EOvC
ILMN_1651964	1.00E-05	0.01225	ABCC5	10057	GSE44711_EOvC
ILMN_1811877	1.00E-05	0.011467	ANTXR1	84168	GSE44711_EOvC
ILMN_2188333	1.00E-05	0.009003	CD69	969	GSE44711_EOvC
ILMN_2067408	1.00E-05	0.012448	CLRN3	119467	GSE44711_EOvC
ILMN_2371053	1.00E-05	0.015651	EFNA1	1942	GSE44711_EOvC
ILMN_2366463	1.00E-05	0.016187	FN1	2335	GSE44711_EOvC
ILMN_1684227	1.00E-05	0.016187	GPR146	115330	GSE44711_EOvC
ILMN_2406035	1.00E-05	0.009003	LAMA3	3909	GSE44711_EOvC
ILMN_1771123	1.00E-05	0.016187	LOC653492	NA	GSE44711_EOvC
ILMN_1744455	1.00E-05	0.014613	NOTUM	147111	GSE44711_EOvC
ILMN_1716758	1.00E-05	0.010669	PCDH1	5097	GSE44711_EOvC
ILMN_1782938	1.00E-05	0.009003	SLC16A10	117247	GSE44711_EOvC
ILMN_1760315	1.00E-05	0.013057	VWCE	220001	GSE44711_EOvC
ILMN_1714848	1.00E-05	0.011978	ZNF354A	6940	GSE44711_EOvC
ILMN_1841564	1.00E-05	0.011467	NA	NA	GSE44711_EOvC
ILMN_1706531	2.00E-05	0.020613	ABCC5	10057	GSE44711_EOvC
ILMN_1695157	2.00E-05	0.019058	CA4	762	GSE44711_EOvC
ILMN_2261416	2.00E-05	0.019372	CD3D	915	GSE44711_EOvC
ILMN_2325837	2.00E-05	0.019356	CD3D	915	GSE44711_EOvC
ILMN_1783909	2.00E-05	0.020613	COL6A2	1292	GSE44711_EOvC
ILMN_1782863	2.00E-05	0.018254	FAM83B	222584	GSE44711_EOvC
ILMN_1788017	2.00E-05	0.020613	HSH2D	84941	GSE44711_EOvC
ILMN_1801442	2.00E-05	0.019355	KRT81	3887	GSE44711_EOvC
ILMN_1659597	2.00E-05	0.016931	LOC649037	NA	GSE44711_EOvC
ILMN_1658847	2.00E-05	0.020113	MGC61598	NA	GSE44711_EOvC
ILMN_2109416	2.00E-05	0.019356	NAPSB	256236	GSE44711_EOvC
ILMN_1729287	2.00E-05	0.019355	NMUR1	10316	GSE44711_EOvC
ILMN_2357855	2.00E-05	0.017579	NTRK2	4915	GSE44711_EOvC
ILMN_1760047	2.00E-05	0.019355	VAX2	25806	GSE44711_EOvC
ILMN_1785393	3.00E-05	0.021444	ADAM12	8038	GSE44711_EOvC
ILMN_1756417	3.00E-05	0.021126	ANKRD37	353322	GSE44711_EOvC
ILMN_1772976	3.00E-05	0.021444	BTNL9	153579	GSE44711_EOvC
ILMN_1802653	3.00E-05	0.021881	EBI3	10148	GSE44711_EOvC
ILMN_1721833	3.00E-05	0.021126	IER5	51278	GSE44711_EOvC
ILMN_1731206	3.00E-05	0.021881	NKD2	85409	GSE44711_EOvC
ILMN_1710000	3.00E-05	0.021881	PEX11G	92960	GSE44711_EOvC
ILMN_1758229	3.00E-05	0.020981	QSOX1	5768	GSE44711_EOvC
ILMN_1780057	3.00E-05	0.022166	RENBP	5973	GSE44711_EOvC
ILMN_2211263	3.00E-05	0.020981	RFK	55312	GSE44711_EOvC
ILMN_1768575	3.00E-05	0.021126	SFTPD	6441	GSE44711_EOvC
ILMN_1790918	3.00E-05	0.021015	ZNF236	7776	GSE44711_EOvC
ILMN_1687751	4.00E-05	0.025265	BAALC	79870	GSE44711_EOvC
ILMN_1718285	4.00E-05	0.026328	HOXC8	3224	GSE44711_EOvC
ILMN_2127605	4.00E-05	0.025265	LRP3	4037	GSE44711_EOvC
ILMN_2111237	4.00E-05	0.025265	MN1	4330	GSE44711_EOvC
ILMN_1767842	4.00E-05	0.025265	SLC17A8	246213	GSE44711_EOvC
ILMN_2309180	4.00E-05	0.024961	SMARCD3	6604	GSE44711_EOvC
ILMN_1777250	4.00E-05	0.025636	ZNF268	10795	GSE44711_EOvC
ILMN_1859127	4.00E-05	0.025265	NA	NA	GSE44711_EOvC
ILMN_1667994	5.00E-05	0.028265	AMD1	262	GSE44711_EOvC
ILMN_1770290	5.00E-05	0.02948	CNN2	1265	GSE44711_EOvC
ILMN_1718769	5.00E-05	0.028752	ITSN1	6453	GSE44711_EOvC
ILMN_2371911	5.00E-05	0.028269	MUC1	4582	GSE44711_EOvC
ILMN_2281225	5.00E-05	0.028265	PALM2-AKAP2	445815	GSE44711_EOvC
ILMN_1721770	5.00E-05	0.028265	PAPPA	5069	GSE44711_EOvC
ILMN_1729314	5.00E-05	0.030359	PRG2	5553	GSE44711_EOvC
ILMN_1747197	5.00E-05	0.027457	SLC41A2	84102	GSE44711_EOvC
ILMN_1743714	6.00E-05	0.032386	CARD10	29775	GSE44711_EOvC
ILMN_1709870	6.00E-05	0.030854	HES2	54626	GSE44711_EOvC
ILMN_1754126	6.00E-05	0.032857	SH2D5	400745	GSE44711_EOvC
ILMN_1786426	6.00E-05	0.030704	TMEM149	NA	GSE44711_EOvC
ILMN_1806198	6.00E-05	0.032386	VSIG1	340547	GSE44711_EOvC
ILMN_1904188	6.00E-05	0.032386	NA	NA	GSE44711_EOvC
ILMN_1726266	7.00E-05	0.033876	ADAM12	8038	GSE44711_EOvC
ILMN_1726809	7.00E-05	0.033613	BHLHB3	NA	GSE44711_EOvC
ILMN_1712431	7.00E-05	0.033876	FAM113B	NA	GSE44711_EOvC
ILMN_2130635	7.00E-05	0.035123	FOXRED2	80020	GSE44711_EOvC
ILMN_1658483	7.00E-05	0.035322	IL1A	3552	GSE44711_EOvC
ILMN_1690034	7.00E-05	0.035125	SOD3	6649	GSE44711_EOvC
ILMN_1653712	7.00E-05	0.034192	UAP1L1	91373	GSE44711_EOvC
ILMN_3249571	8.00E-05	0.035937	ARMS2	387715	GSE44711_EOvC
ILMN_1781654	8.00E-05	0.036649	C10orf93	NA	GSE44711_EOvC
ILMN_1795128	8.00E-05	0.036649	C13orf23	NA	GSE44711_EOvC
ILMN_1795838	8.00E-05	0.036649	C4orf19	55286	GSE44711_EOvC
ILMN_1700081	8.00E-05	0.036649	FST	10468	GSE44711_EOvC
ILMN_1709307	8.00E-05	0.036649	GPSM1	26086	GSE44711_EOvC
ILMN_1770612	8.00E-05	0.036649	KRT15	3866	GSE44711_EOvC
ILMN_1755489	8.00E-05	0.036649	LOC642765	NA	GSE44711_EOvC
ILMN_1653026	8.00E-05	0.035797	PLAC8	51316	GSE44711_EOvC
ILMN_1793040	9.00E-05	0.037409	ADAMTSL5	339366	GSE44711_EOvC
ILMN_1780306	9.00E-05	0.037987	DDHD1	80821	GSE44711_EOvC
ILMN_1732919	9.00E-05	0.037798	LILRB5	10990	GSE44711_EOvC
ILMN_1671489	9.00E-05	0.037409	PC	5091	GSE44711_EOvC
ILMN_1721046	9.00E-05	0.037798	PTMS	5763	GSE44711_EOvC
ILMN_1668865	9.00E-05	0.036649	SLC2A14	144195	GSE44711_EOvC
ILMN_1762231	9.00E-05	0.037798	ZEB1	6935	GSE44711_EOvC
ILMN_1888558	9.00E-05	0.037987	NA	NA	GSE44711_EOvC
ILMN_1740900	1.00E-04	0.038901	BMP4	652	GSE44711_EOvC
ILMN_1668035	1.00E-04	0.038094	CRH	1392	GSE44711_EOvC
ILMN_1733276	1.00E-04	0.037987	CYSLTR1	10800	GSE44711_EOvC
ILMN_1747205	1.00E-04	0.037987	JDP2	122953	GSE44711_EOvC
ILMN_2322498	1.00E-04	0.038901	RORA	6095	GSE44711_EOvC
ILMN_1727671	1.00E-04	0.037987	SSH1	54434	GSE44711_EOvC
ILMN_1709434	1.00E-04	0.03854	VIT	5212	GSE44711_EOvC
ILMN_3187680	0.00011	0.039613	ACCS	84680	GSE44711_EOvC
ILMN_1725518	0.00011	0.038901	ANGPTL6	83854	GSE44711_EOvC
ILMN_1790978	0.00011	0.038901	ATG7	10533	GSE44711_EOvC
ILMN_1703593	0.00011	0.039613	BAIAP2L1	55971	GSE44711_EOvC
ILMN_2296450	0.00011	0.038901	GH2	2689	GSE44711_EOvC
ILMN_1701267	0.00011	0.038901	LOC283755	NA	GSE44711_EOvC
ILMN_1770818	0.00011	0.038901	LOC642342	NA	GSE44711_EOvC
ILMN_1781465	0.00011	0.038901	LOC652134	NA	GSE44711_EOvC
ILMN_3295109	0.00011	0.038901	LOC653557	NA	GSE44711_EOvC
ILMN_2063168	0.00011	0.038901	MALL	7851	GSE44711_EOvC
ILMN_1744381	0.00011	0.038901	SERPINE1	5054	GSE44711_EOvC
ILMN_1726624	0.00011	0.038901	YPEL4	219539	GSE44711_EOvC
ILMN_1714592	0.00012	0.040242	CDA	978	GSE44711_EOvC
ILMN_1738268	0.00012	0.040242	IHPK3	NA	GSE44711_EOvC
ILMN_1749546	0.00012	0.039713	LOC440013	NA	GSE44711_EOvC
ILMN_1741727	0.00012	0.040302	QPCT	25797	GSE44711_EOvC
ILMN_1772537	0.00012	0.040188	SCTR	6344	GSE44711_EOvC
ILMN_1751474	0.00013	0.041381	ARHGAP29	9411	GSE44711_EOvC
ILMN_2061043	0.00013	0.041381	CD48	962	GSE44711_EOvC
ILMN_1712046	0.00013	0.041395	CPXM1	56265	GSE44711_EOvC
ILMN_1794552	0.00013	0.041594	GAP43	2596	GSE44711_EOvC
ILMN_1749667	0.00013	0.041381	OBSCN	84033	GSE44711_EOvC
ILMN_1705231	0.00013	0.041381	SLCO2A1	6578	GSE44711_EOvC
ILMN_1854469	0.00013	0.042026	NA	NA	GSE44711_EOvC
ILMN_1742473	0.00014	0.042471	C10orf72	NA	GSE44711_EOvC
ILMN_1778964	0.00014	0.042026	CLIC5	53405	GSE44711_EOvC
ILMN_1735548	0.00014	0.042891	HIVEP1	3096	GSE44711_EOvC
ILMN_2251766	0.00014	0.042471	IL1R2	7850	GSE44711_EOvC
ILMN_1674983	0.00014	0.042026	LOC387841	NA	GSE44711_EOvC
ILMN_1803801	0.00014	0.042026	LRRC38	126755	GSE44711_EOvC
ILMN_2405009	0.00014	0.042891	NBL1	4681	GSE44711_EOvC
ILMN_2197128	0.00014	0.042891	OSR1	130497	GSE44711_EOvC
ILMN_2261784	0.00015	0.042891	CCNY	219771	GSE44711_EOvC
ILMN_1709257	0.00015	0.042891	DSCR6	NA	GSE44711_EOvC
ILMN_1700203	0.00015	0.042891	KIAA1984	NA	GSE44711_EOvC
ILMN_1679979	0.00015	0.042891	PLK3	1263	GSE44711_EOvC
ILMN_1720113	0.00015	0.042891	PTPRO	5800	GSE44711_EOvC
ILMN_1655429	0.00015	0.043639	TNFAIP1	7126	GSE44711_EOvC
ILMN_1696029	0.00016	0.044768	FLJ36031	NA	GSE44711_EOvC
ILMN_1779324	0.00016	0.044272	GZMA	3001	GSE44711_EOvC
ILMN_1770473	0.00016	0.044272	LOC647326	NA	GSE44711_EOvC
ILMN_1772791	0.00016	0.044272	LOC650534	NA	GSE44711_EOvC
ILMN_1756910	0.00016	0.044768	PLA2G15	23659	GSE44711_EOvC
ILMN_3241505	0.00017	0.044903	FLJ43390	NA	GSE44711_EOvC
ILMN_1811468	0.00017	0.045194	IRX3	79191	GSE44711_EOvC
ILMN_1722034	0.00017	0.044903	KIAA1586	57691	GSE44711_EOvC
ILMN_1668629	0.00017	0.044903	LOC401115	NA	GSE44711_EOvC
ILMN_1862043	0.00017	0.044903	LOC731042	NA	GSE44711_EOvC
ILMN_1665219	0.00017	0.045194	LTBP4	8425	GSE44711_EOvC
ILMN_1779416	0.00017	0.044903	SCUBE2	57758	GSE44711_EOvC
ILMN_1776857	0.00018	0.046609	AQP1	358	GSE44711_EOvC
ILMN_1809928	0.00018	0.046609	COL6A2	1292	GSE44711_EOvC
ILMN_1686989	0.00018	0.046609	INSIG1	3638	GSE44711_EOvC
ILMN_2048507	0.00018	0.047412	KLF3	51274	GSE44711_EOvC
ILMN_1690566	0.00018	0.046609	RASSF4	83937	GSE44711_EOvC
ILMN_1654516	0.00018	0.046609	TMEM120A	83862	GSE44711_EOvC
ILMN_1672022	0.00019	0.04785	EPHA4	2043	GSE44711_EOvC
ILMN_1659913	0.00019	0.047412	ISG20	3669	GSE44711_EOvC
ILMN_1693985	0.00019	0.047412	JPH1	56704	GSE44711_EOvC
ILMN_1774390	0.00019	0.047412	LOC441054	NA	GSE44711_EOvC
ILMN_1697189	0.00019	0.04785	PNCK	139728	GSE44711_EOvC
ILMN_2405324	2.00E-04	0.049558	IL28RA	NA	GSE44711_EOvC
ILMN_2293594	2.00E-04	0.049558	LAMA3	3909	GSE44711_EOvC
ILMN_1789599	2.00E-04	0.049093	NBL1	4681	GSE44711_EOvC
ILMN_1741632	2.00E-04	0.049444	RAB3IL1	5866	GSE44711_EOvC
ILMN_1774330	2.00E-04	0.049217	WSCD1	23302	GSE44711_EOvC
ILMN_1740276	0.00021	0.050571	CLDN9	9080	GSE44711_EOvC
ILMN_1767084	0.00021	0.051359	LOC643234	NA	GSE44711_EOvC
ILMN_1799030	0.00022	0.052595	CMTM2	146225	GSE44711_EOvC
ILMN_1792002	0.00022	0.051755	PAPPA2	60676	GSE44711_EOvC
ILMN_1652017	0.00022	0.052839	PPEF1	5475	GSE44711_EOvC
ILMN_1674160	0.00023	0.054505	BIN1	274	GSE44711_EOvC
ILMN_1746883	0.00023	0.054657	SAT2	112483	GSE44711_EOvC
ILMN_2100287	0.00024	0.055242	CCDC147	NA	GSE44711_EOvC
ILMN_1673113	0.00024	0.054657	F2RL1	2150	GSE44711_EOvC
ILMN_3196019	0.00024	0.055242	FAM60A	58516	GSE44711_EOvC
ILMN_3247286	0.00024	0.055148	LOC100134794	NA	GSE44711_EOvC
ILMN_1701441	0.00024	0.055148	LPAR1	1902	GSE44711_EOvC
ILMN_2405156	0.00024	0.054657	PPAP2C	NA	GSE44711_EOvC
ILMN_1763837	0.00025	0.056827	ANPEP	290	GSE44711_EOvC
ILMN_3243366	0.00025	0.055242	C2orf55	NA	GSE44711_EOvC
ILMN_2166457	0.00025	0.055242	HPGD	3248	GSE44711_EOvC
ILMN_1713751	0.00026	0.056827	ADAM19	8728	GSE44711_EOvC
ILMN_2385672	0.00026	0.057358	ELN	2006	GSE44711_EOvC
ILMN_1756443	0.00026	0.056827	INHA	3623	GSE44711_EOvC
ILMN_2094952	0.00026	0.057416	NUAK2	81788	GSE44711_EOvC
ILMN_1726711	0.00026	0.056827	PENK	5179	GSE44711_EOvC
ILMN_1717334	0.00026	0.057358	VAV1	7409	GSE44711_EOvC
ILMN_2384857	0.00027	0.057423	DHRS2	10202	GSE44711_EOvC
ILMN_2223941	0.00027	0.057423	FBLN5	10516	GSE44711_EOvC
ILMN_1785074	0.00027	0.057423	LOC651752	NA	GSE44711_EOvC
ILMN_1800181	0.00027	0.057423	MCMDC1	NA	GSE44711_EOvC
ILMN_2309615	0.00027	0.057423	PSG6	5675	GSE44711_EOvC
ILMN_1680145	0.00027	0.05764	SART1	9092	GSE44711_EOvC
ILMN_1741422	0.00028	0.05802	FUT8	2530	GSE44711_EOvC
ILMN_1795166	0.00028	0.058851	PTH1R	5745	GSE44711_EOvC
ILMN_1721316	0.00028	0.05802	TNFRSF10A	8797	GSE44711_EOvC
ILMN_2387860	0.00029	0.05902	CYP19A1	1588	GSE44711_EOvC
ILMN_3237941	0.00029	0.058962	LOC645159	NA	GSE44711_EOvC
ILMN_1703297	0.00029	0.058962	LOC652512	NA	GSE44711_EOvC
ILMN_3246826	0.00029	0.059122	LVRN	206338	GSE44711_EOvC
ILMN_1667711	3.00E-04	0.060349	HRASLS3	NA	GSE44711_EOvC
ILMN_3247458	3.00E-04	0.060513	LOC652750	NA	GSE44711_EOvC
ILMN_3244750	3.00E-04	0.060129	LOC729394	NA	GSE44711_EOvC
ILMN_2219767	3.00E-04	0.060129	MYCN	4613	GSE44711_EOvC
ILMN_1724832	3.00E-04	0.060472	OVOL2	58495	GSE44711_EOvC
ILMN_3248202	3.00E-04	0.060472	PEG3AS	NA	GSE44711_EOvC
ILMN_1740772	0.00031	0.060979	APBB3	10307	GSE44711_EOvC
ILMN_1697733	0.00031	0.060979	CST6	1474	GSE44711_EOvC
ILMN_1678043	0.00031	0.060979	LOC127406	NA	GSE44711_EOvC
ILMN_2166275	0.00031	0.060979	NOTUM	147111	GSE44711_EOvC
ILMN_1772768	0.00031	0.060979	PSG7	5676	GSE44711_EOvC
ILMN_1769013	0.00032	0.06135	ASGR1	432	GSE44711_EOvC
ILMN_1763127	0.00032	0.06135	CCBP2	NA	GSE44711_EOvC
ILMN_1795767	0.00032	0.061405	GRHL1	29841	GSE44711_EOvC
ILMN_1730777	0.00033	0.062335	KRT19	3880	GSE44711_EOvC
ILMN_3276713	0.00033	0.062335	LOC100131094	NA	GSE44711_EOvC
ILMN_1691522	0.00033	0.062335	LOC644736	NA	GSE44711_EOvC
ILMN_1764383	0.00033	0.062335	MCOLN1	57192	GSE44711_EOvC
ILMN_1763704	0.00033	0.062335	RGS11	8786	GSE44711_EOvC
ILMN_3261292	0.00034	0.064032	EBF4	57593	GSE44711_EOvC
ILMN_2367233	0.00034	0.064032	ZNF654	55279	GSE44711_EOvC
ILMN_2356909	0.00035	0.064075	MOSPD3	64598	GSE44711_EOvC
ILMN_1749044	0.00035	0.064075	PVRL4	NA	GSE44711_EOvC
ILMN_2391551	0.00036	0.065572	C13orf23	NA	GSE44711_EOvC
ILMN_1752591	0.00036	0.065572	LEPROTL1	23484	GSE44711_EOvC
ILMN_1806103	0.00036	0.065419	LOC727849	NA	GSE44711_EOvC
ILMN_1776724	0.00036	0.065572	LYPD6	130574	GSE44711_EOvC
ILMN_1809850	0.00036	0.06536	RCN3	57333	GSE44711_EOvC
ILMN_1798030	0.00036	0.06536	XPR1	9213	GSE44711_EOvC
ILMN_2044645	0.00037	0.065572	CGB1	114335	GSE44711_EOvC
ILMN_2297765	0.00037	0.065572	KCNMA1	3778	GSE44711_EOvC
ILMN_1794950	0.00037	0.066502	RGAG1	NA	GSE44711_EOvC
ILMN_1731666	0.00037	0.065873	ZNF641	121274	GSE44711_EOvC
ILMN_1658398	0.00038	0.067303	C3orf41	NA	GSE44711_EOvC
ILMN_2359945	0.00038	0.067303	CES1	1066	GSE44711_EOvC
ILMN_1723536	0.00038	0.067133	USP33	23032	GSE44711_EOvC
ILMN_1676924	0.00039	0.067465	CD247	919	GSE44711_EOvC
ILMN_1756469	0.00039	0.067303	GAMT	2593	GSE44711_EOvC
ILMN_1780898	0.00039	0.067829	PRKCH	5583	GSE44711_EOvC
ILMN_1786720	0.00039	0.067303	PROM1	8842	GSE44711_EOvC
ILMN_2063586	4.00E-04	0.06791	CLIC4	25932	GSE44711_EOvC
ILMN_1810289	4.00E-04	0.067829	FER1L3	NA	GSE44711_EOvC
ILMN_1810159	4.00E-04	0.067829	FLJ90650	NA	GSE44711_EOvC
ILMN_1744403	4.00E-04	0.067829	KCNIP3	30818	GSE44711_EOvC
ILMN_1680339	4.00E-04	0.06791	PDGFRL	5157	GSE44711_EOvC
ILMN_2299095	4.00E-04	0.06791	SIGLEC6	946	GSE44711_EOvC
ILMN_1701204	4.00E-04	0.067829	VEGFC	7424	GSE44711_EOvC
ILMN_2413041	0.00041	0.068169	TEAD4	7004	GSE44711_EOvC
ILMN_1667361	0.00042	0.06965	COPZ2	51226	GSE44711_EOvC
ILMN_3229424	0.00042	0.069272	LOC730101	730101	GSE44711_EOvC
ILMN_1790518	0.00042	0.069272	PHF16	NA	GSE44711_EOvC
ILMN_1708261	0.00042	0.070141	SBK1	388228	GSE44711_EOvC
ILMN_2139761	0.00043	0.070271	LIMCH1	22998	GSE44711_EOvC
ILMN_1662482	0.00043	0.070258	LPPR4	NA	GSE44711_EOvC
ILMN_1787509	0.00043	0.070271	PRIC285	NA	GSE44711_EOvC
ILMN_1776925	0.00043	0.070323	PRSS22	64063	GSE44711_EOvC
ILMN_1730794	0.00043	0.070165	SERTAD4	56256	GSE44711_EOvC
ILMN_1791396	0.00044	0.071214	DGCR6	8214	GSE44711_EOvC
ILMN_2407346	0.00044	0.070835	LDHD	197257	GSE44711_EOvC
ILMN_1746362	0.00044	0.071214	LOC440895	440895	GSE44711_EOvC
ILMN_1787658	0.00045	0.071214	MTMR7	9108	GSE44711_EOvC
ILMN_1675062	0.00045	0.071594	MYL9	10398	GSE44711_EOvC
ILMN_1772686	0.00046	0.071594	FGD3	89846	GSE44711_EOvC
ILMN_1731233	0.00046	0.071594	GZMH	2999	GSE44711_EOvC
ILMN_1704353	0.00046	0.071594	IGSF3	3321	GSE44711_EOvC
ILMN_1694810	0.00046	0.071594	PANX2	56666	GSE44711_EOvC
ILMN_2340259	0.00046	0.071594	PDE4B	5142	GSE44711_EOvC
ILMN_2384745	0.00046	0.071594	PSG4	5672	GSE44711_EOvC
ILMN_3240418	0.00046	0.071594	SNORA72	26775	GSE44711_EOvC
ILMN_1731714	0.00047	0.071594	CREB5	9586	GSE44711_EOvC
ILMN_1681751	0.00047	0.071594	LOC348840	NA	GSE44711_EOvC
ILMN_1657210	0.00047	0.071594	LOC645167	NA	GSE44711_EOvC
ILMN_1652666	0.00047	0.071594	LOC647049	NA	GSE44711_EOvC
ILMN_1750429	0.00047	0.071594	MKNK1	8569	GSE44711_EOvC
ILMN_1784364	0.00047	0.071594	STARD5	80765	GSE44711_EOvC
ILMN_1738407	0.00047	0.071594	ULBP1	80329	GSE44711_EOvC
ILMN_1851453	0.00047	0.071631	NA	NA	GSE44711_EOvC
ILMN_1657421	0.00048	0.072552	LOC440917	NA	GSE44711_EOvC
ILMN_1667650	0.00048	0.071996	LOC642365	NA	GSE44711_EOvC
ILMN_2145116	0.00048	0.071996	TMEM173	340061	GSE44711_EOvC
ILMN_2327994	0.00049	0.072926	AZIN1	51582	GSE44711_EOvC
ILMN_1764455	0.00049	0.073054	LOC653520	NA	GSE44711_EOvC
ILMN_1802550	0.00049	0.072832	PCSK6	5046	GSE44711_EOvC
ILMN_1772486	5.00E-04	0.073054	ELF2	1998	GSE44711_EOvC
ILMN_3248247	5.00E-04	0.073054	LOC100134634	NA	GSE44711_EOvC
ILMN_2093343	5.00E-04	0.073603	PLAC8	51316	GSE44711_EOvC
ILMN_1763972	5.00E-04	0.073054	TJP2	9414	GSE44711_EOvC
ILMN_2229379	0.00051	0.073873	KIT	3815	GSE44711_EOvC
ILMN_1714014	0.00051	0.073603	LOC644491	NA	GSE44711_EOvC
ILMN_3238435	0.00051	0.073603	SNORA12	677800	GSE44711_EOvC
ILMN_2336130	0.00051	0.073603	SULT1A4	445329	GSE44711_EOvC
ILMN_2160209	0.00051	0.073603	TACSTD1	NA	GSE44711_EOvC
ILMN_1797753	0.00052	0.074349	ARHGAP28	79822	GSE44711_EOvC
ILMN_1813386	0.00052	0.074349	CORO6	84940	GSE44711_EOvC
ILMN_1790562	0.00052	0.074349	EYA3	2140	GSE44711_EOvC
ILMN_1733802	0.00052	0.074434	PCAF	NA	GSE44711_EOvC
