probe	id	pvalue	symbol	group
A_23_P15864	12	0.04289	MBD2	GSE4707_EOvsC
A_32_P58999	19	0.00095	NA	GSE4707_EOvsC
A_24_P220058	25	0.04449	MAPRE1	GSE4707_EOvsC
A_23_P120504	31	0.00446	TMEM74B	GSE4707_EOvsC
A_23_P422851	41	0.00599	CABLES1	GSE4707_EOvsC
A_24_P32560	47	0.00137	ENHO	GSE4707_EOvsC
A_24_P807445	57	0.03449	NA	GSE4707_EOvsC
A_24_P90216	58	0.03608	LGR4	GSE4707_EOvsC
A_32_P159612	75	0.02784	ASIC2	GSE4707_EOvsC
A_23_P17880	102	0.00597	DNAL4	GSE4707_EOvsC
A_32_P139079	124	0.02413	SERBP1	GSE4707_EOvsC
A_32_P143000	125	0.01663	NA	GSE4707_EOvsC
A_32_P111751	146	0.01995	NA	GSE4707_EOvsC
A_32_P23854	156	0.04457	DENND1A	GSE4707_EOvsC
A_32_P158543	162	0.03473	NA	GSE4707_EOvsC
A_23_P121	171	0.03737	NA	GSE4707_EOvsC
A_24_P135875	173	0.04708	NA	GSE4707_EOvsC
A_23_P311010	185	0.02963	SPRY3	GSE4707_EOvsC
A_24_P68631	186	0.03121	HIST2H2AB	GSE4707_EOvsC
A_24_P127491	187	0.00216	NA	GSE4707_EOvsC
A_23_P416034	193	0.0081	HAUS7	GSE4707_EOvsC
A_23_P113645	201	0.02942	NA	GSE4707_EOvsC
A_32_P45101	205	0.02119	NA	GSE4707_EOvsC
A_32_P386636	209	0.0141	FAM170A	GSE4707_EOvsC
A_23_P57059	220	0.04845	STAU1	GSE4707_EOvsC
A_24_P935667	230	0.00065	NA	GSE4707_EOvsC
A_23_P250118	254	0.02569	HSPBAP1	GSE4707_EOvsC
A_32_P78285	267	0.01785	NA	GSE4707_EOvsC
A_23_P85963	290	0.04611	OR6Y1	GSE4707_EOvsC
A_23_P366895	297	0.02938	B3GNT6	GSE4707_EOvsC
A_23_P82402	312	0.0107	GLCCI1	GSE4707_EOvsC
A_23_P217447	318	0.00179	LAMP2	GSE4707_EOvsC
A_23_P169178	322	0.01049	TESK1	GSE4707_EOvsC
