probe	id	pvalue	symbol	group
A_23_P15864	12	0.03991	MBD2	GSE4707_LOvsC
A_32_P58999	19	0.04867	NA	GSE4707_LOvsC
A_24_P32560	47	0.01226	ENHO	GSE4707_LOvsC
A_24_P410639	114	0.02751	NA	GSE4707_LOvsC
A_23_P317056	159	0.02206	NA	GSE4707_LOvsC
A_24_P941131	176	0.02264	MIER2	GSE4707_LOvsC
A_32_P386636	209	0.04315	FAM170A	GSE4707_LOvsC
A_24_P935667	230	0.00109	NA	GSE4707_LOvsC
A_23_P250118	254	0.00348	HSPBAP1	GSE4707_LOvsC
A_23_P151106	328	0.0282	NA	GSE4707_LOvsC
A_23_P205659	370	0.03331	KLHL28	GSE4707_LOvsC
A_23_P122815	377	0.04507	CALU	GSE4707_LOvsC
A_32_P12703	424	0.02268	NA	GSE4707_LOvsC
A_23_P59138	441	0.02725	POU5F1	GSE4707_LOvsC
A_23_P366328	497	0.04578	VPS37A	GSE4707_LOvsC
A_24_P102512	526	0.04397	CABIN1	GSE4707_LOvsC
A_23_P201338	546	0.03195	SDF4	GSE4707_LOvsC
A_24_P526177	701	0.0038	TDG	GSE4707_LOvsC
A_23_P26281	704	0.04452	NA	GSE4707_LOvsC
A_23_P165148	715	0.02182	ILVBL	GSE4707_LOvsC
A_24_P51786	719	0.00092	CCDC50	GSE4707_LOvsC
A_23_P210319	745	0.00848	DTNB	GSE4707_LOvsC
A_23_P88776	755	0.01934	PRSS54	GSE4707_LOvsC
A_32_P106523	784	0.04626	NA	GSE4707_LOvsC
A_23_P432591	825	0.00186	CCDC125	GSE4707_LOvsC
A_24_P713668	836	0.01506	BZW1	GSE4707_LOvsC
A_23_P205768	870	0.04781	ARPP19	GSE4707_LOvsC
A_32_P229065	930	0.0298	TIPRL	GSE4707_LOvsC
A_24_P893347	934	0.03866	NA	GSE4707_LOvsC
A_23_P253046	944	0.02388	UGP2	GSE4707_LOvsC
A_23_P148969	957	0.04487	LRRC40	GSE4707_LOvsC
A_23_P329271	965	0.00772	MC1R	GSE4707_LOvsC
A_23_P200772	1006	0.00937	ZNF644	GSE4707_LOvsC
A_23_P6362	1099	0.02844	DERL3	GSE4707_LOvsC
A_24_P930372	1144	0.03457	NA	GSE4707_LOvsC
A_23_P156880	1162	0.03225	ENPP1	GSE4707_LOvsC
A_32_P150836	1164	0.00965	NA	GSE4707_LOvsC
A_24_P119519	1177	0.04976	LIG3	GSE4707_LOvsC
A_24_P195125	1192	0.04145	SPDYE7P	GSE4707_LOvsC
A_24_P238616	1196	0.03795	NA	GSE4707_LOvsC
A_32_P68350	1262	0.00798	NA	GSE4707_LOvsC
A_24_P610945	1318	0.0014	NA	GSE4707_LOvsC
A_32_P109933	1335	0.01335	NA	GSE4707_LOvsC
A_23_P42063	1343	0.03845	NA	GSE4707_LOvsC
A_23_P403955	1345	0.01157	TARDBP	GSE4707_LOvsC
A_32_P165113	1358	0.04453	WDR92	GSE4707_LOvsC
A_24_P588633	1372	0.02364	NA	GSE4707_LOvsC
A_32_P213822	1374	0.00337	NA	GSE4707_LOvsC
A_32_P164494	1377	0.04312	NA	GSE4707_LOvsC
A_24_P941279	1428	0.02171	NA	GSE4707_LOvsC
A_23_P502882	1430	0.01621	CBFA2T2	GSE4707_LOvsC
A_23_P62807	1461	0.00882	SCCPDH	GSE4707_LOvsC
A_23_P27767	1488	0.02687	ZNF444	GSE4707_LOvsC
A_23_P258633	1502	0.02389	TH	GSE4707_LOvsC
A_24_P415839	1570	0.04872	LIG4	GSE4707_LOvsC
A_23_P165090	1573	0.00957	NDUFS7	GSE4707_LOvsC
A_32_P185718	1632	0.04555	NA	GSE4707_LOvsC
A_23_P164210	1637	0.01951	TBC1D3F	GSE4707_LOvsC
A_24_P318967	1675	0.04123	PDXK	GSE4707_LOvsC
A_23_P128974	1698	0.01773	BATF	GSE4707_LOvsC
A_32_P6972	1742	5e-04	NA	GSE4707_LOvsC
A_24_P83944	1747	0.03721	ZNF586	GSE4707_LOvsC
A_32_P87135	1790	0.00953	NA	GSE4707_LOvsC
A_24_P115762	1838	0.03924	CTSC	GSE4707_LOvsC
A_23_P368847	1841	0.01862	WFDC10A	GSE4707_LOvsC
A_24_P21727	1853	0.04304	C11orf57	GSE4707_LOvsC
A_23_P258978	1864	0.00276	GOLGA1	GSE4707_LOvsC
A_32_P39866	1866	0.02832	NA	GSE4707_LOvsC
A_23_P149042	1876	0.01284	PYCR2	GSE4707_LOvsC
A_32_P31963	1878	0.00024	NA	GSE4707_LOvsC
A_23_P118002	1887	0.04259	UQCRC2	GSE4707_LOvsC
A_32_P181564	1889	0.03907	NA	GSE4707_LOvsC
A_32_P66222	1911	0.00491	ANKRD20A2	GSE4707_LOvsC
A_23_P81131	1915	0.0451	CORIN	GSE4707_LOvsC
A_24_P167877	1916	0.00026	NPIPB12	GSE4707_LOvsC
