probe	id	pvalue	symbol	group
16650041	16650041	0.00796	NA	GSE73374_PEvC
16650079	16650079	0.00707	NA	GSE73374_PEvC
16650083	16650083	0.04834	NA	GSE73374_PEvC
16650099	16650099	0.00487	NA	GSE73374_PEvC
16650139	16650139	0.02739	NA	GSE73374_PEvC
16650141	16650141	0.03322	NA	GSE73374_PEvC
16650143	16650143	0.01471	NA	GSE73374_PEvC
16650191	16650191	0.02442	NA	GSE73374_PEvC
16650219	16650219	0.02221	NA	GSE73374_PEvC
16650231	16650231	0.04818	NA	GSE73374_PEvC
16650233	16650233	0.0193	NA	GSE73374_PEvC
16650235	16650235	0.01991	NA	GSE73374_PEvC
16650267	16650267	0.01826	NA	GSE73374_PEvC
16650279	16650279	0.00058	NA	GSE73374_PEvC
16650285	16650285	0.00369	NA	GSE73374_PEvC
16650291	16650291	0.01474	NA	GSE73374_PEvC
16650307	16650307	0.03955	NA	GSE73374_PEvC
16650317	16650317	0.01398	NA	GSE73374_PEvC
16650325	16650325	0.02265	NA	GSE73374_PEvC
16650331	16650331	0.00459	NA	GSE73374_PEvC
16650335	16650335	0.00798	NA	GSE73374_PEvC
16650341	16650341	0.03317	NA	GSE73374_PEvC
16650371	16650371	0.01979	NA	GSE73374_PEvC
16650393	16650393	0.00201	NA	GSE73374_PEvC
16650409	16650409	0.00431	NA	GSE73374_PEvC
16650453	16650453	0.0113	NA	GSE73374_PEvC
16650465	16650465	0.01995	NA	GSE73374_PEvC
16650467	16650467	0.00155	NA	GSE73374_PEvC
16650513	16650513	0.00014	NA	GSE73374_PEvC
16650571	16650571	0.00647	NA	GSE73374_PEvC
16650615	16650615	0.02637	NA	GSE73374_PEvC
16650637	16650637	0.04911	NA	GSE73374_PEvC
16650647	16650647	0.00268	NA	GSE73374_PEvC
16650691	16650691	0.03215	NA	GSE73374_PEvC
16650703	16650703	0.02148	NA	GSE73374_PEvC
16650709	16650709	0.04084	NA	GSE73374_PEvC
16650715	16650715	0.00528	NA	GSE73374_PEvC
16650721	16650721	0.00231	NA	GSE73374_PEvC
16650733	16650733	0.0014	NA	GSE73374_PEvC
16650737	16650737	0.01205	NA	GSE73374_PEvC
16650751	16650751	0.04339	NA	GSE73374_PEvC
16650795	16650795	0.02712	NA	GSE73374_PEvC
16650817	16650817	0.00883	NA	GSE73374_PEvC
16650833	16650833	0.01234	NA	GSE73374_PEvC
16650843	16650843	0.03247	NA	GSE73374_PEvC
16650869	16650869	0.03434	NA	GSE73374_PEvC
16650889	16650889	0.04696	NA	GSE73374_PEvC
16650909	16650909	0.04064	NA	GSE73374_PEvC
16650961	16650961	0.00022	NA	GSE73374_PEvC
16651013	16651013	0.00296	NA	GSE73374_PEvC
16651027	16651027	4e-04	NA	GSE73374_PEvC
16651031	16651031	0.00765	NA	GSE73374_PEvC
16651035	16651035	0.01307	NA	GSE73374_PEvC
16651037	16651037	0.01887	NA	GSE73374_PEvC
16651041	16651041	0.04297	NA	GSE73374_PEvC
16651057	16651057	0.03023	NA	GSE73374_PEvC
16651067	16651067	0.00308	NA	GSE73374_PEvC
16651075	16651075	0.02307	NA	GSE73374_PEvC
16651077	16651077	0.04572	NA	GSE73374_PEvC
16651081	16651081	0.01955	NA	GSE73374_PEvC
16651089	16651089	0.03756	NA	GSE73374_PEvC
16651121	16651121	0.0062	NA	GSE73374_PEvC
16651125	16651125	0.044	NA	GSE73374_PEvC
16651139	16651139	0.00977	NA	GSE73374_PEvC
16651161	16651161	0.01264	NA	GSE73374_PEvC
16651169	16651169	0.00659	NA	GSE73374_PEvC
16651175	16651175	0.04058	NA	GSE73374_PEvC
16651181	16651181	0.007	NA	GSE73374_PEvC
16651199	16651199	0.02343	NA	GSE73374_PEvC
16651223	16651223	0.00291	NA	GSE73374_PEvC
16651237	16651237	0.00725	NA	GSE73374_PEvC
16651269	16651269	0.04121	NA	GSE73374_PEvC
16651271	16651271	0.02582	NA	GSE73374_PEvC
16651321	16651321	0.01293	NA	GSE73374_PEvC
16651361	16651361	0.02771	NA	GSE73374_PEvC
16651367	16651367	0.00314	NA	GSE73374_PEvC
16651383	16651383	0.03732	NA	GSE73374_PEvC
16651403	16651403	0.00599	NA	GSE73374_PEvC
16651427	16651427	0.03161	NA	GSE73374_PEvC
16651435	16651435	0.00359	NA	GSE73374_PEvC
16651449	16651449	0.01497	NA	GSE73374_PEvC
16651471	16651471	0.04324	NA	GSE73374_PEvC
16651513	16651513	0.00909	NA	GSE73374_PEvC
16651517	16651517	0.01925	NA	GSE73374_PEvC
16651529	16651529	0.00203	NA	GSE73374_PEvC
16651569	16651569	0.00183	NA	GSE73374_PEvC
16651579	16651579	0.00486	NA	GSE73374_PEvC
16651585	16651585	0.04649	NA	GSE73374_PEvC
16651591	16651591	0.02056	NA	GSE73374_PEvC
16651621	16651621	0.00784	NA	GSE73374_PEvC
16651623	16651623	0.0121	NA	GSE73374_PEvC
16651625	16651625	0.00056	NA	GSE73374_PEvC
16651653	16651653	0.02676	NA	GSE73374_PEvC
16651673	16651673	0.03952	NA	GSE73374_PEvC
16651697	16651697	0.03694	NA	GSE73374_PEvC
16651721	16651721	0.00011	NA	GSE73374_PEvC
16651723	16651723	0.04977	NA	GSE73374_PEvC
16651781	16651781	0.04337	NA	GSE73374_PEvC
16651785	16651785	0.04035	NA	GSE73374_PEvC
16651795	16651795	0.00111	NA	GSE73374_PEvC
16651797	16651797	0.02442	NA	GSE73374_PEvC
16651819	16651819	0.04286	NA	GSE73374_PEvC
16651825	16651825	0.00897	NA	GSE73374_PEvC
16651859	16651859	0.01775	NA	GSE73374_PEvC
16651877	16651877	0.00699	NA	GSE73374_PEvC
16651927	16651927	0.02234	NA	GSE73374_PEvC
16651933	16651933	0.01002	NA	GSE73374_PEvC
16651945	16651945	0.00737	NA	GSE73374_PEvC
16651947	16651947	0.00574	NA	GSE73374_PEvC
16651963	16651963	0.00065	NA	GSE73374_PEvC
16651995	16651995	0.00315	NA	GSE73374_PEvC
16652031	16652031	0.01144	NA	GSE73374_PEvC
16652035	16652035	0.0121	NA	GSE73374_PEvC
16652095	16652095	0.00879	NA	GSE73374_PEvC
16652097	16652097	0.04625	NA	GSE73374_PEvC
16652121	16652121	0.01619	NA	GSE73374_PEvC
16652125	16652125	0.03892	NA	GSE73374_PEvC
16652141	16652141	0.04322	NA	GSE73374_PEvC
16652187	16652187	0.0084	NA	GSE73374_PEvC
16652209	16652209	0.02152	NA	GSE73374_PEvC
16652243	16652243	0.00766	NA	GSE73374_PEvC
16652249	16652249	0.01301	NA	GSE73374_PEvC
16652261	16652261	0.01524	NA	GSE73374_PEvC
16652269	16652269	0.0224	NA	GSE73374_PEvC
16652323	16652323	0.00015	NA	GSE73374_PEvC
16652359	16652359	0.02821	NA	GSE73374_PEvC
16652375	16652375	0.03556	NA	GSE73374_PEvC
16652383	16652383	0.02373	NA	GSE73374_PEvC
16652387	16652387	0.02967	NA	GSE73374_PEvC
16652433	16652433	0.03362	NA	GSE73374_PEvC
16652439	16652439	0.03445	NA	GSE73374_PEvC
16652507	16652507	0.00183	NA	GSE73374_PEvC
16652527	16652527	0.04054	NA	GSE73374_PEvC
16652535	16652535	0.00035	NA	GSE73374_PEvC
16652565	16652565	0.03228	NA	GSE73374_PEvC
16652573	16652573	0.04756	NA	GSE73374_PEvC
16652591	16652591	0.02234	NA	GSE73374_PEvC
16652597	16652597	0.01002	NA	GSE73374_PEvC
16652609	16652609	0.00737	NA	GSE73374_PEvC
16652611	16652611	0.00574	NA	GSE73374_PEvC
16652627	16652627	0.00065	NA	GSE73374_PEvC
16652659	16652659	0.00315	NA	GSE73374_PEvC
16652695	16652695	0.01144	NA	GSE73374_PEvC
16652699	16652699	0.0121	NA	GSE73374_PEvC
16652775	16652775	0.0326	NA	GSE73374_PEvC
16652807	16652807	0.01274	NA	GSE73374_PEvC
16652821	16652821	0.01991	NA	GSE73374_PEvC
16652845	16652845	0.04741	NA	GSE73374_PEvC
16652857	16652857	0.02421	NA	GSE73374_PEvC
16652863	16652863	0.00406	NA	GSE73374_PEvC
16652865	16652865	0.02451	NA	GSE73374_PEvC
16652867	16652867	0.00957	NA	GSE73374_PEvC
16652869	16652869	0.04376	NA	GSE73374_PEvC
16652881	16652881	0.04722	NA	GSE73374_PEvC
16652889	16652889	0.03803	NA	GSE73374_PEvC
16652911	16652911	0.00589	NA	GSE73374_PEvC
16652921	16652921	0.01472	NA	GSE73374_PEvC
16652931	16652931	0.03845	NA	GSE73374_PEvC
16652971	16652971	0.04596	NA	GSE73374_PEvC
16653017	16653017	0.0186	NA	GSE73374_PEvC
16653043	16653043	0.04569	NA	GSE73374_PEvC
16653049	16653049	0.01199	NA	GSE73374_PEvC
16653071	16653071	0.00464	NA	GSE73374_PEvC
16653105	16653105	0.02153	NA	GSE73374_PEvC
16653119	16653119	0.02328	NA	GSE73374_PEvC
16653159	16653159	0.02704	NA	GSE73374_PEvC
16653161	16653161	0.00881	NA	GSE73374_PEvC
16653171	16653171	0.0014	NA	GSE73374_PEvC
16653183	16653183	0.04831	NA	GSE73374_PEvC
16653203	16653203	0.02723	NA	GSE73374_PEvC
16653231	16653231	0.0423	NA	GSE73374_PEvC
16653237	16653237	0.03802	NA	GSE73374_PEvC
16653339	16653339	0.00457	NA	GSE73374_PEvC
16653375	16653375	0.0283	NA	GSE73374_PEvC
16653441	16653441	0.00457	NA	GSE73374_PEvC
16653477	16653477	0.0283	NA	GSE73374_PEvC
16653491	16653491	0.02807	NA	GSE73374_PEvC
16653495	16653495	0.01597	NA	GSE73374_PEvC
16653501	16653501	0.02669	NA	GSE73374_PEvC
16653503	16653503	0.02294	NA	GSE73374_PEvC
16653509	16653509	0.01687	NA	GSE73374_PEvC
16653519	16653519	0.00909	NA	GSE73374_PEvC
16653561	16653561	0.02162	NA	GSE73374_PEvC
16653595	16653595	0.01447	NA	GSE73374_PEvC
16653599	16653599	0.01616	NA	GSE73374_PEvC
16653601	16653601	0.00932	NA	GSE73374_PEvC
16653635	16653635	0.00682	NA	GSE73374_PEvC
16653669	16653669	0.00526	NA	GSE73374_PEvC
16653683	16653683	0.01895	NA	GSE73374_PEvC
16653703	16653703	0.03619	NA	GSE73374_PEvC
16653711	16653711	0.00031	NA	GSE73374_PEvC
16653713	16653713	0.02018	NA	GSE73374_PEvC
16653717	16653717	0.04785	NA	GSE73374_PEvC
16653727	16653727	0.00504	NA	GSE73374_PEvC
16653745	16653745	0.01711	NA	GSE73374_PEvC
16653747	16653747	0.01676	NA	GSE73374_PEvC
16653755	16653755	0.01021	NA	GSE73374_PEvC
16653757	16653757	0.04875	NA	GSE73374_PEvC
16653769	16653769	0.0161	NA	GSE73374_PEvC
16653777	16653777	0.00918	NA	GSE73374_PEvC
16653795	16653795	0.02521	NA	GSE73374_PEvC
16653809	16653809	0.03745	NA	GSE73374_PEvC
16653811	16653811	0.02906	NA	GSE73374_PEvC
16653819	16653819	0.02954	NA	GSE73374_PEvC
16653825	16653825	0.00188	NA	GSE73374_PEvC
16653857	16653857	0.00103	NA	GSE73374_PEvC
16653873	16653873	0.0395	NA	GSE73374_PEvC
16653905	16653905	0.02807	NA	GSE73374_PEvC
16653925	16653925	0.00471	NA	GSE73374_PEvC
16653929	16653929	0.0339	NA	GSE73374_PEvC
16653931	16653931	0.03399	NA	GSE73374_PEvC
16653971	16653971	0.02119	NA	GSE73374_PEvC
16653979	16653979	0.03786	NA	GSE73374_PEvC
16654007	16654007	0.01058	NA	GSE73374_PEvC
16654031	16654031	0.04675	NA	GSE73374_PEvC
16654037	16654037	0.00471	NA	GSE73374_PEvC
16654041	16654041	0.0339	NA	GSE73374_PEvC
16654043	16654043	0.03399	NA	GSE73374_PEvC
16654049	16654049	0.03854	NA	GSE73374_PEvC
