probe	id	pvalue	symbol	group
10	A_21_P0000744	0.02031	LOC100506844	GSE74341_EOvsPT
20	A_33_P3263061	0.00256	AK3	GSE74341_EOvsPT
22	A_24_P278460	0.00217	FAR1	GSE74341_EOvsPT
25	A_24_P286898	0.00076	MAPK8	GSE74341_EOvsPT
26	A_23_P340890	0.01771	THAP3	GSE74341_EOvsPT
28	A_21_P0010885	0.00041	TMEM14B	GSE74341_EOvsPT
30	A_23_P89762	0.01785	PHLPP1	GSE74341_EOvsPT
32	A_23_P109034	0.04024	SDC4	GSE74341_EOvsPT
36	A_33_P3732466	0.00458	DKFZp547G183	GSE74341_EOvsPT
37	A_33_P3402773	0.0139		GSE74341_EOvsPT
39	A_33_P3365553	0.02543	LOC389634	GSE74341_EOvsPT
48	A_21_P0014120	0.0498	LOC100507291	GSE74341_EOvsPT
53	A_23_P118888	0.02279	PAFAH1B1	GSE74341_EOvsPT
61	A_21_P0014626	0.00085	RNF13	GSE74341_EOvsPT
62	A_23_P203658	0.03906	PICALM	GSE74341_EOvsPT
63	A_33_P3354678	0.00257	TRIM78P	GSE74341_EOvsPT
64	A_23_P102060	0.00131	SSFA2	GSE74341_EOvsPT
65	A_23_P206140	0.00505	DNAJA4	GSE74341_EOvsPT
68	A_33_P3323435	0.00062	MAP3K9	GSE74341_EOvsPT
72	A_21_P0014742	0.02065	LOC100287813	GSE74341_EOvsPT
75	A_33_P3349661	0.04693	PCDH9	GSE74341_EOvsPT
78	A_23_P111865	0.04102	ZSCAN21	GSE74341_EOvsPT
83	A_23_P63896	0.00759	FAS	GSE74341_EOvsPT
85	A_24_P355944	0.00111	EFNB2	GSE74341_EOvsPT
97	A_33_P3245927	0.02954	OGFOD2	GSE74341_EOvsPT
107	A_33_P3278313	0.04337	MSRB3	GSE74341_EOvsPT
112	A_21_P0000576	0.00542	LOC100294362	GSE74341_EOvsPT
114	A_21_P0014082	0.00141	LOC100507013	GSE74341_EOvsPT
116	A_33_P3858476	0.0268	FLJ30838	GSE74341_EOvsPT
117	A_33_P3260373	0.01196	ISY1-RAB43	GSE74341_EOvsPT
122	A_24_P303420	0.03258	LOC221442	GSE74341_EOvsPT
125	A_19_P00322002	0.03329	FLJ43663	GSE74341_EOvsPT
126	A_19_P00320028	6e-05	LOC100216546	GSE74341_EOvsPT
127	A_23_P114883	0.01083	FMOD	GSE74341_EOvsPT
138	A_33_P3325018	0.02279	ERLEC1	GSE74341_EOvsPT
141	A_23_P123308	0.007	TEX15	GSE74341_EOvsPT
150	A_23_P258340	0.00092	PPIA	GSE74341_EOvsPT
151	A_21_P0014949	0.02854	NPEPPS	GSE74341_EOvsPT
157	A_23_P61042	0.01443		GSE74341_EOvsPT
160	A_23_P119907	0	ANKZF1	GSE74341_EOvsPT
167	A_33_P3284404	0.00457	SYNGR1	GSE74341_EOvsPT
170	A_23_P110624	0.03102	CTNND2	GSE74341_EOvsPT
