probe	id	pvalue	symbol	group
4	A_23_P117082	0.01162	HEBP1	GSE74341_LOvsAT
5	A_33_P3246448	0.00121	KCNE4	GSE74341_LOvsAT
13	A_33_P3211513	0.01604	CLK1	GSE74341_LOvsAT
20	A_33_P3263061	0.02623	AK3	GSE74341_LOvsAT
26	A_23_P340890	0.0031	THAP3	GSE74341_LOvsAT
28	A_21_P0010885	0.01694	TMEM14B	GSE74341_LOvsAT
30	A_23_P89762	0.01286	PHLPP1	GSE74341_LOvsAT
31	A_33_P3379396	0.00192	KRT1	GSE74341_LOvsAT
41	A_33_P3402035	0.00493	TRAF4	GSE74341_LOvsAT
47	A_33_P3219429	0.00889	SMNDC1	GSE74341_LOvsAT
49	A_33_P3372397	0.02385		GSE74341_LOvsAT
61	A_21_P0014626	0.0406	RNF13	GSE74341_LOvsAT
73	A_33_P3241482	0.02262	ZNF346	GSE74341_LOvsAT
78	A_23_P111865	0.01231	ZSCAN21	GSE74341_LOvsAT
79	A_23_P151294	0.02043	IFNG	GSE74341_LOvsAT
81	A_33_P3299510	0.01308	SCXA	GSE74341_LOvsAT
87	A_32_P199252	0.03146	HSP90AA1	GSE74341_LOvsAT
90	A_19_P00811812	0.0127	MPRIP	GSE74341_LOvsAT
94	A_23_P44264	0.00243	EMX2	GSE74341_LOvsAT
100	A_33_P3379526	0.03839		GSE74341_LOvsAT
126	A_19_P00320028	0.04558	LOC100216546	GSE74341_LOvsAT
128	A_24_P42066	0.02917	GGT3P	GSE74341_LOvsAT
132	A_33_P3404480	0.00641	MPP4	GSE74341_LOvsAT
137	A_21_P0001847	0.0029	XLOC_001398	GSE74341_LOvsAT
144	A_33_P3745164	0.02607	CADM2	GSE74341_LOvsAT
149	A_23_P11652	0.03847	USP1	GSE74341_LOvsAT
153	A_33_P3312601	0.00401	AADACL4	GSE74341_LOvsAT
154	A_23_P162702	0.00742	C12orf51	GSE74341_LOvsAT
160	A_23_P119907	0.02836	ANKZF1	GSE74341_LOvsAT
173	A_32_P215938	0.0307	GPSM1	GSE74341_LOvsAT
177	A_19_P00318261	0.01572	SNORA26	GSE74341_LOvsAT
193	A_19_P00806765	0.00276	FONG	GSE74341_LOvsAT
202	A_23_P214678	0.00489	CUTA	GSE74341_LOvsAT
213	A_24_P149395	0.01787	WIPI2	GSE74341_LOvsAT
219	A_23_P82762	0.04597	ZNF596	GSE74341_LOvsAT
223	A_33_P3317282	0.0224	NUS1	GSE74341_LOvsAT
236	A_33_P3273459	0.00037	SPATA21	GSE74341_LOvsAT
255	A_21_P0008647	0.01174	LOC145837	GSE74341_LOvsAT
262	A_32_P231086	0.04096	GOLGA6L9	GSE74341_LOvsAT
273	A_24_P251734	0.03431	FSTL5	GSE74341_LOvsAT
280	A_23_P213518	0.03988	CAST	GSE74341_LOvsAT
287	A_33_P3240234	0.0451		GSE74341_LOvsAT
288	A_23_P362228	0.02404	C1orf213	GSE74341_LOvsAT
290	A_24_P782308	0.02891	NEDD4L	GSE74341_LOvsAT
294	A_23_P59388	0.0173	DST	GSE74341_LOvsAT
298	A_23_P99891	0.03859	MESDC1	GSE74341_LOvsAT
302	A_33_P3658861	0.01774	SNORA26	GSE74341_LOvsAT
303	A_23_P41948	0.02359	CCDC99	GSE74341_LOvsAT
309	A_33_P3265619	0.00296		GSE74341_LOvsAT
312	A_21_P0004081	0.0281	XLOC_004674	GSE74341_LOvsAT
343	A_23_P334608	0.00541	GUSB	GSE74341_LOvsAT
344	A_23_P53137	0.0097	HBG1	GSE74341_LOvsAT
350	A_21_P0009821	0.04961	LOC100652730	GSE74341_LOvsAT
357	A_33_P3272189	0.01882	MFSD9	GSE74341_LOvsAT
358	A_23_P112652	0.00234	CNOT10	GSE74341_LOvsAT
374	A_23_P118392	0.01062	RASD1	GSE74341_LOvsAT
383	A_24_P268160	0.01753	DRAM2	GSE74341_LOvsAT
385	A_33_P3230588	0.0252		GSE74341_LOvsAT
