probe	pvalue	adj.pvalue	symbol	entrez	group
7979663	0	0.048983	RAB15	376267	GSE24129_PEvC
7944554	0	0.027564	TMEM136 // TMEM136 // TMEM136 // TMEM136 // TMEM136 // TMEM136 // TMEM136	NA	GSE24129_PEvC
8044353	1.00E-05	0.070833	ACOXL	55289	GSE24129_PEvC
8156134	1.00E-05	0.070833	NTRK2 // NTRK2 // NTRK2 // NTRK2 // NTRK2 // NTRK2	NA	GSE24129_PEvC
8082673	3.00E-05	0.086642	ACPP // ACPP // ACPP	NA	GSE24129_PEvC
7995362	3.00E-05	0.086642	GPT2 // GPT2	NA	GSE24129_PEvC
8092707	3.00E-05	0.086642	P3H2 // P3H2	NA	GSE24129_PEvC
8132118	4.00E-05	0.086642	AQP1 // AQP1 // AQP1 // AQP1	NA	GSE24129_PEvC
7980861	4.00E-05	0.086642	CATSPERB	79820	GSE24129_PEvC
7946071	4.00E-05	0.089549	OR51B5	282763	GSE24129_PEvC
8145977	5.00E-05	0.091262	PLEKHA2	59339	GSE24129_PEvC
8163149	5.00E-05	0.091262	PTPN3 // PTPN3 // PTPN3 // PTPN3 // PTPN3 // PTPN3 // PTPN3	NA	GSE24129_PEvC
8078272	6.00E-05	0.091262	NR1D2 // NR1D2 // NR1D2	NA	GSE24129_PEvC
8142407	6.00E-05	0.096189	TMEM168 // TMEM168 // TMEM168	NA	GSE24129_PEvC
8062395	7.00E-05	0.097141	NNAT // NNAT	NA	GSE24129_PEvC
7903119	1.00E-04	0.097141	ABCD3 // ABCD3	NA	GSE24129_PEvC
8105495	1.00E-04	0.097141	PART1 // PART1 // PART1	NA	GSE24129_PEvC
7932407	1.00E-04	0.097141	ST8SIA6	338596	GSE24129_PEvC
8024511	1.00E-04	0.097141	ZNF554	115196	GSE24129_PEvC
8124402	0.00011	0.097141	HIST1H1T	3010	GSE24129_PEvC
7937407	0.00011	0.097141	RASSF7 // RASSF7 // RASSF7	NA	GSE24129_PEvC
8068168	0.00011	0.097141	SOD1	6647	GSE24129_PEvC
7918925	0.00011	0.097141	TRIM45 // TRIM45	NA	GSE24129_PEvC
8039687	0.00011	0.097141	ZNF552	79818	GSE24129_PEvC
7998374	0.00012	0.097402	GNG13	51764	GSE24129_PEvC
8136863	0.00012	0.097141	TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139 // TMEM139	NA	GSE24129_PEvC
8175016	0.00013	0.097402	APLN	8862	GSE24129_PEvC
8007263	0.00013	0.097402	HSD17B1	3292	GSE24129_PEvC
8088911	0.00014	0.103051	ZNF717 // ZNF717 // ZNF717 // ZNF717	NA	GSE24129_PEvC
8021301	0.00015	0.10532	RAB27B	5874	GSE24129_PEvC
8057959	0.00016	0.10532	PGAP1	80055	GSE24129_PEvC
8153959	0.00017	0.114285	DOCK8 // DOCK8 // DOCK8	NA	GSE24129_PEvC
8100943	0.00021	0.135319	RASSF6 // RASSF6 // RASSF6 // RASSF6	NA	GSE24129_PEvC
7974190	0.00024	0.143704	DNAJC19 // DNAJC19 // DNAJC19 // DNAJC19	NA	GSE24129_PEvC
7984203	0.00024	0.143704	ZNF609	23060	GSE24129_PEvC
7909745	0.00027	0.15479	KCTD3	51133	GSE24129_PEvC
8138067	0.00029	0.157286	CYTH3	9265	GSE24129_PEvC
8055038	0.00029	0.157286	LIMS2 // LIMS2 // LIMS2 // LIMS2 // LIMS2	NA	GSE24129_PEvC
8110631	0.00031	0.157286	BTNL9	153579	GSE24129_PEvC
8135909	0.00031	0.157286	LEP	3952	GSE24129_PEvC
7980891	0.00031	0.157286	TC2N // TC2N // TC2N // TC2N	NA	GSE24129_PEvC
7947156	0.00032	0.157286	MUC15 // MUC15 // MUC15	NA	GSE24129_PEvC
8021470	0.00032	0.157286	PMAIP1	5366	GSE24129_PEvC
7922174	0.00035	0.168309	F5	2153	GSE24129_PEvC
8113800	0.00037	0.170451	FBN2	2201	GSE24129_PEvC
8113666	0.00038	0.170451	SEMA6A	57556	GSE24129_PEvC
8156897	0.00041	0.181778	MSANTD3 // MSANTD3 // MSANTD3 // MSANTD3 // MSANTD3-TMEFF1	NA	GSE24129_PEvC
8040587	0.00042	0.181778	 // EFR3B	NA	GSE24129_PEvC
8148329	0.00043	0.181778	NA	NA	GSE24129_PEvC
8041508	0.00044	0.185694	QPCT	25797	GSE24129_PEvC
8147019	5.00E-04	0.198406	ZC2HC1A	51101	GSE24129_PEvC
