probe	id	pvalue	symbol	group
A_23_P15864	12	0.01873	MBD2	GSE4707_PEvC
A_32_P58999	19	0.00599	NA	GSE4707_PEvC
A_24_P220058	25	0.04909	MAPRE1	GSE4707_PEvC
A_23_P120504	31	0.02906	TMEM74B	GSE4707_PEvC
A_23_P422851	41	0.0136	CABLES1	GSE4707_PEvC
A_24_P32560	47	0.00174	ENHO	GSE4707_PEvC
A_24_P807445	57	0.02253	NA	GSE4707_PEvC
A_32_P159612	75	0.02025	ASIC2	GSE4707_PEvC
A_24_P410639	114	0.02554	NA	GSE4707_PEvC
A_32_P139079	124	0.04777	SERBP1	GSE4707_PEvC
A_32_P143000	125	0.0182	NA	GSE4707_PEvC
A_32_P23854	156	0.03095	DENND1A	GSE4707_PEvC
A_32_P158543	162	0.02838	NA	GSE4707_PEvC
A_24_P382637	166	0.037	MTG2	GSE4707_PEvC
A_24_P135875	173	0.02834	NA	GSE4707_PEvC
A_24_P941131	176	0.01633	MIER2	GSE4707_PEvC
A_23_P416034	193	0.02976	HAUS7	GSE4707_PEvC
A_32_P45101	205	0.03866	NA	GSE4707_PEvC
A_32_P386636	209	0.01111	FAM170A	GSE4707_PEvC
A_24_P935667	230	0.00018	NA	GSE4707_PEvC
A_23_P143958	246	0.0386	NA	GSE4707_PEvC
A_23_P250118	254	0.00417	HSPBAP1	GSE4707_PEvC
A_23_P85963	290	0.03188	OR6Y1	GSE4707_PEvC
A_23_P366895	297	0.04821	B3GNT6	GSE4707_PEvC
A_23_P217447	318	0.00846	LAMP2	GSE4707_PEvC
A_23_P169178	322	0.01305	TESK1	GSE4707_PEvC
A_23_P205659	370	0.00874	KLHL28	GSE4707_PEvC
A_23_P122815	377	0.00961	CALU	GSE4707_PEvC
A_24_P926484	401	0.02862	NA	GSE4707_PEvC
A_23_P331253	409	0.02757	XPNPEP1	GSE4707_PEvC
A_32_P12703	424	0.0027	NA	GSE4707_PEvC
A_23_P59138	441	0.02957	POU5F1	GSE4707_PEvC
A_32_P230196	462	0.01881	AGAP7P	GSE4707_PEvC
A_32_P86028	493	0.03295	RPS13	GSE4707_PEvC
A_23_P366328	497	0.01307	VPS37A	GSE4707_PEvC
A_32_P111492	506	0.03337	NA	GSE4707_PEvC
