A	Coef.EOvsC	Coef.LOvsC	t.EOvsC	t.LOvsC	p.value.EOvsC	p.value.LOvsC	p.value.adj.EOvsC	p.value.adj.LOvsC	F	F.p.value	Res.EOvsC	Res.LOvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
-1.05	0.996	0.048	1.57	0.08	0.14091	0.94078	0.482903	0.991706	1.68	0.2233	0	0	NA	NA	NA
-0.34	-0.413	0.001	-1.23	0	0.23997	0.9972	0.589769	0.999608	1.1	0.36198	0	0	NA	NA	NA
-0.52	-0.558	-0.33	-1.56	-0.92	0.14305	0.37402	0.485894	0.865496	1.21	0.32798	0	0	NA	NA	NA
-0.14	0.334	-0.063	1.06	-0.2	0.30716	0.84368	0.647845	0.97701	1.02	0.38834	0	0	NA	NA	NA
-1.39	-0.06	-0.115	-0.11	-0.21	0.91519	0.83992	0.972959	0.976603	0.02	0.97902	0	0	NA	NA	NA
-0.7	0.896	0.59	1.09	0.72	0.29308	0.48337	0.635911	0.904772	0.61	0.55869	0	0	NA	NA	NA
-0.36	-0.037	-0.101	-0.1	-0.28	0.91952	0.78458	0.974569	0.967289	0.04	0.96008	0	0	NA	NA	NA
-0.25	0.102	-0.054	0.47	-0.25	0.6443	0.80422	0.861884	0.970363	0.3	0.7431	0	0	NA	NA	NA
0.24	0.522	0.531	2.23	2.27	0.04331	0.04031	0.313034	0.671315	3.26	0.07033	0	0	NA	NA	NA
-0.55	0.089	0.557	0.12	0.77	0.9039	0.45638	0.96899	0.896005	0.36	0.70376	0	0	NA	NA	NA
-0.35	-0.008	0.6	-0.01	0.78	0.99179	0.44767	0.998609	0.893833	0.45	0.64732	0	0	NA	NA	NA
-1.18	0.055	-0.086	0.07	-0.11	0.94282	0.9106	0.982939	0.987063	0.02	0.98017	0	0	NA	NA	NA
-0.34	0.082	0.106	0.29	0.37	0.77981	0.71764	0.924708	0.956128	0.07	0.93009	0	0	NA	NA	NA
-0.19	-0.034	-0.04	-0.21	-0.25	0.83896	0.80894	0.947277	0.971823	0.03	0.96667	0	0	NA	NA	NA
0.37	0.846	0.434	4.21	2.16	0.00097	0.0492	0.086094	0.688593	8.9	0.00353	0	0	NA	NA	NA
-0.3	0.492	0.35	1.19	0.85	0.25568	0.41281	0.603852	0.88088	0.73	0.50007	0	0	NA	NA	NA
-0.71	-0.277	0.043	-0.33	0.05	0.74805	0.96002	0.91208	0.995039	0.09	0.91166	0	0	NA	NA	NA
-0.05	0.081	-0.114	0.42	-0.6	0.67822	0.56177	0.879169	0.920917	0.59	0.56867	0	0	NA	NA	NA
-0.21	0.036	0.11	0.32	0.99	0.75045	0.33981	0.912912	0.852593	0.53	0.60228	0	0	NA	NA	NA
0.15	0.836	0.571	2.22	1.51	0.04481	0.15348	0.317484	0.765234	2.51	0.11883	0	0	NA	NA	NA
-0.06	0.007	-0.093	0.04	-0.46	0.97193	0.65199	0.992663	0.942191	0.17	0.84698	0	0	NA	NA	NA
-0.16	-0.185	-0.259	-0.3	-0.42	0.76847	0.68104	0.919799	0.947931	0.09	0.91309	0	0	NA	NA	NA
-0.4	0.607	0.691	1.08	1.22	0.30075	0.24191	0.643158	0.809267	0.86	0.44397	0	0	NA	NA	NA
-1.05	1.031	0.232	1.21	0.27	0.24707	0.78996	0.596667	0.967289	0.85	0.4497	0	0	NA	NA	NA
-0.43	-0.7	-0.283	-3.41	-1.38	0.00454	0.19052	0.14944	0.783213	6	0.01393	0	0	NA	NA	NA
0.08	-0.241	1.533	-0.21	1.33	0.83761	0.20601	0.946624	0.79334	1.53	0.25163	0	0	NA	NA	NA
-0.48	-0.065	0.208	-0.1	0.31	0.92462	0.76265	0.976691	0.963939	0.1	0.9061	0	0	NA	NA	NA
-0.26	0.197	0.417	0.33	0.7	0.74519	0.4951	0.910844	0.90642	0.25	0.78353	0	0	NA	NA	NA
-0.33	0.826	0.452	1.19	0.65	0.25607	0.52701	0.603952	0.913555	0.7	0.51196	0	0	NA	NA	NA
-0.59	-0.41	-0.088	-0.58	-0.12	0.57342	0.9037	0.824092	0.986401	0.19	0.82532	0	0	NA	NA	NA
-0.21	-0.812	-0.856	-0.97	-1.02	0.34989	0.32501	0.681974	0.846693	0.64	0.54347	0	0	NA	NA	NA
-0.08	-0.313	0.019	-1.44	0.09	0.17403	0.93341	0.523199	0.990789	1.6	0.23931	0	0	NA	NA	NA
-0.25	-0.408	-0.264	-0.97	-0.63	0.34925	0.54041	0.681492	0.91565	0.48	0.63118	0	0	NA	NA	NA
-0.26	-0.689	-0.4	-3.26	-1.89	0.00609	0.08095	0.164825	0.725507	5.31	0.02023	0	0	NA	NA	NA
-0.14	0.017	-0.073	0.1	-0.42	0.92451	0.67874	0.976677	0.947432	0.17	0.84606	0	0	NA	NA	NA
0.02	-0.012	-0.129	-0.04	-0.49	0.96485	0.6287	0.990103	0.936412	0.16	0.8531	0	0	NA	NA	NA
-0.17	0.059	-0.138	0.21	-0.48	0.8404	0.63876	0.94779	0.939337	0.28	0.76256	0	0	NA	NA	NA
-0.73	-1.482	-0.255	-1.59	-0.27	0.1364	0.78957	0.478121	0.967289	1.52	0.25351	0	0	NA	NA	NA
-0.17	-0.411	-0.295	-4	-2.88	0.00144	0.01272	0.099768	0.583794	8.32	0.00455	0	0	NA	NA	NA
-0.19	-0.151	-0.375	-0.33	-0.81	0.74763	0.42988	0.91195	0.887865	0.34	0.71605	0	0	NA	NA	NA
0.31	-0.052	0.487	-0.06	0.54	0.95514	0.59798	0.987177	0.930384	0.24	0.79124	0	0	NA	NA	NA
0.08	-1.001	-0.33	-1.73	-0.57	0.10686	0.57772	0.44048	0.925683	1.61	0.23734	0	0	NA	NA	NA
-0.14	-0.561	-0.568	-1.49	-1.51	0.15895	0.15453	0.506277	0.766704	1.45	0.26969	0	0	NA	NA	NA
-0.07	0.157	0.018	0.41	0.05	0.69164	0.96372	0.885271	0.995481	0.11	0.90079	0	0	NA	NA	NA
0.28	0.177	0.116	0.66	0.43	0.51849	0.67059	0.794371	0.946066	0.22	0.80292	0	0	NA	NA	NA
