A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.Symbol	Genes.ID	Genes.Probe	Genes.ENTREZID	Genes.GENENAME	Genes.ALIAS
9.71	-0.069	-0.3	0.76246	0.884436	0.09	0.76246	0	MGC20460	160223	hCT11187.3	NA	NA	NA
9.72	0.455	1.79	0.0804	0.248501	3.2	0.0804	0	LILRA2	195916	hCT11733.3,hCT1956242.2,hCT1956243.2	11027	leukocyte immunoglobulin like receptor A2	CD85H, ILT1, LIR-7, LIR7, LILRA2
9.99	0.321	1.25	0.21816	0.449184	1.56	0.21816	0	GPHN	131316	hCT11848.4,hCT1955809.2	10243	gephyrin	GEPH, GPH, GPHRYN, HKPX1, MOCODC, GPHN
9.54	0.445	1.14	0.26101	0.497132	1.3	0.26101	0	ADPRH	160378	hCT11854.3,hCT2319573	141	ADP-ribosylarginine hydrolase	ARH1, ADPRH
9.95	0.063	0.32	0.74687	0.87526	0.11	0.74687	0	NA	195365	hCT12252.2,hCT2352524,hCT1967916.1,hCT2352525,hCT1967915.1,hCT2352523	NA	NA	NA
13.95	-0.039	-0.29	0.77355	0.890456	0.08	0.77355	0	NA	194460	hCT13744.3,hCT2352961,hCT2352960,hCT1950800.1	NA	NA	NA
11.13	-0.293	-3.33	0.00174	0.020508	11.09	0.00174	-1	POLR3A	167465	hCT15953.3	11128	RNA polymerase III subunit A	ADDH, HLD7, RPC1, RPC155, hRPC155, POLR3A
11.98	0.072	0.53	0.60209	0.785228	0.28	0.60209	0	TIMELESS	188632	hCT16104.2	8914	timeless circadian clock	TIM, TIM1, hTIM, TIMELESS
8.27	0.08	0.4	0.68905	0.842661	0.16	0.68905	0	CRTAC1	144248	hCT16280.3,hCT2322093,hCT2322092	55118	cartilage acidic protein 1	ASPIC, ASPIC1, CEP-68, CRTAC1
13.69	0.4	3.95	0.00027	0.005724	15.6	0.00027	1	NA	236166	hCT1642216.2	NA	NA	NA
16.72	-0.373	-4.07	0.00019	0.004401	16.57	0.00019	-1	NA	236300	hCT16432.5	NA	NA	NA
7.85	-0.299	-1.35	0.1848	0.40792	1.81	0.1848	0	OR52J3	106765	hCT1645535.1	119679	olfactory receptor family 52 subfamily J member 3	OR11-32, OR52J3
7.88	0.038	0.1	0.91865	0.963695	0.01	0.91865	0	MGC40179	162476	hCT1645803.3	NA	NA	NA
8.22	0.015	0.12	0.90533	0.956826	0.01	0.90533	0	ZNF319	203948	hCT1646299.4	57567	zinc finger protein 319	ZFP319, ZNF319
8.16	-0.252	-1.09	0.28113	0.517736	1.19	0.28113	0	TMIE	178041	hCT1647368.2	259236	transmembrane inner ear	DFNB6, TMIE
8.11	0.536	2.06	0.04558	0.174432	4.23	0.04558	0	NA	173658	hCT1647944.2	NA	NA	NA
15.36	0.143	1.09	0.27954	0.516597	1.2	0.27954	0	NA	111349	hCT16496.2,hCT2296336	NA	NA	NA
15.01	-0.116	-1.28	0.20662	0.434743	1.64	0.20662	0	NA	236934	hCT17135.4	NA	NA	NA
11.91	0.623	4.07	0.00019	0.004401	16.57	0.00019	1	ZNF32	202838	hCT1767013.3,hCT1965882.1,hCT2356831	7580	zinc finger protein 32	KOX30, ZNF32
11.32	0.535	2.14	0.03759	0.154373	4.59	0.03759	0	SLMAP	135547	hCT17973.3,hCT1686447.3,hCT2280770	7871	sarcolemma associated protein	SLAP, SLMAP
12.44	0.076	0.38	0.70544	0.851861	0.14	0.70544	0	CTSO	190555	hCT18059.1	1519	cathepsin O	CTSO1, CTSO
7.64	0.072	0.32	0.74933	0.876859	0.1	0.74933	0	NA	165770	hCT1814524	NA	NA	NA
13.55	0.198	1.33	0.18975	0.414034	1.77	0.18975	0	NA	109254	hCT1821977.1	NA	NA	NA
7.64	-0.093	-0.46	0.64566	0.815083	0.21	0.64566	0	CD1A	178946	hCT1828008.1,hCT2275261	909	CD1a molecule	CD1, FCB6, HTA1, R4, T6, CD1A
14.69	-0.328	-2.89	0.00582	0.046173	8.38	0.00582	-1	TCEAL8	224053	hCT1829444.1	90843	transcription elongation factor A like 8	WEX3, TCEAL8
8.17	-0.122	-0.6	0.55135	0.75013	0.36	0.55135	0	IDI2	152479	hCT1832065.2	91734	isopentenyl-diphosphate delta isomerase 2	IPPI2, IDI2
8.01	0.157	0.69	0.49318	0.705842	0.48	0.49318	0	NA	708044	hCT1847890.2	NA	NA	NA
14.26	-0.563	-3.47	0.00115	0.015665	12.06	0.00115	-1	GSN	201953	hCT18594.4,hCT1951161.2,hCT1951162.2	2934	gelsolin	ADF, AGEL, GSN
9.46	0.306	1.32	0.195	0.421036	1.73	0.195	0	FLJ10979	103475	hCT18993.3,hCT2264570,hCT2357275,hCT2357274	NA	NA	NA
9.61	-0.732	-3.74	0.00052	0.009005	13.98	0.00052	-1	NA	515240	hCT1952501.2	NA	NA	NA
8.67	0.359	1.23	0.2249	0.457276	1.51	0.2249	0	PIP3-E	105421	hCT1953586,hCT2330611	NA	NA	NA
10.45	-0.137	-0.71	0.47849	0.694359	0.51	0.47849	0	NR3C2	189490	hCT1955482.1	4306	nuclear receptor subfamily 3 group C member 2	MCR, MLR, MR, NR3C2VIT, NR3C2
8.34	-0.035	-0.15	0.87864	0.943513	0.02	0.87864	0	NA	110723	hCT1960437.2	NA	NA	NA
7.74	0.02	0.08	0.93459	0.971195	0.01	0.93459	0	NA	125777	hCT1961305	NA	NA	NA
14.49	0.267	1.7	0.09517	0.275688	2.91	0.09517	0	NA	233299	hCT2252270	NA	NA	NA
10.89	-0.263	-1.59	0.11947	0.315229	2.52	0.11947	0	HFE	207283	hCT2252574,hCT2252578.1,hCT2252582.1,hCT2252579.1,hCT2252573.1,hCT2252576.1,hCT2252575.1,hCT1952972.2,hCT2252581.1,hCT2252572.1	3077	hemochromatosis	HFE1, HH, HLA-H, MVCD7, TFQTL2, HFE
15.41	0.027	0.26	0.79886	0.903916	0.07	0.79886	0	CTNNA1	115338	hCT2253782.1,hCT1821291.3,hCT2253785.1	1495	catenin alpha 1	CAP102, MDPT2, CTNNA1
9.75	0.628	3.58	0.00083	0.012529	12.83	0.00083	1	SORCS2	118556	hCT2254805.1,hCT2254807	57537	sortilin related VPS10 domain containing receptor 2	SORCS2
8.9	0.53	3.51	0.00102	0.014436	12.33	0.00102	1	NA	230819	hCT2259677	NA	NA	NA
12.48	-0.511	-3.03	0.00399	0.035852	9.21	0.00399	-1	HN1	185825	hCT2262845,hCT2357164,hCT2357165,hCT2262844	NA	NA	NA
10.71	-0.178	-1.06	0.29659	0.533649	1.12	0.29659	0	LOC129285	114607	hCT2263626,hCT2263625,hCT2358388,hCT2358389,hCT2358390	NA	NA	NA
12.67	-1.043	-4.66	3e-05	0.001224	21.72	3e-05	-1	NOS3AS	232497	hCT2268902,hCT2344260	NA	NA	NA
8.35	0.334	1.37	0.17847	0.399305	1.87	0.17847	0	NA	228502	hCT2270965.1	NA	NA	NA
9.27	0.054	0.16	0.87337	0.940656	0.03	0.87337	0	SULT1C1	133973	hCT2273274,hCT1771663.2	NA	NA	NA
9.69	0.745	3.94	0.00028	0.00577	15.56	0.00028	1	NA	231881	hCT2275454.1	NA	NA	NA
8.16	0.138	0.62	0.53945	0.741198	0.38	0.53945	0	NA	699339	hCT2278102	NA	NA	NA
12.25	0.103	0.45	0.65509	0.821702	0.2	0.65509	0	KIF21A	108888	hCT2279134,hCT30434.3,hCT2279136,hCT2279137,hCT1950723.1	55605	kinesin family member 21A	CFEOM1, FEOM1, FEOM3A, KIF21A
10.98	0.238	1.01	0.31745	0.554413	1.02	0.31745	0	GALNT6	168099	hCT2281147	11226	polypeptide N-acetylgalactosaminyltransferase 6	GALNAC-T6, GalNAcT6, GALNT6
16.18	-0.027	-0.16	0.87287	0.940375	0.03	0.87287	0	NA	212224	hCT2282382.1	NA	NA	NA
11.92	-0.352	-2.21	0.03238	0.140493	4.87	0.03238	0	RNF40	157905	hCT2282617,hCT2282615,hCT2282620,hCT2282618	9810	ring finger protein 40	BRE1B, RBP95, STARING, RNF40
7.77	-0.232	-1.31	0.19745	0.424229	1.71	0.19745	0	CASP14	139705	hCT2282679	23581	caspase 14	ARCI12, CASP14
7.33	-0.414	-1.76	0.08524	0.257938	3.1	0.08524	0	CSPG3	139135	hCT2284189,hCT29801.2	NA	NA	NA
9.05	-0.736	-3.26	0.00212	0.023566	10.63	0.00212	-1	NA	143308	hCT2287117,hCT1657811.3	NA	NA	NA
14.13	-0.173	-1.39	0.17126	0.389485	1.93	0.17126	0	FLJ90709	216971	hCT2288089.1,hCT2349723,hCT2352886,hCT32257.4	NA	NA	NA
10.29	-0.086	-0.33	0.74039	0.871441	0.11	0.74039	0	LOC339745	174485	hCT2296858,hCT11884.3	NA	NA	NA
11.02	0.464	2.72	0.00922	0.062134	7.4	0.00922	0	NA	150281	hCT2297471.1	NA	NA	NA
9.43	-0.521	-1.93	0.05955	0.205719	3.74	0.05955	0	NA	232106	hCT2301937	NA	NA	NA
14.24	0.358	2.31	0.02579	0.12176	5.31	0.02579	0	NA	200749	hCT2308057	NA	NA	NA
9.18	0.274	1.01	0.31825	0.555262	1.02	0.31825	0	TSGA10IP	223159	hCT2313116	254187	testis specific 10 interacting protein	FAM161C, TSGA10IP
7.45	-0.544	-2.14	0.03768	0.1546	4.59	0.03768	0	NA	231949	hCT2315100	NA	NA	NA
8.02	-0.079	-0.24	0.81068	0.91043	0.06	0.81068	0	RBP2	112612	hCT2318892	5948	retinol binding protein 2	CRABP-II, CRBP2, CRBPII, RBPC2, RBP2
7.61	0.083	0.25	0.80391	0.906735	0.06	0.80391	0	GAP43	139282	hCT2319628,hCT2319630	2596	growth associated protein 43	B-50, PP46, GAP43
9.2	-0.593	-2.53	0.01495	0.085026	6.4	0.01495	0	PTCD1	120271	hCT2320453	26024	pentatricopeptide repeat domain 1	PTCD1
11.69	-0.21	-1.52	0.13508	0.338597	2.32	0.13508	0	NA	235751	hCT2322598	NA	NA	NA
8.36	0.355	1.7	0.09629	0.277785	2.89	0.09629	0	NA	156427	hCT2328995.1,hCT1643564.3	NA	NA	NA
12.98	0.335	3.32	0.00179	0.020989	11.01	0.00179	1	NA	640362	hCT2329828,hCT1824593.1	NA	NA	NA
7.44	0.448	1.85	0.07068	0.229295	3.43	0.07068	0	NCAM1	130884	hCT2334944.1,hCT2354471,hCT2334948.1,hCT2354470,hCT2334945.1,hCT2334946.1	4684	neural cell adhesion molecule 1	CD56, MSK39, NCAM, NCAM1
11.32	0.768	3.46	0.00118	0.015896	12	0.00118	1	FLJ23554	161158	hCT2335440,hCT2335438	NA	NA	NA
9.5	-0.106	-0.58	0.56356	0.758711	0.34	0.56356	0	NA	179411	hCT2340673	NA	NA	NA
9.38	0.376	1.96	0.05614	0.19887	3.84	0.05614	0	NA	696770	hCT2342610	NA	NA	NA
