A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.PROBEID	Genes.ENTREZID	Genes.SYMBOL
8.98	0.073	0.39	0.69836	1	0.15	0.69836	0	200000_s_at	10594	PRPF8
10.62	-0.106	-0.94	0.35706	1	0.88	0.35706	0	200001_at	826	CAPNS1
10.39	0.007	0.04	0.96603	1	0	0.96603	0	200002_at	11224	RPL35
11.13	-0.099	-0.55	0.58858	1	0.3	0.58858	0	200003_s_at	6158 /// 102465483	RPL28 /// MIR6805
11.13	0	0	0.9973	1	0	0.9973	0	200004_at	1982	EIF4G2
9.37	-0.015	-0.09	0.92725	1	0.01	0.92725	0	200005_at	8664	EIF3D
10.19	-0.133	-0.73	0.47031	1	0.54	0.47031	0	200006_at	11315	PARK7
10.68	-0.057	-0.35	0.73264	1	0.12	0.73264	0	200007_at	6727	SRP14
9.48	0.028	0.18	0.8618	1	0.03	0.8618	0	200008_s_at	2665	GDI2
10.31	-0.129	-0.87	0.39133	1	0.76	0.39133	0	200009_at	2665	GDI2
10.88	0.004	0.02	0.98118	1	0	0.98118	0	200010_at	6135	RPL11
9.39	-0.066	-0.59	0.55941	1	0.35	0.55941	0	200011_s_at	377	ARF3
11.71	-0.026	-0.19	0.84723	1	0.04	0.84723	0	200012_x_at	6144 /// 26771 /// 619499 /// 100131205	RPL21 /// SNORD102 /// SNORA27 /// RPL21P28
10.71	-0.058	-0.28	0.78291	1	0.08	0.78291	0	200013_at	6152	RPL24
9.1	-0.149	-0.82	0.41954	1	0.67	0.41954	0	200014_s_at	3183	HNRNPC
9.15	-0.152	-0.96	0.34686	1	0.92	0.34686	0	200015_s_at	4735	SEPT2
10.98	-0.037	-0.23	0.82326	1	0.05	0.82326	0	200016_x_at	3178 /// 664709	HNRNPA1 /// HNRNPA1P10
11.09	-0.058	-0.42	0.6751	1	0.18	0.6751	0	200017_at	6233	RPS27A
12.31	0.081	0.85	0.40202	1	0.73	0.40202	0	200018_at	6207 /// 85388	RPS13 /// SNORD14B
9.87	-0.046	-0.23	0.82294	1	0.05	0.82294	0	200019_s_at	2197	FAU
9.48	-0.064	-0.52	0.60994	1	0.27	0.60994	0	200020_at	23435	TARDBP
12.53	-0.098	-1.29	0.20997	1	1.65	0.20997	0	200021_at	1072	CFL1
11.53	0.028	0.16	0.87224	1	0.03	0.87224	0	200022_at	6141	RPL18
9.14	-0.102	-0.55	0.58666	1	0.3	0.58666	0	200023_s_at	8665	EIF3F
10.99	-0.102	-0.52	0.60966	1	0.27	0.60966	0	200024_at	6193	RPS5
11.66	-0.063	-0.37	0.71733	1	0.13	0.71733	0	200025_s_at	6155	RPL27
11.61	-0.014	-0.11	0.91457	1	0.01	0.91457	0	200026_at	6164	RPL34
9.3	-0.078	-0.67	0.50573	1	0.46	0.50573	0	200027_at	4677	NARS
9.26	-0.141	-1.3	0.20553	1	1.69	0.20553	0	200028_s_at	56910	STARD7
11.93	-0.099	-0.73	0.47477	1	0.53	0.47477	0	200029_at	6143	RPL19
11.36	-0.116	-0.9	0.37876	1	0.8	0.37876	0	200030_s_at	5250	SLC25A3
11.99	-0.063	-0.44	0.66327	1	0.19	0.66327	0	200031_s_at	6205 /// 84546	RPS11 /// SNORD35B
12.07	-0.011	-0.08	0.93314	1	0.01	0.93314	0	200032_s_at	6133	RPL9
10.45	-0.121	-0.69	0.49593	1	0.48	0.49593	0	200033_at	1655 /// 100616387 /// 100616408	DDX5 /// MIR3064 /// MIR5047
11.08	-0.091	-0.48	0.6357	1	0.23	0.6357	0	200034_s_at	6128	RPL6
9.27	0.003	0.02	0.98451	1	0	0.98451	0	200035_at	23399	CTDNEP1
10.46	-0.076	-0.4	0.68989	1	0.16	0.68989	0	200036_s_at	4736	RPL10A
9.09	-0.072	-0.5	0.6243	1	0.25	0.6243	0	200037_s_at	11335	CBX3
11.65	-0.024	-0.18	0.86163	1	0.03	0.86163	0	200038_s_at	6139 /// 26790 /// 26791 /// 497661 /// 100124516 /// 100526842	RPL17 /// SNORD58B /// SNORD58A /// C18orf32 /// SNORD58C /// RPL17-C18orf32
9.43	-0.081	-0.63	0.53243	1	0.4	0.53243	0	200039_s_at	5690	PSMB2
9.67	-0.024	-0.15	0.88044	1	0.02	0.88044	0	200040_at	10657	KHDRBS1
10.48	0.135	1.02	0.31787	1	1.04	0.31787	0	200041_s_at	7919 /// 692199 /// 100532737	DDX39B /// SNORD84 /// ATP6V1G2-DDX39B
8.81	-0.098	-0.71	0.48197	1	0.51	0.48197	0	200042_at	51493	RTCB
10.01	-0.021	-0.14	0.88599	1	0.02	0.88599	0	200043_at	2079	ERH
9.18	-0.001	0	0.99627	1	0	0.99627	0	200044_at	8683 /// 283459	SRSF9 /// GATC
9.44	0.025	0.25	0.80189	1	0.06	0.80189	0	200045_at	23	ABCF1
8.81	-0.028	-0.14	0.88743	1	0.02	0.88743	0	200046_at	1603	DAD1
9.16	0.091	0.46	0.64692	1	0.21	0.64692	0	200047_s_at	7528	YY1
9.96	-0.032	-0.21	0.83918	1	0.04	0.83918	0	200048_s_at	10899	JTB
8.63	0.007	0.07	0.94639	1	0	0.94639	0	200049_at	11143	KAT7
7.6	-0.076	-0.55	0.58913	1	0.3	0.58913	0	200050_at	7705	ZNF146
6.55	0.059	0.43	0.67105	1	0.18	0.67105	0	200051_at	9092	SART1
8.34	-0.053	-0.25	0.80394	1	0.06	0.80394	0	200052_s_at	3608	ILF2
9	-0.023	-0.15	0.87926	1	0.02	0.87926	0	200053_at	9552	SPAG7
7.16	-0.039	-0.42	0.67483	1	0.18	0.67483	0	200054_at	8882	ZPR1
9.26	-0.062	-0.52	0.61078	1	0.27	0.61078	0	200055_at	6881	TAF10
6.11	-0.001	-0.01	0.99513	1	0	0.99513	0	200056_s_at	10438	C1D
10.39	-0.044	-0.38	0.71058	1	0.14	0.71058	0	200057_s_at	4841	NONO
9.58	0.136	0.95	0.35224	1	0.9	0.35224	0	200058_s_at	23020 /// 101929240	SNRNP200 /// LOC101929240
11.48	0.001	0.01	0.99496	1	0	0.99496	0	200059_s_at	387	RHOA
9.21	0.006	0.05	0.95678	1	0	0.95678	0	200060_s_at	10921	RNPS1
12.36	-0.016	-0.12	0.90466	1	0.01	0.90466	0	200061_s_at	6229	RPS24
11.28	-0.003	-0.02	0.98479	1	0	0.98479	0	200062_s_at	6156	RPL30
10.87	-0.03	-0.23	0.82108	1	0.05	0.82108	0	200063_s_at	4869	NPM1
10.9	-0.02	-0.14	0.89314	1	0.02	0.89314	0	200064_at	3326	HSP90AB1
11.19	0.011	0.09	0.92978	1	0.01	0.92978	0	200065_s_at	375 /// 100500810	ARF1 /// MIR3620
7.61	0.056	0.33	0.74752	1	0.11	0.74752	0	200066_at	3550	IK
9.25	-0.068	-0.62	0.54027	1	0.39	0.54027	0	200067_x_at	8724	SNX3
12.09	0.036	0.42	0.67784	1	0.18	0.67784	0	200068_s_at	821	CANX
7.06	-0.042	-0.33	0.74371	1	0.11	0.74371	0	200069_at	9733	SART3
7.06	0.201	1.39	0.17793	1	1.92	0.17793	0	200070_at	27013	CNPPD1
7.48	0.123	0.61	0.54895	1	0.37	0.54895	0	200071_at	10285	SMNDC1
8.87	-0.035	-0.19	0.84885	1	0.04	0.84885	0	200072_s_at	4670	HNRNPM
8.07	0.048	0.28	0.77848	1	0.08	0.77848	0	200073_s_at	3184	HNRNPD
10.14	-0.071	-0.42	0.6746	1	0.18	0.6746	0	200074_s_at	9045	RPL14
8.08	0.061	0.45	0.65649	1	0.2	0.65649	0	200075_s_at	2987	GUK1
8.39	0.084	0.91	0.37145	1	0.83	0.37145	0	200076_s_at	79036	KXD1
12.02	0.005	0.04	0.96755	1	0	0.96755	0	200077_s_at	4946	OAZ1
9.57	-0.079	-0.53	0.60342	1	0.28	0.60342	0	200078_s_at	533	ATP6V0B
8.66	-0.032	-0.27	0.78687	1	0.07	0.78687	0	200079_s_at	3735	KARS
11.31	-0.012	-0.07	0.94121	1	0.01	0.94121	0	200080_s_at	3020 /// 3021 /// 440926	H3F3A /// H3F3B /// H3F3AP4
10.97	-0.053	-0.29	0.77702	1	0.08	0.77702	0	200081_s_at	6194	RPS6
11.04	-0.092	-0.53	0.60304	1	0.28	0.60304	0	200082_s_at	6201	RPS7
8.42	-0.146	-1.26	0.21993	1	1.58	0.21993	0	200083_at	23326	USP22
9.4	-0.058	-0.36	0.72059	1	0.13	0.72059	0	200084_at	10944	C11orf58
9.02	-0.09	-0.47	0.64039	1	0.22	0.64039	0	200085_s_at	6923	ELOB
10.29	-0.06	-0.44	0.66249	1	0.2	0.66249	0	200086_s_at	1327	COX4I1
10.35	-0.085	-0.46	0.6481	1	0.21	0.6481	0	200087_s_at	10959	TMED2
11.19	-0.09	-0.51	0.61412	1	0.26	0.61412	0	200088_x_at	6136 /// 65065	RPL12 /// NBEAL1
9.98	0.004	0.02	0.9824	1	0	0.9824	0	200089_s_at	6124 /// 595097 /// 595098 /// 595099 /// 595100	RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C
9.71	0.063	0.41	0.68728	1	0.17	0.68728	0	200090_at	2339	FNTA
9.94	0.078	0.35	0.73248	1	0.12	0.73248	0	200091_s_at	6230	RPS25
11.44	-0.009	-0.05	0.95843	1	0	0.95843	0	200092_s_at	6167	RPL37
7.99	-0.256	-1.41	0.17101	1	1.98	0.17101	0	200093_s_at	3094	HINT1
