probe	pvalue	adj.pvalue	symbol	probe	entrez	group
1007_s_at	9.00E-05	0.045239	DDR1 /// MIR4640	1007_s_at	NA	
1053_at	0.87149	0.999858	RFC2	1053_at	5982	
117_at	0.61225	0.999858	HSPA6	117_at	3310	
121_at	0.66434	0.999858	PAX8	121_at	7849	
1294_at	0.91369	0.999858	MIR5193 /// UBA7	1294_at	NA	
1316_at	0.64023	0.999858	THRA	1316_at	7067	
1320_at	0.02271	0.739749	PTPN21	1320_at	11099	
1405_i_at	0.8496	0.999858	CCL5	1405_i_at	6352	
1438_at	0.70442	0.999858	EPHB3	1438_at	2049	
1487_at	0.26998	0.999858	ESRRA	1487_at	2101	
1494_f_at	0.94181	0.999858	CYP2A6	1494_f_at	1548	
1598_g_at	0.17924	0.999858	GAS6	1598_g_at	2621	
160020_at	0.64119	0.999858	MMP14	160020_at	4323	
1729_at	0.53188	0.999858	TRADD	1729_at	8717	
177_at	0.30167	0.999858	PLD1	177_at	5337	
1773_at	0.39062	0.999858	CHURC1-FNTB /// FNTB	1773_at	NA	
179_at	0.7321	0.999858	DTX2P1-UPK3BP1-PMS2P11	179_at	441263	
1861_at	0.07193	0.999858	BAD	1861_at	572	
200593_s_at	0.31207	0.999858	HNRNPU	200593_s_at	3192	
200594_x_at	0.9277	0.999858	HNRNPU	200594_x_at	3192	
200595_s_at	0.30432	0.999858	EIF3A	200595_s_at	8661	
200596_s_at	0.61495	0.999858	EIF3A	200596_s_at	8661	
200597_at	0.4808	0.999858	EIF3A	200597_at	8661	
200598_s_at	0.65095	0.999858	HSP90B1 /// MIR3652	200598_s_at	NA	
200599_s_at	0.72442	0.999858	HSP90B1 /// MIR3652	200599_s_at	NA	
200600_at	0.61561	0.999858	MSN	200600_at	4478	
200601_at	0.69836	0.999858	ACTN4	200601_at	81	
200602_at	0.17117	0.999858	APP	200602_at	351	
200603_at	0.71197	0.999858	PRKAR1A	200603_at	5573	
200604_s_at	0.2871	0.999858	PRKAR1A	200604_s_at	5573	
200605_s_at	0.86198	0.999858	PRKAR1A	200605_s_at	5573	
200606_at	0.26054	0.999858	DSP	200606_at	1832	
200607_s_at	0.33536	0.999858	RAD21	200607_s_at	5885	
200608_s_at	0.84112	0.999858	RAD21	200608_s_at	5885	
200609_s_at	0.76886	0.999858	WDR1	200609_s_at	9948	
200610_s_at	0.57446	0.999858	NCL	200610_s_at	4691	
200611_s_at	0.5197	0.999858	WDR1	200611_s_at	9948	
200612_s_at	0.81372	0.999858	AP2B1	200612_s_at	163	
200613_at	0.98895	0.999858	AP2M1	200613_at	1173	
200614_at	0.63867	0.999858	CLTC	200614_at	1213	
200615_s_at	0.32256	0.999858	AP2B1	200615_s_at	163	
200616_s_at	0.89935	0.999858	MLEC	200616_s_at	9761	
200617_at	0.43172	0.999858	MLEC	200617_at	9761	
200618_at	0.0376	0.866568	LASP1	200618_at	3927	
200619_at	0.49983	0.999858	SF3B2	200619_at	10992	
200620_at	0.27907	0.999858	TMEM59	200620_at	9528	
200621_at	0.47439	0.999858	CSRP1	200621_at	1465	
200622_x_at	0.46592	0.999858	CALM1 /// CALM2 /// CALM3	200622_x_at	NA	
200623_s_at	0.0548	0.954771	CALM1 /// CALM2 /// CALM3	200623_s_at	NA	
200624_s_at	0.91521	0.999858	MATR3 /// SNHG4	200624_s_at	NA	
200625_s_at	0.64434	0.999858	CAP1	200625_s_at	10487	
200626_s_at	0.76684	0.999858	MATR3 /// SNHG4	200626_s_at	NA	
200627_at	0.84963	0.999858	PTGES3	200627_at	10728	
200628_s_at	0.68627	0.999858	WARS	200628_s_at	7453	
200629_at	0.31088	0.999858	WARS	200629_at	7453	
200630_x_at	0.62465	0.999858	SET /// SETSIP	200630_x_at	NA	
200631_s_at	0.72294	0.999858	SET /// SETSIP	200631_s_at	NA	
200632_s_at	0.00186	0.254601	NDRG1	200632_s_at	10397	
200633_at	0.11669	0.999858	UBB	200633_at	7314	
200634_at	0.57833	0.999858	PFN1	200634_at	5216	
200635_s_at	0.28628	0.999858	PTPRF	200635_s_at	5792	
200636_s_at	0.37986	0.999858	PTPRF	200636_s_at	5792	
200637_s_at	0.51722	0.999858	PTPRF	200637_s_at	5792	
200638_s_at	0.97083	0.999858	YWHAZ	200638_s_at	7534	
200639_s_at	0.74708	0.999858	YWHAZ	200639_s_at	7534	
200640_at	0.69809	0.999858	YWHAZ	200640_at	7534	
200641_s_at	0.9974	0.999858	YWHAZ	200641_s_at	7534	
200642_at	0.00212	0.266199	SOD1	200642_at	6647	
200643_at	0.44084	0.999858	HDLBP	200643_at	3069	
200644_at	0.60339	0.999858	MARCKSL1	200644_at	65108	
200645_at	0.62536	0.999858	GABARAP	200645_at	11337	
200646_s_at	0.60412	0.999858	NUCB1	200646_s_at	4924	
200647_x_at	0.83365	0.999858	EIF3C /// EIF3CL	200647_x_at	NA	
200648_s_at	0.15215	0.999858	GLUL	200648_s_at	2752	
200649_at	0.44434	0.999858	NUCB1	200649_at	4924	
200650_s_at	0.19349	0.999858	LDHA	200650_s_at	3939	
200651_at	0.50948	0.999858	GNB2L1 /// SNORD95 /// SNORD96A	200651_at	NA	
200652_at	0.97102	0.999858	SSR2	200652_at	6746	
200653_s_at	7.00E-04	0.158092	CALM1 /// CALM2 /// CALM3	200653_s_at	NA	
200654_at	0.58742	0.999858	P4HB	200654_at	5034	
200655_s_at	0.01332	0.640791	CALM1 /// CALM2 /// CALM3	200655_s_at	NA	
200656_s_at	0.62346	0.999858	P4HB	200656_s_at	5034	
200657_at	0.22174	0.999858	SLC25A5	200657_at	292	
200658_s_at	0.696	0.999858	PHB	200658_s_at	5245	
200659_s_at	0.13845	0.999858	PHB	200659_s_at	5245	
200660_at	0.64885	0.999858	S100A11	200660_at	6282	
200661_at	0.12601	0.999858	CTSA	200661_at	5476	
200662_s_at	0.95642	0.999858	TOMM20	200662_s_at	9804	
200663_at	0.108	0.999858	CD63	200663_at	967	
200664_s_at	0.80202	0.999858	DNAJB1	200664_s_at	3337	
200665_s_at	0.06275	0.985542	SPARC	200665_s_at	6678	
200666_s_at	0.33472	0.999858	DNAJB1	200666_s_at	3337	
200667_at	0.5216	0.999858	UBE2D3	200667_at	7323	
200668_s_at	0.62069	0.999858	UBE2D3	200668_s_at	7323	
200669_s_at	0.55719	0.999858	UBE2D3	200669_s_at	7323	
200670_at	0.34489	0.999858	XBP1	200670_at	7494	
200671_s_at	0.57162	0.999858	SPTBN1	200671_s_at	6711	
200672_x_at	0.90727	0.999858	SPTBN1	200672_x_at	6711	
200673_at	0.31348	0.999858	LAPTM4A	200673_at	9741	
200674_s_at	0.58279	0.999858	RPL32	200674_s_at	6161	
200675_at	0.59352	0.999858	CD81	200675_at	975	
200676_s_at	0.1371	0.999858	UBE2L3	200676_s_at	7332	
200677_at	0.10159	0.999858	PTTG1IP	200677_at	754	
200678_x_at	0.00385	0.354748	GRN	200678_x_at	2896	
200679_x_at	0.37554	0.999858	HMGB1	200679_x_at	3146	
200680_x_at	0.15072	0.999858	HMGB1	200680_x_at	3146	
200681_at	0.59175	0.999858	GLO1	200681_at	2739	
200682_s_at	0.80719	0.999858	UBE2L3	200682_s_at	7332	
200683_s_at	0.35577	0.999858	UBE2L3	200683_s_at	7332	
200684_s_at	0.05302	0.954016	UBE2L3	200684_s_at	7332	
200686_s_at	0.97552	0.999858	SRSF11	200686_s_at	9295	
200687_s_at	0.80499	0.999858	SF3B3	200687_s_at	23450	
200688_at	0.49593	0.999858	SF3B3	200688_at	23450	
200689_x_at	0.92719	0.999858	EEF1G /// MIR3654	200689_x_at	NA	
200690_at	0.25574	0.999858	HSPA9	200690_at	3313	
200691_s_at	0.78937	0.999858	HSPA9	200691_s_at	3313	
200692_s_at	0.89996	0.999858	HSPA9	200692_s_at	3313	
200693_at	0.40768	0.999858	YWHAQ	200693_at	10971	
200694_s_at	0.92417	0.999858	DDX24	200694_s_at	57062	
200695_at	0.94341	0.999858	PPP2R1A	200695_at	5518	
200696_s_at	0.43299	0.999858	GSN	200696_s_at	2934	
200697_at	0.09246	0.999858	HK1	200697_at	3098	
200698_at	0.76506	0.999858	KDELR2	200698_at	11014	
200699_at	0.42389	0.999858	KDELR2	200699_at	11014	
200700_s_at	0.59034	0.999858	KDELR2	200700_s_at	11014	
200701_at	0.73489	0.999858	NPC2	200701_at	10577	
200702_s_at	0.31053	0.999858	DDX24	200702_s_at	57062	
200703_at	0.09205	0.999858	DYNLL1	200703_at	8655	
200704_at	0.0578	0.962885	LITAF	200704_at	9516	
200705_s_at	0.53322	0.999858	EEF1B2 /// SNORA41	200705_s_at	NA	
200706_s_at	0.48692	0.999858	LITAF	200706_s_at	9516	
200707_at	0.26294	0.999858	PRKCSH	200707_at	5589	
200708_at	0.1628	0.999858	GOT2	200708_at	2806	
200709_at	0.47444	0.999858	FKBP1A /// LOC101929368	200709_at	NA	
200710_at	0.3867	0.999858	ACADVL	200710_at	37	
200711_s_at	0.43901	0.999858	SKP1	200711_s_at	6500	
200712_s_at	0.74275	0.999858	MAPRE1	200712_s_at	22919	
200713_s_at	0.11938	0.999858	MAPRE1	200713_s_at	22919	
200714_x_at	0.67605	0.999858	OS9	200714_x_at	10956	
