A	Coef.FGRvsC	Coef.CasevsControl	t.FGRvsC	t.CasevsControl	p.value.FGRvsC	p.value.CasevsControl	p.value.adj.FGRvsC	p.value.adj.CasevsControl	F	F.p.value	Res.FGRvsC	Res.CasevsControl	Genes.probe	Genes.id	Genes.symbol
6.13	-0.011	-0.002	-0.06	-0.01	0.94899	0.99162	0.981786	0.997939	0	0.9976	0	0	7896736	7896736	NA
6.63	-0.308	-0.649	-1.18	-2.49	0.24911	0.01991	0.56395	0.511565	3.09	0.06296	0	0	7896742	7896742	NA
6.15	-0.698	-0.695	-2.64	-2.62	0.01416	0.01458	0.289017	0.498765	4.61	0.01967	0	0	7896744	7896744	NA
8.77	-0.063	0.09	-0.54	0.77	0.59352	0.4462	0.802171	0.832936	0.87	0.42994	0	0	7896746	7896746	NA
7.66	-0.334	-0.126	-1.1	-0.41	0.28292	0.68375	0.58956	0.916908	0.61	0.54891	0	0	7896748	7896748	NA
8.11	0.223	0.045	0.81	0.16	0.42685	0.87296	0.693008	0.969824	0.37	0.69763	0	0	7896752	7896752	NA
5.96	-0.245	-0.118	-1.72	-0.83	0.0972	0.41596	0.416584	0.826487	1.48	0.24576	0	0	7896754	7896754	NA
5.77	0.012	0.024	0.19	0.38	0.84874	0.70901	0.940359	0.92223	0.07	0.93143	0	0	7896756	7896756	NA
6.09	-0.065	-0.137	-0.53	-1.13	0.59897	0.26931	0.804937	0.762065	0.64	0.53637	0	0	7896759	7896759	LINC01128
6.63	0.144	0.11	2.25	1.72	0.03351	0.09851	0.335197	0.654529	2.76	0.08234	0	0	7896761	7896761	SAMD11
6.99	0.118	0.084	1.56	1.11	0.13141	0.27865	0.453581	0.764428	1.29	0.2936	0	0	7896779	7896779	KLHL17
7	0.023	0.031	0.33	0.45	0.74108	0.6575	0.885204	0.907681	0.11	0.89744	0	0	7896798	7896798	PLEKHN1
7.14	0.321	0.216	2.65	1.78	0.01355	0.08642	0.288779	0.641133	3.66	0.04012	0	0	7896817	7896817	ISG15
6.95	0.176	0.113	2.44	1.56	0.02188	0.13067	0.307094	0.675144	3.06	0.06446	0	0	7896822	7896822	AGRN
6.04	0.104	0.042	1.49	0.61	0.14978	0.54957	0.472978	0.87299	1.12	0.34329	0	0	7896859	7896859	MIR200B
6.31	0.136	0.012	1.89	0.17	0.07056	0.87002	0.38722	0.969143	2.19	0.1331	0	0	7896863	7896863	MIR429
7.19	0.053	0.086	0.74	1.2	0.46621	0.24196	0.718994	0.747031	0.73	0.49132	0	0	7896865	7896865	TTLL10
7.06	0.054	-0.02	0.84	-0.31	0.409	0.76092	0.68045	0.93817	0.71	0.50346	0	0	7896878	7896878	B3GALT6
6.48	0.005	0	0.08	0	0.93447	0.99667	0.976718	0.998843	0	0.99563	0	0	7896882	7896882	SCNN1D
6.78	0.146	0.118	2.08	1.69	0.04758	0.10319	0.358407	0.659064	2.45	0.10657	0	0	7896908	7896908	PUSL1
6.82	0.113	0.126	1.36	1.52	0.1874	0.14093	0.512895	0.683847	1.39	0.26718	0	0	7896917	7896917	CPTP
6.75	0.043	0.104	0.63	1.53	0.53524	0.1391	0.765748	0.681432	1.18	0.32407	0	0	7896921	7896921	TAS1R3
8.07	0.067	0.181	0.75	2.01	0.46259	0.05546	0.717034	0.593844	2.06	0.14829	0	0	7896929	7896929	VWA1
6.58	0.144	0.072	2.63	1.31	0.01417	0.20123	0.289017	0.728367	3.47	0.04656	0	0	7896937	7896937	NA
7.47	0.066	0.068	0.95	0.97	0.35358	0.3413	0.642042	0.79788	0.61	0.55038	0	0	7896952	7896952	ATAD3A
7.6	0.121	0.073	1.49	0.9	0.14751	0.37415	0.469657	0.809238	1.13	0.33793	0	0	7896961	7896961	NA
6.6	0.036	0.034	0.43	0.4	0.67311	0.69502	0.846663	0.919265	0.11	0.89319	0	0	7896983	7896983	SSU72
7.25	0.137	0.1	2.34	1.71	0.02736	0.09863	0.323434	0.654529	2.94	0.07116	0	0	7896985	7896985	MIB2
7.31	0.075	0.01	1.22	0.17	0.23307	0.86897	0.551078	0.969072	0.88	0.42794	0	0	7897006	7897006	NA
5.83	0.181	0.064	2.17	0.76	0.0396	0.45269	0.346135	0.836429	2.42	0.10888	0	0	7897026	7897026	CALML6
6.67	0.066	0.07	0.8	0.85	0.43144	0.4012	0.696904	0.819657	0.46	0.63825	0	0	7897034	7897034	GABRD
10.08	-0.071	-0.083	-0.66	-0.77	0.51534	0.44896	0.752985	0.834998	0.35	0.71062	0	0	7897044	7897044	PRKCZ
6.4	-0.012	0.036	-0.19	0.55	0.85193	0.58429	0.941394	0.882454	0.3	0.74475	0	0	7897066	7897066	FAAP20
8.06	0.066	0.035	0.92	0.48	0.36846	0.63687	0.651685	0.902351	0.42	0.66183	0	0	7897068	7897068	SKI
6.05	0.027	0.027	0.4	0.4	0.68915	0.69548	0.855375	0.919466	0.11	0.89906	0	0	7897076	7897076	MORN1
8.98	-0.061	-0.03	-1.09	-0.54	0.28674	0.59635	0.591387	0.887893	0.59	0.56059	0	0	7897078	7897078	RER1
6.8	0.05	-0.001	0.69	-0.01	0.49872	0.98828	0.741901	0.996922	0.32	0.72832	0	0	7897089	7897089	PLCH2
7.58	0.089	0.015	1.24	0.21	0.22768	0.83437	0.546002	0.95843	0.87	0.42922	0	0	7897119	7897119	FAM213B
