A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
15.93	0.01	0.09	0.92882	0.994161	0.01	0.92882	0	ILMN_1343291	ILMN_1343291	EEF1A1
12.65	0.616	3.18	0.00833	0.777939	10.12	0.00833	0	ILMN_1343295	ILMN_1343295	GAPDH
1.48	-0.702	-0.66	0.51978	0.911691	0.44	0.51978	0	ILMN_1651199	ILMN_1651199	NA
2.28	0.852	0.71	0.49008	0.896886	0.51	0.49008	0	ILMN_1651209	ILMN_1651209	SLC35E2
2.04	-0.632	-0.61	0.55323	0.921055	0.37	0.55323	0	ILMN_1651210	ILMN_1651210	NA
6.69	-0.022	-0.06	0.95321	0.994161	0	0.95321	0	ILMN_1651221	ILMN_1651221	EFCAB1
10.57	0.325	1.66	0.12495	0.845981	2.74	0.12495	0	ILMN_1651228	ILMN_1651228	RPS28
9.46	-0.185	-1.31	0.21461	0.845981	1.73	0.21461	0	ILMN_1651229	ILMN_1651229	IPO13
0.93	-0.91	-0.97	0.35144	0.853732	0.94	0.35144	0	ILMN_1651230	ILMN_1651230	PRSS41
3.65	1.17	1.25	0.23479	0.845981	1.57	0.23479	0	ILMN_1651232	ILMN_1651232	FAM86FP
3.7	-1.484	-1.9	0.08263	0.845981	3.62	0.08263	0	ILMN_1651235	ILMN_1651235	AFAP1
1.12	-0.136	-0.12	0.90772	0.992612	0.01	0.90772	0	ILMN_1651236	ILMN_1651236	NA
4.27	1.763	1.21	0.25091	0.845981	1.46	0.25091	0	ILMN_1651237	ILMN_1651237	CDT1
0.17	-0.346	-1.02	0.32885	0.845981	1.04	0.32885	0	ILMN_1651249	ILMN_1651249	PDE4DIP
1.79	0.691	0.62	0.54686	0.919176	0.39	0.54686	0	ILMN_1651253	ILMN_1651253	WIPF3
12.16	-0.051	-0.31	0.76115	0.973249	0.1	0.76115	0	ILMN_1651254	ILMN_1651254	LPP
7.82	-0.075	-0.33	0.74847	0.970039	0.11	0.74847	0	ILMN_1651259	ILMN_1651259	UGP2
12.94	0.216	1.6	0.13691	0.845981	2.56	0.13691	0	ILMN_1651262	ILMN_1651262	HNRNPAB
7.62	-1.152	-1.99	0.07105	0.845981	3.96	0.07105	0	ILMN_1651268	ILMN_1651268	BORCS5
9.21	-0.189	-0.9	0.38918	0.861752	0.8	0.38918	0	ILMN_1651278	ILMN_1651278	SNIP1
5.25	-0.031	-0.08	0.93916	0.994161	0.01	0.93916	0	ILMN_1651279	ILMN_1651279	NA
1.47	0.081	0.07	0.94445	0.994161	0.01	0.94445	0	ILMN_1651281	ILMN_1651281	C8orf89
10.77	0.096	0.15	0.88679	0.991888	0.02	0.88679	0	ILMN_1651282	ILMN_1651282	COL17A1
9.21	0.435	1.21	0.25241	0.845981	1.45	0.25241	0	ILMN_1651285	ILMN_1651285	BCL6B
6.6	-0.615	-0.74	0.47206	0.890606	0.55	0.47206	0	ILMN_1651286	ILMN_1651286	GRHL1
5.98	0.817	1.47	0.16758	0.845981	2.17	0.16758	0	ILMN_1651288	ILMN_1651288	NA
9.29	-0.226	-0.5	0.62562	0.934105	0.25	0.62562	0	ILMN_1651296	ILMN_1651296	NA
3.06	0.607	0.57	0.58178	0.930664	0.32	0.58178	0	ILMN_1651303	ILMN_1651303	ATP13A4
1.08	-0.679	-0.8	0.4416	0.87898	0.64	0.4416	0	ILMN_1651310	ILMN_1651310	AFDN
11.32	0.023	0.11	0.91373	0.994161	0.01	0.91373	0	ILMN_1651315	ILMN_1651315	HMG20B
1.48	-0.862	-0.94	0.36743	0.85393	0.88	0.36743	0	ILMN_1651316	ILMN_1651316	CD69
0.84	-0.056	-0.06	0.94961	0.994161	0	0.94961	0	ILMN_1651325	ILMN_1651325	NA
7.69	-0.169	-1.25	0.23489	0.845981	1.57	0.23489	0	ILMN_1651328	ILMN_1651328	NA
3.05	-0.81	-0.73	0.4785	0.891256	0.54	0.4785	0	ILMN_1651329	ILMN_1651329	NA
5.98	0.651	1.52	0.15569	0.845981	2.31	0.15569	0	ILMN_1651336	ILMN_1651336	MLYCD
6.82	-0.085	-0.36	0.72702	0.96092	0.13	0.72702	0	ILMN_1651339	ILMN_1651339	UHRF1BP1L
5.37	-0.304	-0.48	0.63707	0.937496	0.23	0.63707	0	ILMN_1651341	ILMN_1651341	NOC2LP2
6.06	0.268	0.72	0.48628	0.896005	0.52	0.48628	0	ILMN_1651343	ILMN_1651343	ITGA11
9.19	-0.125	-0.67	0.51566	0.910464	0.45	0.51566	0	ILMN_1651346	ILMN_1651346	NA
11.77	-0.101	-0.7	0.49748	0.898511	0.49	0.49748	0	ILMN_1651347	ILMN_1651347	SERTAD2
0.4	-0.308	-0.53	0.60441	0.933128	0.28	0.60441	0	ILMN_1651351	ILMN_1651351	NA
13.99	-0.294	-0.49	0.63471	0.937326	0.24	0.63471	0	ILMN_1651354	ILMN_1651354	SPP1
4.03	0.347	0.2	0.84753	0.987189	0.04	0.84753	0	ILMN_1651358	ILMN_1651358	HBE1
6.15	0.436	1.54	0.15041	0.845981	2.38	0.15041	0	ILMN_1651364	ILMN_1651364	NA
1.91	0.621	0.52	0.6124	0.934105	0.27	0.6124	0	ILMN_1651369	ILMN_1651369	TMA7
4.12	-0.935	-0.82	0.43111	0.877232	0.67	0.43111	0	ILMN_1651370	ILMN_1651370	USP21
0.67	1.342	1.07	0.30789	0.845981	1.14	0.30789	0	ILMN_1651373	ILMN_1651373	RHD
9.65	-0.013	-0.1	0.91989	0.994161	0.01	0.91989	0	ILMN_1651378	ILMN_1651378	AUP1
4.96	-0.087	-0.26	0.80039	0.977007	0.07	0.80039	0	ILMN_1651380	ILMN_1651380	NA
10.35	0.001	0	0.99681	0.99944	0	0.99681	0	ILMN_1651385	ILMN_1651385	MFN2
4.21	0.013	0.02	0.98227	0.997635	0	0.98227	0	ILMN_1651388	ILMN_1651388	NA
5.02	-0.615	-0.62	0.54552	0.919176	0.39	0.54552	0	ILMN_1651395	ILMN_1651395	TIGD1
5.12	-0.169	-0.45	0.66293	0.944255	0.2	0.66293	0	ILMN_1651396	ILMN_1651396	ABCA9
4.02	-0.795	-0.95	0.36098	0.853732	0.91	0.36098	0	ILMN_1651403	ILMN_1651403	NA
0.8	-0.451	-0.53	0.60896	0.933557	0.28	0.60896	0	ILMN_1651404	ILMN_1651404	LILRA6
10.33	0.198	1.34	0.20599	0.845981	1.8	0.20599	0	ILMN_1651405	ILMN_1651405	BRD9
1.43	0.784	0.78	0.45039	0.87898	0.61	0.45039	0	ILMN_1651408	ILMN_1651408	NA
7.35	0.383	0.61	0.55541	0.921285	0.37	0.55541	0	ILMN_1651415	ILMN_1651415	DERL3
5.23	-0.969	-1.64	0.12737	0.845981	2.7	0.12737	0	ILMN_1651428	ILMN_1651428	SYTL2
9.68	-0.463	-1.72	0.11183	0.845981	2.97	0.11183	0	ILMN_1651429	ILMN_1651429	SELENOM
9.42	0.146	0.82	0.43106	0.877232	0.67	0.43106	0	ILMN_1651433	ILMN_1651433	DCK
0.53	-0.145	-0.2	0.84418	0.987139	0.04	0.84418	0	ILMN_1651435	ILMN_1651435	NA
2.8	0.403	0.39	0.70026	0.954481	0.16	0.70026	0	ILMN_1651437	ILMN_1651437	FOXI1
8.33	0.044	0.22	0.8306	0.983781	0.05	0.8306	0	ILMN_1651438	ILMN_1651438	ZFPM1
0.39	-0.415	-0.7	0.49643	0.898511	0.49	0.49643	0	ILMN_1651447	ILMN_1651447	NA
5.86	0.001	0	0.9973	0.999602	0	0.9973	0	ILMN_1651453	ILMN_1651453	RNF224
0.2	-0.395	-1.03	0.32382	0.845981	1.06	0.32382	0	ILMN_1651456	ILMN_1651456	UTY
3.58	0.604	0.54	0.59785	0.932655	0.29	0.59785	0	ILMN_1651457	ILMN_1651457	GPR32
4.46	0.202	0.2	0.84796	0.987448	0.04	0.84796	0	ILMN_1651464	ILMN_1651464	KDM2B
3.07	1.173	1.05	0.31667	0.845981	1.1	0.31667	0	ILMN_1651466	ILMN_1651466	NA
0.32	-0.633	-1.05	0.31329	0.845981	1.11	0.31329	0	ILMN_1651470	ILMN_1651470	NA
