probe	pvalue	adj.pvalue	symbol	entrez	group
ILMN_1343291	0.47019	0.820358	EEF1A1	1915	
ILMN_1343295	0.02203	0.314078	GAPDH	2597	
ILMN_1651199	0.71894	0.919036	LOC643334	NA	
ILMN_1651209	0.12745	0.581212	SLC35E2	9906	
ILMN_1651210	0.32942	0.75994	DUSP22	56940	
ILMN_1651221	0.9899	0.998004	LOC642820	NA	
ILMN_1651228	0.80377	0.945759	RPS28	6234	
ILMN_1651229	0.07304	0.486292	IPO13	9670	
ILMN_1651230	0.74989	0.929321	TESSP1	NA	
ILMN_1651232	0.26508	0.712608	LOC653113	NA	
ILMN_1651235	0.4973	0.832657	AFAP1	60312	
ILMN_1651237	0.35417	0.768799	CDT1	81620	
ILMN_1651238	0.48262	0.825982	TRPV1	7442	
ILMN_1651249	0.07306	0.486292	LOC652879	NA	
ILMN_1651253	0.21621	0.670773	LOC644150	NA	
ILMN_1651254	0.57426	0.862513	LPP	4026	
ILMN_1651259	0.5291	0.844003	FLJ36848	NA	
ILMN_1651262	0.91944	0.98093	HNRNPAB	3182	
ILMN_1651268	0.03687	0.383291	LOH12CR1	NA	
ILMN_1651278	0.29984	0.739669	SNIP1	79753	
ILMN_1651279	0.03383	0.37004	LOC645349	NA	
ILMN_1651281	0.72755	0.922006	LOC389669	NA	
ILMN_1651282	0	0.008475	COL17A1	1308	
ILMN_1651285	0.01556	0.277092	BCL6B	255877	
ILMN_1651286	0.04101	0.396957	GRHL1	29841	
ILMN_1651288	0.14858	0.606207	LOC339760	NA	
ILMN_1651292	0.74488	0.927437	LOC644613	NA	
ILMN_1651296	0.06925	0.478666	LOC143666	143666	
ILMN_1651303	0.24844	0.698067	ATP13A4	84239	
ILMN_1651310	0.38272	0.778884	MLLT4	NA	
ILMN_1651315	0.30629	0.744309	HMG20B	10362	
ILMN_1651316	0.01186	0.249067	CD69	969	
ILMN_1651325	0.19543	0.651929	LOC653493	NA	
ILMN_1651328	0.76685	0.934543	LAT1-3TM	NA	
ILMN_1651329	0.50106	0.834396	LOC646360	NA	
ILMN_1651336	0.20099	0.656606	MLYCD	23417	
ILMN_1651339	0.15836	0.616046	UHRF1BP1L	23074	
ILMN_1651341	0.36424	0.772594	LOC401010	NA	
ILMN_1651343	0.44893	0.809375	ITGA11	22801	
ILMN_1651346	0.29144	0.733979	TICAM2	353376	
ILMN_1651347	0.18451	0.641249	SERTAD2	9792	
ILMN_1651351	0.26725	0.713907	LOC729444	NA	
ILMN_1651354	0.0485	0.423702	SPP1	6696	
ILMN_1651358	0.05255	0.43611	HBE1	3046	
ILMN_1651364	0.81503	0.949216	PCBD2	84105	
ILMN_1651365	0.1514	0.60981	ZBED2	79413	
ILMN_1651369	0.9301	0.983213	LOC652300	NA	
ILMN_1651370	0.76315	0.933532	USP21	27005	
ILMN_1651373	0.75066	0.929565	RHD	6007	
ILMN_1651378	0.98414	0.99646	AUP1	550	
ILMN_1651380	0.91223	0.978499	LOC644783	NA	
ILMN_1651385	0.9189	0.980697	MFN2	9927	
ILMN_1651388	0.37041	0.774997	LOC645448	NA	
ILMN_1651395	0.00135	0.105642	LOC644897	NA	
ILMN_1651396	0.97533	0.994617	LOC643038	NA	
ILMN_1651403	0.50834	0.836741	LOC642161	NA	
ILMN_1651404	0.03705	0.384724	LILRA6	79168	
ILMN_1651405	0.46088	0.815183	BRD9	65980	
ILMN_1651408	0.40764	0.79021	LOC648934	648934	
ILMN_1651415	0.17544	0.633271	DERL3	91319	
ILMN_1651428	0.21581	0.670676	SYTL2	54843	
ILMN_1651429	0.02399	0.32622	SELM	NA	
ILMN_1651433	0.43859	0.804642	DCK	1633	
ILMN_1651435	0.36874	0.774196	LOC653148	NA	
ILMN_1651437	0.81754	0.949996	FOXI1	2299	
ILMN_1651438	0.01365	0.263544	ZFPM1	161882	
ILMN_1651447	0.26588	0.713172	LOC651463	NA	
ILMN_1651453	0.97221	0.994013	LOC652663	NA	
ILMN_1651456	0.45877	0.814308	UTY	7404	
ILMN_1651457	0.85228	0.960504	GPR32	2854	
ILMN_1651464	0.38157	0.778257	KDM2B	84678	
ILMN_1651466	0.33715	0.761937	ALOX5	240	
ILMN_1651470	0.99214	0.998492	MMP17	4326	
ILMN_1651477	0.04366	0.40508	LOC652224	NA	
ILMN_1651486	0.76682	0.934537	COX11P	NA	
ILMN_1651488	0.93742	0.985247	LOC644234	NA	
ILMN_1651490	0.17861	0.636428	CYP26A1	1592	
ILMN_1651492	0.36432	0.772594	WNT2B	7482	
ILMN_1651495	0.05084	0.431456	LOC644824	NA	
ILMN_1651496	0.06729	0.474395	HIST1H2BD	3017	
ILMN_1651498	0.05253	0.436094	GADD45G	10912	
ILMN_1651499	0.92798	0.982827	ERGIC1	57222	
ILMN_1651501	0.02387	0.325565	ABCD4	5826	
ILMN_1651504	0.43942	0.805063	FAM193A	8603	
ILMN_1651506	0.27285	0.719898	NCOA6IP	NA	
ILMN_1651507	0.61483	0.878309	LOC642732	NA	
ILMN_1651508	0.37776	0.777325	LOC649500	NA	
ILMN_1651513	0.45873	0.814308	SKIV2L2	23517	
ILMN_1651520	0.21418	0.669526	LOC648170	NA	
ILMN_1651532	0.06887	0.477963	LOC644519	NA	
ILMN_1651535	0.76673	0.934485	TMEM217	221468	
ILMN_1651536	0.34241	0.764086	GEFT	NA	
ILMN_1651538	0.02177	0.312512	NUMBL	9253	
ILMN_1651543	0.11082	0.556998	LOC652451	NA	
ILMN_1651544	0.82709	0.952622	HDAC8	55869	
ILMN_1651547	0.18743	0.644316	SEMA3E	9723	
ILMN_1651554	0.01897	0.298175	RGS5	8490	
ILMN_1651557	0.17534	0.633074	KDELC2	143888	
ILMN_1651563	0.41884	0.795506	MYO15B	80022	
ILMN_1651565	0.73787	0.925668	LOC650677	NA	
ILMN_1651567	0.31602	0.751616	WHSC1	NA	
ILMN_1651568	0.11973	0.568726	MUC13	56667	
ILMN_1651569	0.56748	0.86025	XRCC2	7516	
ILMN_1651574	0.47099	0.820783	AQP3	360	
ILMN_1651576	0.43217	0.801655	LOC645947	NA	
ILMN_1651582	0.66887	0.901541	LOC646307	NA	
ILMN_1651584	0.39095	0.782402	LOC643576	643576	
ILMN_1651599	0.1938	0.650638	ENTPD2	954	
ILMN_1651604	0.25215	0.701801	MARK4	57787	
ILMN_1651606	0.00696	0.200735	LOC653210	NA	
ILMN_1651608	0.93835	0.985605	LOC649683	NA	
ILMN_1651609	0.86579	0.964933	SPRED3	399473	
ILMN_1651610	0.07423	0.488618	LOC730525	NA	
ILMN_1651617	0.39986	0.786013	CTNNB1	1499	
ILMN_1651628	0.20861	0.663937	EXOC6	54536	
ILMN_1651636	0.75901	0.932473	CYP2A13	1553	
ILMN_1651637	0.14104	0.59849	CRSP2	NA	
ILMN_1651641	0.69266	0.910253	LOC643069	NA	
ILMN_1651642	0.72971	0.922753	GPC2	221914	
ILMN_1651643	0.78811	0.94154	ASB11	140456	
ILMN_1651656	0.00055	0.075182	PSG7	5676	
ILMN_1651657	0.26878	0.715224	ADAM33	80332	
ILMN_1651660	0.7115	0.916788	TMEM191B	728229	
ILMN_1651664	0.93429	0.984482	SDHALP1	NA	
ILMN_1651672	0.54726	0.851585	LOC646717	NA	
ILMN_1651680	0.60576	0.874558	LOC649150	NA	
ILMN_1651681	0.58793	0.867671	WDFY3	23001	
ILMN_1651684	0.27834	0.725286	KIAA0586	9786	
ILMN_1651685	0.30931	0.746841	C8ORFK32	NA	
ILMN_1651690	0.619	0.880266	PGBD4	161779	
ILMN_1651692	0.93167	0.983809	STK10	6793	
ILMN_1651693	0.36375	0.772397	GSG1	83445	
ILMN_1651699	0.19613	0.652787	EPS8	2059	
ILMN_1651705	0.33569	0.761427	CAT	847	
ILMN_1651708	0.26709	0.713901	RESP18	389075	
ILMN_1651710	0.43694	0.803741	IQCD	115811	
ILMN_1651711	0.45105	0.81032	LOC728005	NA	
ILMN_1651712	0.64506	0.891412	RBM11	54033	
ILMN_1651715	0.14127	0.598888	RNF2	6045	
ILMN_1651717	0.03421	0.371621	ADAMTS20	80070	
ILMN_1651719	0.6173	0.878959	MBTPS1	8720	
ILMN_1651727	0.79587	0.944047	LOC648473	NA	
