A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
14.56	-1.308	-3.37	0.00506	0.20336	11.33	0.00506	0	NA	NA	NA
8.53	0.19	0.65	0.52757	0.85715	0.42	0.52757	0	NA	NA	NA
8.29	0.427	1.33	0.20541	0.654505	1.78	0.20541	0	NA	NA	NA
5.9	0.504	1.29	0.21933	0.669197	1.67	0.21933	0	NA	NA	NA
11.13	0.167	0.49	0.63089	0.897577	0.24	0.63089	0	A_23_P200404	204	AK2
7.52	0.749	0.94	0.36314	0.773485	0.89	0.36314	0	NA	NA	NA
3.41	0.072	0.2	0.84693	0.965309	0.04	0.84693	0	A_23_P15619	84366	PRAC
4.69	0.197	0.48	0.64118	0.901634	0.23	0.64118	0	NA	NA	NA
3.35	0.136	0.33	0.74735	0.937611	0.11	0.74735	0	NA	NA	NA
11.06	-0.132	-0.45	0.66126	0.908476	0.2	0.66126	0	NA	NA	NA
12.4	-0.231	-0.77	0.45669	0.826701	0.59	0.45669	0	NA	NA	NA
4.35	1.072	2.57	0.0234	0.344528	6.59	0.0234	0	NA	NA	NA
11.06	-1.025	-2.97	0.01081	0.266654	8.83	0.01081	0	NA	NA	NA
5.42	-0.767	-1.7	0.11258	0.552825	2.9	0.11258	0	NA	NA	NA
6.54	-0.004	-0.01	0.99274	0.997931	0	0.99274	0	NA	NA	NA
2.77	0.371	0.92	0.37532	0.780898	0.84	0.37532	0	NA	NA	NA
6.32	-2.61	-2.12	0.05345	0.445923	4.51	0.05345	0	A_23_P73609	4693	NDP
7.92	0.543	1.65	0.12231	0.565512	2.73	0.12231	0	NA	NA	NA
9.38	0.601	1.82	0.09252	0.526451	3.3	0.09252	0	NA	NA	NA
6.55	0.377	0.87	0.40092	0.795951	0.75	0.40092	0	NA	NA	NA
8.24	0.148	0.34	0.73628	0.932792	0.12	0.73628	0	A_24_P37441	5163	PDK1
11.52	0.105	0.4	0.69322	0.918738	0.16	0.69322	0	A_23_P20980	1537	CYC1
10.02	-0.089	-0.2	0.84338	0.964655	0.04	0.84338	0	A_23_P123265	25870	SUMF2
13.57	-0.086	-0.24	0.81236	0.956306	0.06	0.81236	0	NA	NA	NA
7.2	-0.089	-0.18	0.85856	0.968569	0.03	0.85856	0	A_23_P25030	8630	HSD17B6
7.59	-0.012	-0.03	0.97648	0.993983	0	0.97648	0	A_23_P252981	59272	ACE2
10.54	-0.326	-0.77	0.45413	0.82576	0.6	0.45413	0	A_23_P200829	23380	SRGAP2
7.97	-2.431	-2.76	0.01615	0.303547	7.63	0.01615	0	A_23_P105144	57758	SCUBE2
4.34	0.706	1	0.33581	0.754737	1	0.33581	0	NA	NA	NA
4.99	-0.817	-1.81	0.09266	0.526451	3.29	0.09266	0	A_23_P105227	10873	ME3
8.57	0.66	1.79	0.09658	0.53054	3.21	0.09658	0	A_24_P918907	NA	
7.46	0.311	0.2	0.84539	0.964726	0.04	0.84539	0	NA	NA	NA
6.49	0.894	1.7	0.11341	0.554261	2.88	0.11341	0	NA	NA	NA
7.33	-0.299	-0.66	0.51873	0.853425	0.44	0.51873	0	NA	NA	NA
13.16	-0.644	-1.54	0.14862	0.599817	2.36	0.14862	0	NA	NA	NA
6.79	0.298	0.53	0.6047	0.887717	0.28	0.6047	0	NA	NA	NA
4.05	0.542	1.22	0.24501	0.690183	1.48	0.24501	0	NA	NA	NA
10.57	-0.109	-0.44	0.66989	0.911044	0.19	0.66989	0	NA	NA	NA
12.66	-0.205	-0.63	0.54024	0.862679	0.4	0.54024	0	NA	NA	NA
3.54	0.372	0.99	0.33982	0.757988	0.98	0.33982	0	NA	NA	NA
4.98	0.695	1.94	0.07473	0.491867	3.75	0.07473	0	NA	NA	NA
6.82	1.226	3.28	0.00594	0.216043	10.78	0.00594	0	NA	NA	NA
9.14	-0.435	-1.07	0.30616	0.736512	1.13	0.30616	0	A_24_P303080	NA	
4.01	-0.376	-0.98	0.34329	0.759938	0.97	0.34329	0	NA	NA	NA
5.82	-0.475	-1.5	0.1574	0.610058	2.25	0.1574	0	A_32_P95914	253714	C6orf167
3.43	-0.567	-1.73	0.10722	0.546994	2.99	0.10722	0	NA	NA	NA
5.94	0.053	0.18	0.86343	0.969517	0.03	0.86343	0	NA	NA	NA
2.77	0.502	1.62	0.12901	0.575485	2.63	0.12901	0	A_23_P110704	10569	SLU7
6.38	-0.096	-0.26	0.79904	0.952529	0.07	0.79904	0	NA	NA	NA
7.27	0.014	0.03	0.977	0.994142	0	0.977	0	NA	NA	NA
7.22	0.054	0.16	0.87447	0.971719	0.03	0.87447	0	NA	NA	NA
6.47	0.16	0.4	0.69437	0.918993	0.16	0.69437	0	NA	NA	NA
7.71	0.255	0.71	0.49285	0.843713	0.5	0.49285	0	A_23_P143190	4605	MYBL2
3.31	0.657	1.8	0.09515	0.528889	3.24	0.09515	0	NA	NA	NA
6.82	0.437	1.18	0.25754	0.701225	1.4	0.25754	0	NA	NA	NA
10.46	-0.157	-0.48	0.6378	0.900488	0.23	0.6378	0	NA	NA	NA
5.37	0.008	0.01	0.9897	0.997478	0	0.9897	0	NA	NA	NA
10.01	-0.086	-0.31	0.76512	0.943624	0.09	0.76512	0	NA	NA	NA
12.43	-0.374	-1.47	0.16592	0.619028	2.15	0.16592	0	NA	NA	NA
10.86	-0.134	-0.38	0.712	0.925537	0.14	0.712	0	NA	NA	NA
9.7	0.335	1.1	0.29105	0.725936	1.21	0.29105	0	NA	NA	NA
6.9	-0.428	-0.45	0.66298	0.908849	0.2	0.66298	0	NA	NA	NA
2.91	0.547	1.34	0.20466	0.654064	1.78	0.20466	0	NA	NA	NA
4.39	-0.769	-1.71	0.11062	0.54995	2.93	0.11062	0	A_23_P23646	7391	USF1
5.73	-0.615	-0.83	0.42241	0.807759	0.69	0.42241	0	NA	NA	NA
11.35	-0.578	-1.09	0.29448	0.728876	1.19	0.29448	0	A_23_P75647	10525	HYOU1
3.52	0.676	1.64	0.12453	0.568687	2.7	0.12453	0	NA	NA	NA
3.73	0.407	1.12	0.28232	0.720089	1.26	0.28232	0	NA	NA	NA
9.36	-0.428	-1.35	0.19979	0.650732	1.82	0.19979	0	NA	NA	NA
10.66	0.068	0.16	0.87368	0.971719	0.03	0.87368	0	NA	NA	NA
10	-0.399	-1.45	0.17035	0.622894	2.11	0.17035	0	NA	NA	NA
8.04	0.237	0.7	0.49865	0.846152	0.48	0.49865	0	NA	NA	NA
9.66	-0.287	-1	0.3341	0.753199	1.01	0.3341	0	NA	NA	NA
5.16	-0.284	-0.66	0.51887	0.853425	0.44	0.51887	0	NA	NA	NA
6.72	0.557	1.6	0.13279	0.579998	2.57	0.13279	0	A_24_P333567	286260	LOC286260
8.7	-0.289	-0.3	0.76625	0.943727	0.09	0.76625	0	NA	NA	NA
4.45	0.546	1.37	0.19534	0.645782	1.86	0.19534	0	NA	NA	NA
7.49	-0.186	-0.53	0.60477	0.887717	0.28	0.60477	0	NA	NA	NA
7.27	-0.143	-0.39	0.70237	0.922444	0.15	0.70237	0	NA	NA	NA
10.56	-0.304	-0.76	0.46075	0.828616	0.58	0.46075	0	A_23_P209183	79709	GLT25D1
3.51	0.825	1.46	0.16806	0.620931	2.13	0.16806	0	NA	NA	NA
8.34	0.333	1.1	0.29238	0.727296	1.2	0.29238	0	NA	NA	NA
3.73	-0.145	-0.31	0.76408	0.9434	0.09	0.76408	0	NA	NA	NA
6.68	-0.16	-0.35	0.72883	0.930928	0.13	0.72883	0	A_23_P346093	147138	TMC8
9.14	-0.212	-0.68	0.50906	0.849343	0.46	0.50906	0	A_23_P203920	8082	SSPN
8.39	-0.101	-0.23	0.82019	0.958709	0.05	0.82019	0	NA	NA	NA
3.77	0.064	0.11	0.91054	0.979032	0.01	0.91054	0	A_32_P111336	NA	
6.71	-1.006	-1.69	0.11541	0.556348	2.85	0.11541	0	NA	NA	NA
11.74	-0.606	-1.81	0.09347	0.52741	3.28	0.09347	0	NA	NA	NA
9.58	0.745	1.92	0.0769	0.496188	3.69	0.0769	0	A_23_P382188	55620	STAP2
6.5	-0.44	-0.91	0.3769	0.782031	0.84	0.3769	0	NA	NA	NA
7.72	1.24	3.88	0.00188	0.136474	15.07	0.00188	0	NA	NA	NA
9.86	0.321	0.73	0.48061	0.837775	0.53	0.48061	0	A_23_P343808	6654	SOS1
8.67	-0.13	-0.31	0.76428	0.943464	0.09	0.76428	0	NA	NA	NA
3.12	0.431	0.98	0.34653	0.762396	0.95	0.34653	0	NA	NA	NA
8.11	0.807	2.29	0.03933	0.401876	5.25	0.03933	0	NA	NA	NA
4.28	0.093	0.25	0.80679	0.954777	0.06	0.80679	0	NA	NA	NA
10.51	-0.538	-0.98	0.34284	0.759677	0.97	0.34284	0	NA	NA	NA
7.16	0.861	1.84	0.08882	0.519791	3.38	0.08882	0	NA	NA	NA
3.46	0.621	2.28	0.0398	0.403947	5.22	0.0398	0	NA	NA	NA
5.17	0.222	0.49	0.63145	0.897691	0.24	0.63145	0	NA	NA	NA
11.74	0.017	0.06	0.95174	0.989224	0	0.95174	0	A_23_P152066	197131	UBR1
7.47	0.517	1.56	0.14228	0.592067	2.44	0.14228	0	A_24_P213206	442240	LOC442240
4.47	-0.254	-0.59	0.56664	0.872588	0.35	0.56664	0	NA	NA	NA
10.34	0.059	0.16	0.87821	0.972386	0.02	0.87821	0	A_23_P139388	51773	RSF1
5.16	0.771	2.36	0.03454	0.388219	5.57	0.03454	0	NA	NA	NA
5.33	1.093	1.8	0.09535	0.529002	3.23	0.09535	0	NA	NA	NA
8.37	0.17	0.46	0.65519	0.90709	0.21	0.65519	0	NA	NA	NA
10.18	-0.371	-0.66	0.52224	0.855273	0.43	0.52224	0	NA	NA	NA
5.72	1.172	2.87	0.01317	0.282441	8.23	0.01317	0	NA	NA	NA
7.31	-0.162	-0.39	0.70225	0.922444	0.15	0.70225	0	A_23_P346265	79158	GNPTAB
9.19	-0.78	-1.27	0.22781	0.677322	1.6	0.22781	0	NA	NA	NA
3.37	0.227	0.59	0.56218	0.871255	0.35	0.56218	0	NA	NA	NA
6.07	-0.151	-0.19	0.84866	0.965832	0.04	0.84866	0	A_23_P309739	2099	ESR1
12.62	-1.029	-1.99	0.06743	0.479802	3.98	0.06743	0	NA	NA	NA
6.33	-0.126	-0.21	0.83654	0.962975	0.04	0.83654	0	NA	NA	NA
5.39	1.213	2.44	0.02958	0.370441	5.97	0.02958	0	NA	NA	NA
6.65	-0.003	0	0.99613	0.999138	0	0.99613	0	NA	NA	NA
8.89	-1.921	-2.07	0.05905	0.459733	4.28	0.05905	0	NA	NA	NA
4.75	0.629	1.47	0.16561	0.618643	2.16	0.16561	0	NA	NA	NA
4.32	0.062	0.13	0.89956	0.976459	0.02	0.89956	0	NA	NA	NA
