A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.PROBEID	Genes.ENTREZID	Genes.SYMBOL
10.54	0.681	0.84	0.43451	0.999995	0.71	0.43451	0	1007_s_at	780 /// 100616237	DDR1 /// MIR4640
7.12	0.037	0.18	0.8655	0.999995	0.03	0.8655	0	1053_at	5982	RFC2
8.43	0.146	0.76	0.47537	0.999995	0.58	0.47537	0	117_at	3310	HSPA6
8.96	-0.035	-0.09	0.93127	0.999995	0.01	0.93127	0	121_at	7849	PAX8
8.75	-0.114	-0.43	0.67977	0.999995	0.19	0.67977	0	1294_at	7318 /// 100847079	UBA7 /// MIR5193
7.13	-0.034	-0.1	0.92475	0.999995	0.01	0.92475	0	1316_at	7067	THRA
7.36	0.09	0.2	0.84588	0.999995	0.04	0.84588	0	1320_at	11099	PTPN21
7.33	-0.38	-0.4	0.70523	0.999995	0.16	0.70523	0	1405_i_at	6352	CCL5
7.18	0.459	0.82	0.4453	0.999995	0.67	0.4453	0	1438_at	2049	EPHB3
8.61	0.154	0.48	0.64794	0.999995	0.23	0.64794	0	1487_at	2101	ESRRA
6.56	-0.146	-0.43	0.67966	0.999995	0.19	0.67966	0	1494_f_at	1548	CYP2A6
11.51	0.128	0.16	0.87776	0.999995	0.03	0.87776	0	1552256_a_at	949	SCARB1
8.63	0.023	0.05	0.95859	0.999995	0	0.95859	0	1552257_a_at	23170	TTLL12
4.8	0.011	0.07	0.946	0.999995	0.01	0.946	0	1552258_at	112597	CYTOR
5.91	0.071	0.46	0.66448	0.999995	0.21	0.66448	0	1552261_at	10406	WFDC2
6.84	-0.045	-0.1	0.92196	0.999995	0.01	0.92196	0	1552263_at	5594	MAPK1
7.99	0.017	0.07	0.94297	0.999995	0.01	0.94297	0	1552264_a_at	5594	MAPK1
7.09	-0.031	-0.12	0.91004	0.999995	0.01	0.91004	0	1552271_at	163154	PRR22
5.57	0.127	0.38	0.71796	0.999995	0.14	0.71796	0	1552272_a_at	163154	PRR22
7.25	-0.167	-0.82	0.44366	0.999995	0.68	0.44366	0	1552274_at	54899	PXK
7.44	-0.055	-0.23	0.82903	0.999995	0.05	0.82903	0	1552275_s_at	54899	PXK
6.65	-0.102	-0.69	0.51616	0.999995	0.48	0.51616	0	1552276_a_at	57617	VPS18
8.25	-0.021	-0.06	0.95284	0.999995	0	0.95284	0	1552277_a_at	91283	MSANTD3
6.79	0.022	0.06	0.95608	0.999995	0	0.95608	0	1552278_a_at	113235	SLC46A1
7.88	-0.057	-0.46	0.66509	0.999995	0.21	0.66509	0	1552279_a_at	113235	SLC46A1
6.31	0.252	0.5	0.63856	0.999995	0.25	0.63856	0	1552280_at	91937	TIMD4
8.16	-0.144	-0.94	0.38643	0.999995	0.88	0.38643	0	1552281_at	283375	SLC39A5
5.25	-0.057	-0.27	0.79355	0.999995	0.08	0.79355	0	1552283_s_at	79844 /// 653082	ZDHHC11 /// ZDHHC11B
6.23	0.063	0.26	0.80334	0.999995	0.07	0.80334	0	1552286_at	90423	ATP6V1E2
7.7	0.044	0.09	0.93145	0.999995	0.01	0.93145	0	1552287_s_at	172	AFG3L1P
5.13	0.205	1.04	0.338	0.999995	1.09	0.338	0	1552288_at	148113	CILP2
5.46	0.389	1.58	0.16799	0.999995	2.49	0.16799	0	1552289_a_at	148113	CILP2
6	-0.085	-0.34	0.74544	0.999995	0.12	0.74544	0	1552291_at	54965	PIGX
5.7	0.012	0.06	0.95413	0.999995	0	0.95413	0	1552293_at	256130	TMEM196
9.86	-0.057	-0.2	0.8514	0.999995	0.04	0.8514	0	1552295_a_at	91252	SLC39A13
5.07	0.227	0.48	0.64765	0.999995	0.23	0.64765	0	1552296_at	266675	BEST4
4.98	-0.304	-1.3	0.24387	0.999995	1.68	0.24387	0	1552299_at	221264	AK9
9.43	0.073	0.05	0.96432	0.999995	0	0.96432	0	1552301_a_at	84940	CORO6
5.55	-0.125	-0.4	0.70215	0.999995	0.16	0.70215	0	1552302_at	113277	TMEM106A
7.13	0.01	0.03	0.97748	0.999995	0	0.97748	0	1552303_a_at	113277	TMEM106A
4.57	-0.17	-0.68	0.52454	0.999995	0.46	0.52454	0	1552306_at	84920	ALG10
6.2	-0.08	-0.12	0.90651	0.999995	0.02	0.90651	0	1552307_a_at	125488	TTC39C
8.18	0.098	0.13	0.89814	0.999995	0.02	0.89814	0	1552309_a_at	91624	NEXN
7.56	0.051	0.18	0.86372	0.999995	0.03	0.86372	0	1552310_at	123207	C15orf40
7.68	0.081	0.63	0.55314	0.999995	0.4	0.55314	0	1552311_a_at	84839	RAX2
6.48	-0.155	-0.38	0.71989	0.999995	0.14	0.71989	0	1552312_a_at	4238	MFAP3
4.78	0.096	0.69	0.51644	0.999995	0.48	0.51644	0	1552314_a_at	2140	EYA3
8.53	-0.244	-0.61	0.56702	0.999995	0.37	0.56702	0	1552315_at	170575	GIMAP1
7.84	-0.19	-0.59	0.57954	0.999995	0.34	0.57954	0	1552316_a_at	170575	GIMAP1
7.8	-0.114	-0.46	0.66199	0.999995	0.21	0.66199	0	1552318_at	170575	GIMAP1
5.55	0.018	0.11	0.91955	0.999995	0.01	0.91955	0	1552319_a_at	11202	KLK8
4.89	-0.048	-0.17	0.87016	0.999995	0.03	0.87016	0	1552327_at	100131755	ARMCX4
7.81	-0.271	-0.17	0.87412	0.999995	0.03	0.87412	0	1552329_at	5930	RBBP6
5.89	-0.31	-1.03	0.34353	0.999995	1.06	0.34353	0	1552330_at	92806	CENPBD1
7.68	-0.054	-0.31	0.7643	0.999995	0.1	0.7643	0	1552332_at	11078	TRIOBP
7.68	-0.246	-0.8	0.45466	0.999995	0.64	0.45466	0	1552334_at	11078	TRIOBP
6.48	-0.119	-0.44	0.67811	0.999995	0.19	0.67811	0	1552335_at	117144	CATSPER1
6.02	-0.059	-0.19	0.8575	0.999995	0.04	0.8575	0	1552337_s_at	3233	HOXD4
5.79	-0.153	-0.35	0.74121	0.999995	0.12	0.74121	0	1552338_at	145258	GSC
5.61	-0.067	-0.3	0.77405	0.999995	0.09	0.77405	0	1552340_at	121340	SP7
4.94	-0.044	-0.29	0.77968	0.999995	0.09	0.77968	0	1552343_s_at	5150	PDE7A
6.37	-0.005	-0.01	0.98911	0.999995	0	0.98911	0	1552344_s_at	29883	CNOT7
7.56	0.111	0.31	0.77086	0.999995	0.09	0.77086	0	1552347_at	9946	CRYZL1
7.07	0.008	0.02	0.98202	0.999995	0	0.98202	0	1552348_at	260429	PRSS33
5.16	0.138	0.73	0.49377	0.999995	0.53	0.49377	0	1552349_a_at	260429	PRSS33
5.39	0.237	0.58	0.58288	0.999995	0.34	0.58288	0	1552354_at	255057	CBARP
6.35	0.09	0.61	0.56657	0.999995	0.37	0.56657	0	1552355_s_at	255057	CBARP
5.91	-0.037	-0.27	0.79381	0.999995	0.07	0.79381	0	1552360_a_at	114609	TIRAP
5.67	0.125	0.72	0.49929	0.999995	0.52	0.49929	0	1552362_a_at	116842	LEAP2
6.07	0.018	0.07	0.94994	0.999995	0	0.94994	0	1552364_s_at	124540	MSI2
7.58	0.348	0.33	0.7565	0.999995	0.11	0.7565	0	1552365_at	85477	SCIN
6.67	0.121	0.14	0.89401	0.999995	0.02	0.89401	0	1552367_a_at	85477	SCIN
7.07	-0.008	-0.03	0.97433	0.999995	0	0.97433	0	1552370_at	132321	C4orf33
4.83	-0.031	-0.23	0.82513	0.999995	0.05	0.82513	0	1552375_at	84449	ZNF333
7.75	-0.035	-0.23	0.82835	0.999995	0.05	0.82835	0	1552377_s_at	201158	TVP23C
7.95	0.18	0.26	0.80432	0.999995	0.07	0.80432	0	1552378_s_at	157506	RDH10
7.18	-0.101	-0.48	0.64883	0.999995	0.23	0.64883	0	1552383_at	149647	FAM71A
5.42	0.011	0.08	0.94104	0.999995	0.01	0.94104	0	1552384_a_at	149647	FAM71A
7.07	0.032	0.09	0.93241	0.999995	0.01	0.93241	0	1552388_at	80274 /// 150378	SCUBE1 /// FLJ30901
4.34	-0.012	-0.05	0.96284	0.999995	0	0.96284	0	1552389_at	203111	ERICH5
4.25	-0.291	-0.55	0.60305	0.999995	0.3	0.60305	0	1552390_a_at	203111	ERICH5
5.14	0.369	1.56	0.17097	0.999995	2.44	0.17097	0	1552391_at	164127	CCDC185
7.47	-0.009	-0.05	0.96556	0.999995	0	0.96556	0	1552395_at	81629	TSSK3
