A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
1.47	0.15	0.92	0.3621	0.77905	0.85	0.3621	0	16650001	16650001	NA
2.24	0.024	0.15	0.87862	0.973082	0.02	0.87862	0	16650003	16650003	NA
2.27	0.039	0.15	0.87789	0.973082	0.02	0.87789	0	16650005	16650005	NA
2.26	0.174	1.22	0.22839	0.687196	1.5	0.22839	0	16650007	16650007	NA
1.36	-0.162	-0.87	0.38733	0.794944	0.76	0.38733	0	16650009	16650009	NA
1.59	-0.041	-0.28	0.78317	0.946713	0.08	0.78317	0	16650011	16650011	NA
1.54	0.072	0.52	0.6031	0.891341	0.27	0.6031	0	16650013	16650013	NA
2.54	0.591	1.96	0.05748	0.476466	3.84	0.05748	0	16650015	16650015	NA
3.27	0.305	0.68	0.50136	0.854697	0.46	0.50136	0	16650019	16650019	NA
2.74	-0.267	-1.5	0.14202	0.601193	2.25	0.14202	0	16650021	16650021	NA
1.61	-0.185	-1.08	0.28573	0.731126	1.17	0.28573	0	16650023	16650023	NA
2.44	-0.15	-0.69	0.49663	0.852218	0.47	0.49663	0	16650025	16650025	NA
1.43	-0.194	-0.85	0.39798	0.801944	0.73	0.39798	0	16650027	16650027	NA
1.36	-0.304	-1.92	0.06257	0.487419	3.68	0.06257	0	16650029	16650029	NA
2.6	0.188	0.94	0.35192	0.774272	0.89	0.35192	0	16650031	16650031	NA
1.34	-0.108	-0.52	0.60623	0.892167	0.27	0.60623	0	16650033	16650033	NA
1.52	-0.31	-1.59	0.12076	0.575046	2.52	0.12076	0	16650037	16650037	NA
4.37	0.585	2.8	0.00796	0.313421	7.84	0.00796	0	16650041	16650041	NA
5.3	0.154	0.76	0.44995	0.828006	0.58	0.44995	0	16650043	16650043	NA
1.96	-0.063	-0.37	0.71331	0.92544	0.14	0.71331	0	16650045	16650045	NA
2.21	0.38	1.54	0.13106	0.587908	2.38	0.13106	0	16650047	16650047	NA
2.38	-0.015	-0.08	0.94057	0.985801	0.01	0.94057	0	16650049	16650049	NA
2.82	-0.08	-0.26	0.7927	0.949196	0.07	0.7927	0	16650051	16650051	NA
5.43	0.346	1.41	0.16667	0.631366	1.99	0.16667	0	16650053	16650053	NA
1.64	0.209	1.32	0.19437	0.657598	1.74	0.19437	0	16650055	16650055	NA
4	-0.276	-1.59	0.12064	0.575046	2.52	0.12064	0	16650057	16650057	NA
4.41	0.104	0.36	0.72179	0.928512	0.13	0.72179	0	16650059	16650059	NA
1.28	-0.07	-0.44	0.66108	0.910251	0.2	0.66108	0	16650061	16650061	NA
1.99	0.026	0.14	0.88885	0.975405	0.02	0.88885	0	16650063	16650063	NA
1.73	0.269	1.26	0.2163	0.677629	1.58	0.2163	0	16650065	16650065	NA
4.05	0.33	1.5	0.14055	0.599471	2.26	0.14055	0	16650067	16650067	NA
1.67	0.224	1.41	0.1662	0.631015	1.99	0.1662	0	16650069	16650069	NA
4.58	-0.272	-1.26	0.21608	0.677531	1.58	0.21608	0	16650071	16650071	NA
6.17	-0.115	-0.69	0.49257	0.848961	0.48	0.49257	0	16650073	16650073	NA
1.58	-0.085	-0.5	0.61651	0.896162	0.25	0.61651	0	16650075	16650075	NA
1.52	0.116	0.64	0.52765	0.865616	0.41	0.52765	0	16650077	16650077	NA
4.19	0.574	2.85	0.00707	0.308069	8.1	0.00707	0	16650079	16650079	NA
2.17	0.018	0.09	0.92984	0.983891	0.01	0.92984	0	16650081	16650081	NA
2.75	0.486	2.04	0.04834	0.458245	4.16	0.04834	0	16650083	16650083	NA
2.54	0.031	0.11	0.9132	0.980381	0.01	0.9132	0	16650085	16650085	NA
1.84	0.184	0.85	0.40302	0.804235	0.72	0.40302	0	16650087	16650087	NA
2.74	-0.287	-1.52	0.1377	0.596109	2.3	0.1377	0	16650089	16650089	NA
3.78	-0.36	-1.9	0.06445	0.490787	3.63	0.06445	0	16650093	16650093	NA
2.37	-0.266	-1.25	0.21722	0.678004	1.57	0.21722	0	16650095	16650095	NA
1.86	0.046	0.2	0.84372	0.965025	0.04	0.84372	0	16650097	16650097	NA
1.69	0.461	2.99	0.00487	0.293783	8.93	0.00487	0	16650099	16650099	NA
1.39	-0.148	-0.99	0.33079	0.760636	0.97	0.33079	0	16650101	16650101	NA
1.77	-0.098	-0.48	0.63163	0.900969	0.23	0.63163	0	16650103	16650103	NA
2.62	0.102	0.45	0.65231	0.907525	0.21	0.65231	0	16650105	16650105	NA
3.55	0.341	1.77	0.0843	0.523259	3.14	0.0843	0	16650107	16650107	NA
1.97	0.133	0.67	0.5046	0.855975	0.45	0.5046	0	16650109	16650109	NA
2.03	0.101	0.33	0.7461	0.93622	0.11	0.7461	0	16650111	16650111	NA
1.96	-0.374	-1.92	0.06172	0.486978	3.7	0.06172	0	16650113	16650113	NA
2.46	-0.109	-0.53	0.60215	0.890852	0.28	0.60215	0	16650115	16650115	NA
1.74	0.152	0.68	0.49782	0.852764	0.47	0.49782	0	16650117	16650117	NA
2.21	0.022	0.12	0.90523	0.978906	0.01	0.90523	0	16650119	16650119	NA
1.46	0.046	0.33	0.7442	0.935628	0.11	0.7442	0	16650121	16650121	NA
2.62	-0.391	-1.93	0.06059	0.483416	3.74	0.06059	0	16650123	16650123	NA
2.11	-0.019	-0.1	0.92007	0.981877	0.01	0.92007	0	16650125	16650125	NA
2.91	-0.227	-0.95	0.3493	0.773052	0.9	0.3493	0	16650127	16650127	NA
2.3	0.39	1.71	0.09488	0.538602	2.93	0.09488	0	16650129	16650129	NA
7.6	-0.196	-1.19	0.24251	0.700275	1.41	0.24251	0	16650131	16650131	NA
1.86	-0.191	-0.94	0.3522	0.774522	0.89	0.3522	0	16650133	16650133	NA
2.16	0.145	0.75	0.45656	0.830784	0.57	0.45656	0	16650135	16650135	NA
1.38	-0.182	-1.2	0.23917	0.69744	1.43	0.23917	0	16650137	16650137	NA
3.92	0.53	2.29	0.02739	0.401821	5.26	0.02739	0	16650139	16650139	NA
2.42	0.419	2.21	0.03322	0.421056	4.88	0.03322	0	16650141	16650141	NA
3.2	0.351	2.56	0.01471	0.352502	6.53	0.01471	0	16650143	16650143	NA
1.37	-0.417	-1.77	0.08531	0.523478	3.12	0.08531	0	16650145	16650145	NA
1.7	-0.176	-0.97	0.3386	0.766156	0.94	0.3386	0	16650147	16650147	NA
1.26	-0.085	-0.56	0.58183	0.883607	0.31	0.58183	0	16650149	16650149	NA
3.39	-0.094	-0.42	0.67858	0.915036	0.17	0.67858	0	16650151	16650151	NA
1.59	-0.237	-1.16	0.25358	0.707594	1.34	0.25358	0	16650153	16650153	NA
2.24	-0.143	-0.77	0.44788	0.826761	0.59	0.44788	0	16650155	16650155	NA
