gse	probe	symbol	logfc	aveexpr	t	b	p.value	adj.p.val
GSE74341	A_23_P104734	STT3A	1.23866666666667	0.3324	13.2072532948027	18.3698856434233	6.288122818701e-13	3.1731125367729e-08
GSE25906	ILMN_1798032	TRIM24	0.557628962390133	8.7034644097	7.79440103288258	13.8586014081759	1.02463420966076e-10	4.95820494054843e-06
GSE25906	ILMN_1669146	SIAE	0.440533027223265	6.29758998885	7.46130436935071	12.6557284545445	3.82828740686182e-10	9.26254138090218e-06
GSE74341	A_23_P216080	HOOK3	-0.8445	0.0552	-9.75060760796217	12.7935293170615	4.22636342678728e-10	1.0663537562127e-05
GSE25906	ILMN_1685286	PPP1R12C	0.483434121263219	7.19784129258333	6.98977477068674	10.9500644543793	2.46929754629905e-09	3.66131448882863e-05
GSE74341	A_23_P326691	RBBP4	0.9317	0.08892	8.7855489676931	10.9321418182242	3.36320251559474e-09	5.65713084473139e-05
GSE25906	ILMN_1760778	ENG	0.908177020742659	10.6622125612667	6.89051789810095	10.591253053745	3.65263078143225e-09	3.66131448882863e-05
GSE25906	ILMN_1659843	DNAJC3	0.669247612698003	7.15053368263333	6.80312758556665	10.2755568676342	5.15393689498712e-09	3.66131448882863e-05
GSE74341	A_23_P135914	SF3B3	0.554733333333333	-0.28456	8.59010675858764	10.5376938365667	5.19563253701713e-09	6.39323784337592e-05
GSE74341	A_23_P115215	VPS72	0.438	-0.098	8.48935577060487	10.3320384597646	6.5143094354902e-09	6.39323784337592e-05
GSE25906	ILMN_1660723	RDH13	0.885707779486488	9.42941705698333	6.74131008463072	10.052399702391	6.57361571977784e-09	3.66131448882863e-05
GSE25906	ILMN_1715715	CEBPA	0.577824730867214	10.7930080397333	6.71123471134308	9.94388440960854	7.39905463083547e-09	3.66131448882863e-05
GSE74341	A_21_P0000469	SNORD11B	0.845433333333333	0.17996	8.42093810421868	10.1914841840948	7.60164620115245e-09	6.39323784337592e-05
