EntrezID	GeneLength	Count
497097	3634	23
100503874	3259	1
100038431	1634	0
19888	9747	0
20671	3130	0
27395	4203	1262
18777	2433	1783
100503730	799	6
21399	2847	1590
58175	2241	266
108664	1976	1945
18387	4707	0
226304	3692	0
12421	7046	2395
620393	858	1
240690	6161	1
319263	5232	1546
71096	4193	0
59014	2048	2086
76187	3139	24
72481	1246	29
76982	3187	7
17864	3564	488
70675	5179	2021
73331	1494	1
170755	5622	501
620986	451	264
240697	2553	2
73824	407	463
266793	74	15
100038398	2646	28
100039596	501	3
69312	1502	4
26754	1240	3017
211660	4354	1162
211673	7042	4745
329093	1930	0
109294	11187	22
320492	8293	0
329096	3200	0
240725	4864	562
240726	8512	110
383491	2593	0
17978	8213	2074
72265	2888	5963
212442	1889	869
381246	1926	0
433273	1245	2
14048	4345	429
17681	1717	0
277328	4263	37
98741	5309	0
21749	1633	792
226866	2748	39
665434	572	0
75799	717	1
19989	934	6658
98711	2295	1833
29819	2890	611
66799	2354	1501
67923	955	2017
329101	2788	4
70397	1732	878
17087	603	83
57339	4809	235
14545	3938	8
94227	6923	2478
83691	4006	245
78081	1192	0
654454	222	0
654460	258	0
77673	469	3
654464	256	0
226896	1753	0
21419	6391	3889
241035	12928	0
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	5832
77741	1120	5
74229	4420	480
71877	2208	78
170829	1409	418
75712	1112	93
14859	1450	7
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	92
116837	4066	0
66755	1781	2
387225	71	0
723964	84	1
70155	4844	342
100503399	1522	0
280645	4362	47
98366	2259	972
68002	667	387
68187	6467	1672
12839	3888	48
12823	10542	6
68421	5392	1220
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	361
210962	2882	2
623924	306	0
791350	1160	0
213109	7561	4492
19243	4129	616
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	1
624262	762	23
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	1108
67503	889	7
19335	4487	1143
213539	1815	1466
98403	3650	875
433287	3016	428
320705	2292	112
13518	23242	17375
100628580	79	3
69668	1705	368
27993	2249	1266
52318	3559	352
19253	1578	57
21755	1246	0
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	82
214469	5080	7511
226971	5469	2044
50785	3719	3340
320011	9029	7364
214854	2583	4
214855	5699	1315
226976	4663	2471
214895	2225	560
94220	4582	1124
94218	5283	737
78321	1954	146
109346	1786	214
20353	3805	1199
381337	2577	6
12859	569	477
226977	2077	4039
71166	1127	3
22637	2180	0
56030	6548	4901
70853	4422	0
12790	3498	0
269180	6817	708
76178	3862	2561
67387	1412	852
269181	7054	368
77633	2755	206
100861893	736	0
72097	4361	40
100503734	2218	0
211484	3400	78
623661	1555	219
69028	1229	592
107734	691	1135
332427	2564	0
69541	798	3
98258	4596	1731
226982	7797	7559
56210	4262	819
16764	6010	645
381338	5077	0
98388	3120	4
100503760	2386	0
433292	1001	0
68833	1706	1953
18143	4180	12
114641	1254	190
54610	4440	71
52846	3170	1186
100217461	94	5
67702	2434	1440
263764	5799	0
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	10314
100047133	858	0
16178	1343	1
16177	5035	1002
107527	1950	138
17082	6967	9972
16182	4781	135
16174	2487	434
110895	3822	26
226999	3493	29
211798	3152	384
381339	1096	1
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	994
93690	3860	0
73122	5538	1152
98404	3457	880
14200	1563	1690
666642	647	364
17974	2775	1123
100861934	1421	9
78896	888	15
67883	1263	1143
100503192	585	1151
22019	4649	5280
433294	1086	0
75623	1265	657
72050	2324	1376
246229	3571	984
22592	4010	724
100861960	766	0
403183	3181	0
70676	2976	723
75066	906	3
12825	5564	47758
12832	6615	24005
73674	2612	3867
433297	641	1509
53945	3380	315
100042453	717	0
212225	3483	0
227058	12318	96
100101919	12384	10
227059	4961	2350
442837	542	0
56363	3339	94
442821	2552	2
20324	3055	3656
109019	2838	2495
100045066	3051	0
17912	5042	5445
20849	2981	0
100042634	432	6
20846	5356	1746
14660	7488	7204
17936	5088	4787
227094	3394	358
98682	5591	797
16329	1776	443
227095	1704	466
67080	834	2
17700	2682	0
69397	627	0
227099	3032	314
227102	1846	507
72085	2283	261
70396	2362	1586
627872	12272	2
98267	3278	1383
329152	11336	79
78016	3807	26
98488	3005	954
241062	10579	804
329154	6140	515
81898	6192	13273
67876	1733	1108
15510	2332	10020
15528	768	1094
19070	2826	2129
74013	3677	1234
212679	2882	311
75388	1258	0
227120	6555	207
626009	1369	486
329159	1906	0
71066	1408	0
212712	5286	600
329160	3728	102
407809	3304	0
75323	2052	43
73467	3008	465
68736	1442	342
68115	1325	530
67198	4045	438
51960	2733	323
68549	5416	1633
11761	4382	854
71724	4360	1
71872	4973	4
213043	4776	1
66882	2833	9564
12747	3088	2241
70225	1630	737
65102	2105	1043
18393	3371	2302
100504455	2126	9
213056	8695	884
66495	532	734
100504501	936	51
108812	1579	18
12633	7814	2692
12370	2777	1144
70827	6240	3061
227154	2318	342
73463	2131	0
381259	1972	739
227157	3087	5
74018	7038	1987
271697	1477	2
14369	4809	2547
381260	3595	1
22218	1215	1338
