probe	pvalue	adj.pvalue	symbol	entrez	group
A_24_P397817	0	0.007766	LEP	3952	GSE4707_LOvC
A_23_P41159	1.00E-05	0.121341	PPP4R2	151987	GSE4707_LOvC
A_23_P319520	1.00E-05	0.121341	TSNARE1	203062	GSE4707_LOvC
A_23_P89145	1.00E-05	0.121341	ZNF83	55769	GSE4707_LOvC
A_24_P42755	2.00E-05	0.121341	FLT1	2321	GSE4707_LOvC
A_23_P122924	2.00E-05	0.121341	INHBA	3624	GSE4707_LOvC
A_24_P535256	2.00E-05	0.121341	NA	NA	GSE4707_LOvC
A_24_P894776	3.00E-05	0.14319	NA	NA	GSE4707_LOvC
A_23_P156049	4.00E-05	0.166093	HEXB	3074	GSE4707_LOvC
A_23_P46441	5.00E-05	0.206096	PVRL4	NA	GSE4707_LOvC
A_24_P576191	6.00E-05	0.219236	NA	NA	GSE4707_LOvC
A_23_P4144	7.00E-05	0.219236	COASY	80347	GSE4707_LOvC
A_23_P130149	7.00E-05	0.219236	ENO3	2027	GSE4707_LOvC
A_32_P226735	8.00E-05	0.219236	NA	NA	GSE4707_LOvC
A_23_P159775	1.00E-04	0.250201	GABRE	2564	GSE4707_LOvC
A_23_P17633	1.00E-04	0.250201	IFNAR1	3454	GSE4707_LOvC
A_24_P33309	1.00E-04	0.250201	NA	NA	GSE4707_LOvC
A_23_P385938	0.00013	0.290569	PAN3	255967	GSE4707_LOvC
A_24_P78590	0.00017	0.343136	ELF1	1997	GSE4707_LOvC
A_32_P55987	0.00017	0.343136	NA	NA	GSE4707_LOvC
A_24_P170927	0.00018	0.343136	LOC644613	NA	GSE4707_LOvC
A_24_P118813	0.00019	0.351658	NA	NA	GSE4707_LOvC
A_32_P31963	0.00024	0.387393	NA	NA	GSE4707_LOvC
A_23_P87575	0.00025	0.387393	CCNT1	904	GSE4707_LOvC
A_24_P167877	0.00026	0.387393	LOC440353	NA	GSE4707_LOvC
A_24_P941649	0.00028	0.387393	VPS37A	137492	GSE4707_LOvC
A_23_P134953	0.00029	0.387393	ADFP	NA	GSE4707_LOvC
A_32_P42367	0.00029	0.387393	NA	NA	GSE4707_LOvC
A_24_P4387	3.00E-04	0.387393	EIF4EBP2	1979	GSE4707_LOvC
A_32_P226646	3.00E-04	0.387393	NA	NA	GSE4707_LOvC
A_23_P107322	0.00031	0.387393	CORO6	84940	GSE4707_LOvC
A_23_P43049	0.00031	0.387393	DCTN6	10671	GSE4707_LOvC
A_23_P119478	0.00031	0.387393	EBI3	10148	GSE4707_LOvC
A_23_P55578	0.00032	0.387904	RIOK3	8780	GSE4707_LOvC
A_32_P92783	0.00034	0.39338	STIP1	10963	GSE4707_LOvC
A_32_P112293	0.00035	0.39338	NA	NA	GSE4707_LOvC
A_32_P29200	0.00036	0.39338	NA	NA	GSE4707_LOvC
A_23_P351314	0.00039	0.411369	CDC40	51362	GSE4707_LOvC
A_23_P111698	0.00039	0.411369	MAFK	7975	GSE4707_LOvC
A_32_P121226	0.00041	0.418008	NA	NA	GSE4707_LOvC
A_23_P91619	0.00044	0.418008	MIF	4282	GSE4707_LOvC
A_24_P293358	0.00046	0.418008	C21orf25	NA	GSE4707_LOvC
A_32_P204376	0.00047	0.418008	ANKRD20A2	441430	GSE4707_LOvC
A_23_P28263	0.00048	0.418008	CTDSP1	58190	GSE4707_LOvC
A_32_P89087	0.00049	0.418008	NA	NA	GSE4707_LOvC
A_32_P6972	5.00E-04	0.418008	NA	NA	GSE4707_LOvC
A_32_P95739	0.00051	0.418008	TPI1	7167	GSE4707_LOvC
A_32_P162862	0.00052	0.418008	LOC644891	NA	GSE4707_LOvC
A_24_P387514	0.00052	0.418008	LRP5L	91355	GSE4707_LOvC
A_32_P179526	0.00052	0.418008	ZBTB20	26137	GSE4707_LOvC
A_23_P207461	0.00053	0.418008	CA10	56934	GSE4707_LOvC
A_24_P46066	0.00054	0.418008	CXCR6	10663	GSE4707_LOvC
A_32_P117354	0.00056	0.418008	DKFZP686A01247	NA	GSE4707_LOvC
A_23_P80040	0.00056	0.418008	PROCR	10544	GSE4707_LOvC
A_24_P636441	0.00057	0.418008	DCAKD	79877	GSE4707_LOvC
A_23_P402164	0.00059	0.418008	LOC142937	142937	GSE4707_LOvC
A_32_P76427	0.00059	0.418008	NA	NA	GSE4707_LOvC
A_23_P40240	0.00061	0.418008	CTSZ	1522	GSE4707_LOvC
A_24_P94651	0.00062	0.418008	ARIH2	10425	GSE4707_LOvC
A_23_P116533	0.00062	0.418008	SWAP70	23075	GSE4707_LOvC
A_23_P392529	0.00063	0.418008	C21orf81	NA	GSE4707_LOvC
A_23_P418485	0.00064	0.418008	C11orf65	160140	GSE4707_LOvC
A_23_P19590	0.00065	0.418008	VIL2	NA	GSE4707_LOvC
