EntrezID	GeneLength	Count
497097	3634	16
100503874	3259	0
100038431	1634	0
19888	9747	0
20671	3130	9
27395	4203	877
18777	2433	1559
100503730	799	6
21399	2847	1301
58175	2241	648
108664	1976	3565
18387	4707	0
226304	3692	0
12421	7046	6339
620393	858	0
240690	6161	0
319263	5232	3879
71096	4193	0
59014	2048	975
76187	3139	87
72481	1246	94
76982	3187	6
17864	3564	281
70675	5179	2371
73331	1494	7
170755	5622	439
620986	451	169
240697	2553	2
73824	407	686
266793	74	9
100038398	2646	128
100039596	501	13
69312	1502	1
26754	1240	3537
211660	4354	1211
211673	7042	10379
329093	1930	3
109294	11187	214
320492	8293	3
329096	3200	0
240725	4864	2706
240726	8512	204
383491	2593	1
17978	8213	4238
72265	2888	7480
212442	1889	733
381246	1926	0
433273	1245	23
14048	4345	70
17681	1717	5
277328	4263	3
98741	5309	0
21749	1633	836
226866	2748	73
665434	572	4
75799	717	0
19989	934	18965
98711	2295	2766
29819	2890	1030
66799	2354	1771
67923	955	1698
329101	2788	0
70397	1732	887
17087	603	90
57339	4809	212
14545	3938	5
94227	6923	1660
83691	4006	159
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	1906
241035	12928	3
75028	786	0
387202	73	0
723817	119	5
16171	1171	0
257630	1178	0
17215	2886	1150
77741	1120	0
74229	4420	189
71877	2208	104
170829	1409	440
75712	1112	84
14859	1450	44
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	66
116837	4066	1
66755	1781	1
387225	71	0
723964	84	2
70155	4844	5226
100503399	1522	1
280645	4362	132
98366	2259	1385
68002	667	376
68187	6467	4501
12839	3888	314
12823	10542	17
68421	5392	4131
210933	5522	1
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	204
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	8938
19243	4129	1101
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	3
170771	1359	12
408192	1437	0
408191	3748	0
19076	1937	642
67503	889	16
19335	4487	502
213539	1815	932
98403	3650	1227
433287	3016	291
320705	2292	17
13518	23242	11876
100628580	79	4
69668	1705	735
27993	2249	1116
52318	3559	494
19253	1578	779
21755	1246	0
12627	1038	1
21756	1301	0
211383	4356	1
241051	2676	0
226970	2714	474
214469	5080	8809
226971	5469	4573
50785	3719	8474
320011	9029	5318
214854	2583	10
214855	5699	1570
226976	4663	4367
214895	2225	861
94220	4582	1628
94218	5283	1066
78321	1954	372
109346	1786	257
20353	3805	2104
381337	2577	10
12859	569	385
226977	2077	4433
71166	1127	5
22637	2180	4
56030	6548	6054
70853	4422	0
12790	3498	0
269180	6817	1540
76178	3862	3811
67387	1412	2167
269181	7054	6677
77633	2755	230
100861893	736	0
72097	4361	388
100503734	2218	1
211484	3400	127
623661	1555	159
69028	1229	624
107734	691	1074
332427	2564	1
69541	798	0
98258	4596	3348
226982	7797	7822
